Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,6,27,-10.0,-999.0,0.0,31700.0,-10.0,-10.0,-10.0,3.686075545847416,7.032421112060548,-4.528810501098633,8.379663467407228,-2.863445281982422,5884.623046875,262.55966186523443,242.37478637695312,4.824835777282715,-0.8875713348388672,3213.2490234375,281.10272216796875,257.24978637695307,3.1720294952392583,1.6911964416503906,1584.039794921875,290.2951965332031,286.8521423339844,0.2134571075439453,4.54149341583252,297.48114013671875,287.79364013671875,0.8292341232299805,4.006672859191895,303.575927734375,292.3890075683594,0.8387947082519531,1.6534175872802734,0.0,-0.021674156188964844,0.01214885711669922,101847.0,161.27406764030457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4042816162109375,2.97658920288086,99870.0,171.99525451660156,301.7921447753906,0.0,75.9,0.0,0.0,0.0,0.0,302.3047790527344,302.4342956542969,0.01677,295.3270568847656,62.8,0.9747819900512696,1.500041961669922,1.8163528579752888,0.9747819900512696,1.500041961669922,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416000000000001,0.05,0.0,10.0,20.0,14.0,-8.4,2730.0,0.0,26.43015718460083,0.0,0.0,0.0,0.0,--,--,--,--,--,300.3,147.5,392.8,24.125,432.8910217285156,553.0,38.2,52.1,29.0,-15.7,-2.731947898864746,-2.795257568359375,-0.6320762634277344,2.729820251464844,3.285259246826172,-3.078407287597656,4285.579375,21.0,61400.0,4290.0,21.0,61300.0,5760.0,7440.0,-6.6000000000000005,1800.0
1,0,2019,6,27,-10.0,-999.0,0.0,28900.0,-10.0,-10.0,-10.0,2.0374472588300705,5.757087707519531,-2.4826984405517583,6.776908874511719,-1.3513813018798828,5888.5380859375,262.5731201171875,245.68728637695312,4.706075668334961,-0.2781658172607422,3216.134765625,281.14810180664057,259.81228637695307,2.2079792022705083,0.7304821014404297,1585.8668212890625,290.48419189453125,285.9615478515625,1.240131378173828,6.32170295715332,297.3021545410156,288.52117919921875,0.6678886413574219,5.01615047454834,302.951416015625,291.5165100097656,0.3613395690917969,1.010969161987305,0.0,0.02154016494750977,-0.03357195854187012,101879.0,163.87701892852786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2522468566894531,2.5531063079833984,99909.9560546875,171.99525451660156,300.1173400878906,0.0,76.10000000000002,0.0,0.0,0.0,0.0,300.6782531738281,300.7850646972656,0.01575,294.2773132324219,63.7,0.454411506652832,1.0925369262695312,1.130713518243283,0.454411506652832,1.0925369262695312,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416000000000001,0.03,0.0,0.0,0.0,14.0,-7.5,2290.0,-20.0,27.16484093666077,0.0,0.0,0.0,0.0,--,--,--,--,--,294.7,0.0,389.3,0.0,423.12744140625,0.0,0.0,0.0,40.0,-15.9,-1.7829837799072266,-3.4853496551513667,0.019147872924804688,4.823261260986328,3.752716064453125,-2.3439769744873047,4285.608125,22.0,61400.0,4290.0,22.0,61300.0,5770.0,7400.0,-5.6000000000000005,1350.0
2,0,2019,6,27,-10.0,-999.0,0.0,25000.0,-10.0,-10.0,-10.0,1.6092010885477066,6.038106918334961,-0.9091300964355468,5.374761581420898,-1.723493576049805,5893.294921875,262.8283843994141,243.24978637695312,4.239997863769531,1.35772705078125,3218.703125,281.3256225585937,260.37478637695307,1.397747039794922,2.542566299438477,1589.466796875,290.066650390625,286.33734130859375,5.222564697265625,7.1601600646972665,297.34197998046875,287.36695861816406,3.4321651458740234,5.276517868041992,302.1152648925781,291.59288024902344,0.6732158660888672,0.6297931671142578,0.0,-0.003303050994873047,0.018004179000854492,101928.0,168.31575107574463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.173896789550781,1.8478240966796875,99950.0,171.99525451660156,298.8252868652344,0.0,76.3,0.0,0.0,0.0,0.0,299.361572265625,299.3804931640625,0.0156,294.1597442626953,68.9,0.5139904022216797,0.7912006378173828,0.9399245309177786,0.5139904022216797,0.7912006378173828,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416000000000001,0.02,-1.0,0.0,50.0,14.0,-6.5,1910.0,-59.28421020507813,26.598020434379567,0.0,0.0,34.75,34.75,--,--,11757.775253295898,--,12050.012817382812,294.0,0.0,382.6,0.0,415.980224609375,0.0,0.0,0.0,32.0,19.3,2.3658008575439453,-4.238504409790038,3.41348648071289,5.500703811645508,2.618690490722656,-0.299163818359375,4318.83890625,17.0,61200.0,4320.0,17.0,61100.0,5830.0,7400.0,-4.4,950.0
3,0,2019,6,27,-10.0,-999.0,0.0,22900.0,-10.0,-10.0,-10.0,3.1679944545030594,10.54952621459961,-0.11391830444335938,5.163673400878906,-2.703502655029297,5894.44482421875,262.85079956054693,242.06228637695312,4.624279022216797,2.9088382720947266,3221.1806640625,280.97918701171875,260.24978637695307,1.2198543548583984,3.560264587402344,1594.21923828125,290.20025634765625,284.9997863769531,4.588186264038086,6.410388946533202,297.0468444824219,288.1247863769531,2.8732681274414062,7.10765552520752,301.5189208984375,293.9372863769531,0.29844093322753906,2.448959350585937,0.0,-0.049274444580078125,-0.017279863357543945,101996.0,174.14603471755981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6402015686035156,3.8049278259277344,100020.0,171.99525451660156,298.2113037109375,0.0,76.4,0.0,0.0,0.0,0.0,299.06915283203125,299.04815673828125,0.015450000000000004,293.9997863769531,71.0,0.04741859436035156,2.7897605895996094,2.8154105020221323,0.04741859436035156,2.7897605895996094,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416000000000001,0.15,-17.0,28.0,80.0,14.0,-6.4,1860.0,-50.0,27.491493344306946,0.0,0.0,91.125,91.125,24100.0,11117.030439376831,10338.376541137695,22800.0,11908.681663513184,241.0,0.0,386.4,0.0,412.43597412109375,0.0,0.0,0.0,30.0,13.0,0.6689987182617188,-2.91823959350586,2.9519271850585938,3.9843578338623047,3.2945632934570312,-0.9993782043457032,4309.4196875,15.0,61300.0,4310.0,15.0,61200.0,5820.0,7440.0,-5.1000000000000005,1180.0
4,0,2019,6,27,-10.0,-999.0,0.0,22400.0,-10.0,-10.0,-10.0,1.7640642300248146,12.773574829101562,-2.750019073486328,6.625955581665039,-1.4375495910644531,5892.86474609375,262.8964233398437,242.62478637695312,3.5195140838623047,2.0995359420776367,3219.25146484375,280.45477294921875,259.62478637695307,-0.30289459228515625,4.38201904296875,1594.5986328125,290.3982849121094,287.0732727050781,5.444316864013672,5.694387435913086,296.5671081542969,289.68492126464844,7.57136344909668,7.4763736724853525,300.66412353515625,293.3122100830078,0.7523841857910156,0.2311668395996093,0.0,0.002108097076416016,0.015504837036132812,102027.0,176.18437576293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.929403305053711,2.7436466217041016,100040.0,171.99525451660156,297.76458740234375,0.0,76.5,0.0,0.0,0.0,0.0,298.1676025390625,298.11944580078125,0.015150000000000004,293.7198181152344,73.0,0.7579784393310547,0.11790847778320312,0.7544200657866895,0.7579784393310547,0.11790847778320312,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416000000000001,0.02,-1.0,2.0,62.0,14.0,-5.2,1370.0,-80.0,30.9975426197052,0.0,2.0,100.0,100.0,29100.0,9851.754482269287,8969.099746704102,22800.0,12764.049766540527,221.3,0.0,393.0,0.0,410.1505126953125,0.0,0.0,0.0,-5.0,-9.6,-2.7450942993164062,-0.3254594802856445,4.464279174804688,6.3937644958496085,1.0964107513427734,-1.548126220703125,4306.81796875,16.0,61300.0,4310.0,16.0,61200.0,5840.0,7490.0,-5.4,1440.0
5,0,2019,6,27,-10.0,-999.0,0.0,23900.0,-10.0,-10.0,-10.0,10.2360229678452,13.831253051757812,-2.5929107666015625,8.976360321044922,-2.8353347778320312,5896.259765625,262.65289306640625,239.36648559570312,2.6657209396362305,2.518853187561035,3221.1025390625,280.83721923828125,259.12478637695307,-1.0450782775878906,4.6488847732543945,1593.943115234375,290.59295654296875,286.7497863769531,4.756538391113281,2.9476451873779297,295.8626708984375,290.7497863769531,11.304220199584961,3.670856475830078,299.343505859375,292.7497863769531,1.866067886352539,2.1517190933227544,0.0,-0.03964424133300781,-0.005510568618774414,102055.0,178.87786388397217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.858232498168945,5.6346187591552725,100070.0,171.99525451660156,297.66253662109375,0.0,76.5,0.0,0.0,0.0,0.0,298.48614501953125,298.42486572265625,0.0145,293.02099609375,69.3,1.76654052734375,2.2570953369140625,2.87797036790289,1.76654052734375,2.2570953369140625,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416000000000001,0.16,-18.0,30.0,83.0,14.0,-5.1000000000000005,1180.0,-100.0,31.276177883148193,0.0,64.375,100.0,100.0,33300.0,8905.368034362793,8015.638240814209,20000.0,13359.870040893555,206.7,0.0,394.0,0.0,409.3842468261719,0.0,0.0,0.0,60.0,-2.7,1.3166418075561523,10.316835403442383,5.509712219238281,1.1056060791015625,-4.4283790588378915,-2.057415008544922,4379.0128125,10.0,60800.0,4380.0,10.0,60700.0,5800.0,7480.0,-6.6000000000000005,1960.0
6,0,2019,6,27,1.875,-999.0,0.012,21800.0,-10.0,-10.0,-10.0,8.29497753828764,10.27610969543457,-0.4330310821533203,10.656654357910156,1.1274986267089844,5896.31298828125,262.74966430664057,238.765625,2.2867355346679688,2.011241912841797,3222.42236328125,280.70947265625,260.587142944336,0.5956878662109375,6.628456115722656,1593.7548828125,290.8416442871094,286.9029235839844,5.9948062896728525,1.5340023040771484,296.4954833984375,287.4445495605469,8.533004760742188,6.447214126586914,297.5710144042969,291.9917907714844,1.537761688232422,1.5388517379760742,0.0,-0.03445625305175781,-0.0258331298828125,102059.0,179.34731483459473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0833187103271475,4.507469177246094,100080.0,171.99525451660156,296.66229248046875,0.0,76.3,0.0,0.0,0.0,0.0,297.1264953613281,297.0913391113281,0.013859999999999999,292.2497863769531,72.8,1.601419448852539,1.784646987915039,2.3760218673851345,1.601419448852539,1.784646987915039,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416000000000001,0.14,-10.0,29.0,85.0,14.0,-3.3000000000000003,510.0,-180.0,30.272451877593994,0.0,82.125,100.0,100.0,45000.0,6710.647691726685,7866.558300018311,20000.0,13216.974109649658,158.4,0.0,398.6,0.0,403.9612121582031,0.0,0.0,0.0,3.0,-31.1,-1.4817657470703125,8.971931457519531,5.4732208251953125,2.1390838623046875,-2.3511886596679688,-2.724664688110352,4354.17421875,6.0,60900.0,4350.0,6.0,60900.0,5820.0,7320.0,-4.7,1120.0
7,0,2019,6,27,-10.0,-999.0,0.0,20800.0,-10.0,-10.0,-10.0,5.051719535142183,6.145065307617188,2.114572525024414,9.967645645141602,-2.997276306152344,5888.95556640625,262.5521850585937,245.37478637695312,-0.20107269287109367,4.564343452453613,3218.39892578125,280.14508056640625,264.37478637695307,2.269190788269043,7.151276588439941,1591.1728515625,291.150390625,285.66294860839844,4.232038497924806,1.527606964111328,296.4838562011719,287.35118103027344,6.508460998535156,5.747444152832031,296.93963623046875,291.8828582763672,0.5062808990478516,0.6121139526367188,0.0,0.021561622619628903,-0.021149396896362305,102039.0,177.2691192626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9150619506835933,2.7588043212890625,100060.0,171.99525451660156,296.284912109375,0.0,76.4,0.0,0.0,0.0,0.0,296.44964599609375,296.40521240234375,0.01393,292.3487091064453,76.0,0.39095306396484375,0.8579177856445312,0.9411327203270048,0.39095306396484375,0.8579177856445312,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416000000000001,0.02,0.0,2.0,61.0,14.0,-3.0,390.0,-230.0,32.616512298583984,0.0,98.375,88.0,98.375,29100.0,9847.24921798706,6950.298480987549,27300.0,11088.815711975098,256.7,0.0,377.5,0.0,401.9259643554688,0.0,0.0,0.0,-3.0,-31.6,5.506607055664063,11.301156997680664,4.796745300292969,2.966835021972656,-3.3846569061279297,1.2147903442382812,4273.421640625,11.0,61500.0,4270.0,11.0,61400.0,5780.0,7400.0,-3.5,540.0
8,0,2019,6,27,-10.0,-999.0,0.0,18500.0,-10.0,-10.0,-10.0,1.2699475791305304,8.214941024780272,6.068584442138673,6.747364044189452,0.35608482360839844,5888.46240234375,262.44732666015625,242.24978637695312,-1.8702325820922847,6.067619323730469,3219.8037109375,279.7947998046875,264.7075958251953,2.536149024963379,10.545330047607422,1592.796142578125,291.4569091796875,283.95591735839844,1.5650062561035156,0.078094482421875,297.6692810058594,282.4335174560547,3.960132598876953,2.0485877990722656,296.49542236328125,292.1018981933594,-0.5629758834838867,-0.5653142929077148,0.0,0.01728057861328125,-0.02303147315979004,102051.0,177.9702606201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4624042510986328,-0.668060302734375,100060.0,171.99525451660156,295.75775146484375,0.0,76.5,0.0,0.0,0.0,0.0,295.849365234375,295.786376953125,0.013960000000000002,292.4029541015625,79.9,-1.0326509475708008,-0.6720409393310547,1.2512917154235763,-1.0326509475708008,-0.6720409393310547,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416000000000001,0.05,-1.0,0.0,36.0,14.0,-2.9000000000000004,330.0,-250.0,28.35754680633545,0.0,35.875,15.0,35.875,--,--,--,--,--,280.8,0.0,362.6,0.0,399.09228515625,0.0,0.0,0.0,42.0,-25.20000000000001,8.175294876098633,6.1306095123291025,4.181550979614259,0.9648113250732422,-2.3853683471679688,6.3165245056152335,4256.19703125,1.0,61700.0,4260.0,1.0,61600.0,5780.0,7530.0,-2.2,230.0
9,0,2019,6,27,-10.0,-999.0,0.0,17300.0,-10.0,-10.0,-10.0,2.414337284862995,7.072216033935548,4.712135314941406,5.643106460571289,-0.1426219940185547,5883.369140625,262.53602600097656,240.12478637695312,-3.28201675415039,7.611799240112305,3218.7421875,278.9703369140625,272.56228637695307,5.158452033996582,11.13768482208252,1590.394775390625,291.9011535644531,280.61495971679693,1.1074295043945312,-1.077204704284668,297.642822265625,280.77130126953125,2.539880752563477,-0.03444480895996094,296.0128479003906,291.97979736328125,0.3150177001953125,-1.66461181640625,0.0,0.018398284912109368,-0.02254009246826172,102045.0,177.01654052734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9458122253417968,-3.6690902709960938,100060.0,171.99525451660156,294.7505340576172,0.0,76.5,0.0,0.0,0.0,0.0,294.9295959472656,294.9425964355469,0.013840000000000002,292.24395751953125,82.60000000000002,-0.2104482650756836,-1.0860443115234375,1.0637958978768438,-0.2104482650756836,-1.0860443115234375,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416000000000001,0.03,-1.0,1.0,44.0,14.0,-2.3000000000000003,280.0,-300.0,29.207739233970642,0.0,11.75,1.625,11.75,--,--,--,--,--,276.40000000000003,0.0,356.6,0.0,393.7740478515625,0.0,0.0,0.0,52.0,-26.0,8.403825759887695,5.3691749572753915,2.2052459716796875,-0.045223236083984375,-4.1419677734375,10.905998229980467,4073.05109375,51.0,63100.0,4070.0,51.0,63000.0,5770.0,7600.0,-2.1,250.0
10,0,2019,6,27,-10.0,-999.0,0.0,15900.0,-10.0,-10.0,-10.0,3.3144727498292923,9.060491561889648,2.663393020629884,8.377464294433594,0.7772388458251953,5883.38427734375,262.57666015625,259.3807830810547,-1.7669601440429688,9.076698303222656,3223.926025390625,278.5279541015625,272.18728637695307,5.789745330810548,6.504918098449707,1596.2412109375,292.48358154296875,274.3028564453125,3.3015537261962886,0.5858497619628906,296.68890380859375,281.1538848876953,3.0253801345825195,-1.896528244018555,295.43646240234375,292.0987701416016,2.006309509277344,-0.919057846069336,0.0,-0.004662513732910156,-0.017611265182495117,102134.0,184.88020896911618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.884241104125977,-1.956268310546875,100150.0,171.99525451660156,294.2901306152344,0.0,76.60000000000002,0.0,0.0,0.0,0.0,294.6223449707031,294.5296936035156,0.01383,292.22412109375,85.10000000000002,1.829782485961914,-0.34987831115722656,1.8768525109626355,1.829782485961914,-0.34987831115722656,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416000000000001,0.11,-5.0,9.0,71.0,14.0,-2.2,320.0,-270.0,31.33446526527405,0.0,4.125,0.0,4.125,--,--,--,--,--,270.40000000000003,0.0,352.20000000000016,0.0,391.33447265625,0.0,0.0,0.0,40.0,5.0,9.930519104003906,5.126636505126953,1.2041168212890625,0.2073841094970703,-5.01203727722168,11.572746276855467,3871.2296875,82.0,64700.0,3870.0,82.0,64600.0,5760.0,7560.0,-2.1,290.0
11,0,2019,6,27,-10.0,-999.0,0.0,14700.0,-10.0,-10.0,-10.0,1.4101487211883068,7.545497894287107,6.1112117767333975,7.520294189453125,-0.2109336853027344,5881.1494140625,262.39715576171875,259.6337890625,2.5877418518066406,8.882061004638672,3222.85888671875,278.3695678710937,269.93728637695307,4.3646240234375,6.020397186279298,1597.387939453125,292.0029602050781,274.45811462402344,2.658756256103516,0.9607982635498048,295.1374816894531,283.79063415527344,3.017402648925781,-2.998908042907715,294.9645080566406,292.28282165527344,0.3697967529296875,0.7095422744750977,0.0,-0.03549671173095703,0.011382341384887695,102193.0,189.5701770782471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6040363311767578,0.33304405212402344,100200.0,171.99525451660156,294.3418426513672,0.0,76.60000000000002,0.0,0.0,0.0,0.0,294.4106750488281,294.2935485839844,0.014180000000000003,292.6697540283203,88.7,-0.03963470458984375,1.035085678100586,1.0633812774321996,-0.03963470458984375,1.035085678100586,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416000000000001,0.04,-1.0,3.0,35.0,14.0,-2.6,350.0,-240.0,31.05025696754456,0.0,0.5,0.25,0.5,--,--,--,--,--,271.2,73.60000000000002,352.70000000000016,12.0,391.5978698730469,463.0,23.5,41.8,25.0,-29.6,10.399560928344727,2.4665298461914062,3.7148704528808594,-1.0032119750976562,0.2435340881347656,9.717838287353516,3842.728125,80.0,64900.0,3840.0,80.0,64800.0,5720.0,7580.0,-2.3000000000000003,310.0
