Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,7,8,-10.0,-999.0,0.0,35700.0,-10.0,-10.0,-10.0,2.0828321874141693,8.387113571166992,3.3980445861816406,9.684005737304688,5.375097274780273,5896.3046875,266.7200927734375,259.43728637695307,8.414966106414795,-2.9668960571289062,3188.982177734375,281.5916748046875,273.81228637695307,9.70134162902832,-7.79728889465332,1550.6561279296875,293.7294921875,288.0255432128906,6.018726348876952,-1.7473592758178709,300.06317138671875,290.8565979003906,2.841435432434082,-1.0581016540527344,305.3521728515625,294.5526123046875,0.4004039764404297,-1.2297325134277344,0.0,-0.015394210815429688,0.014909982681274412,101293.0,113.52805519104004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7900142669677734,-1.5904674530029297,100250.0,91.24525451660156,299.1499938964844,0.0,39.0,0.0,0.0,0.0,0.0,301.6916809082031,301.472412109375,0.01634,294.9492492675781,51.8,-0.8626708984375,-1.290630340576172,1.5655443256255241,-0.8626708984375,-1.290630340576172,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118,0.04,-10.0,0.0,270.0,8.0,-6.5,2070.0,-9.0,47.81411504745483,0.0,0.0,0.0,0.0,--,--,--,--,--,285.1,124.6,430.8,16.0,422.21124267578125,483.0,36.9,43.8,125.0,37.2,3.1133823394775386,-10.042356491088867,3.998149871826172,0.9666748046875,8.7322998046875,-1.6300430297851562,4777.5453125,56.0,57600.0,4780.0,56.0,57600.0,6630.0,8260.0,-6.3000000000000025,1990.0
1,0,2019,7,8,25.0,463.8,0.032,11200.0,-10.0,-10.0,-10.0,8.421764466911553,7.116717338562013,3.811878204345703,10.48347282409668,4.376884460449219,5902.033203125,266.6107177734375,260.37478637695307,8.41847038269043,-1.4249992370605469,3191.9091796875,281.47238159179693,277.93728637695307,6.825275421142577,-5.042112350463867,1552.3802490234375,292.43328857421875,289.0622863769531,5.8757572174072275,-4.206398010253906,299.17498779296875,290.7621612548828,4.208600997924806,-5.1765642166137695,304.22296142578125,297.26953125,-0.2923183441162109,-3.757373809814453,0.0,-0.03829526901245117,-0.00800633430480957,101348.0,119.53850841522215,23.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1044654846191415,-5.399797439575195,100330.0,91.24525451660156,302.0920715332031,0.0,36.8,0.0,0.0,0.0,0.0,302.6778869628906,302.4112854003906,0.019510000000000003,297.83544921875,73.8,-3.737407684326172,-2.8952541351318364,4.690811354201287,-3.737407684326172,-2.8952541351318364,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118,0.3,-20.0,50.0,20.0,8.0,-9.0,3570.0,-12.0,51.4232439994812,2.0,0.0,0.0,2.0,--,--,--,--,--,283.2,0.0,422.5,0.0,439.2252502441406,0.0,0.0,0.0,113.3,58.3,4.1447792053222665,-10.618995666503906,6.343921661376952,1.1502628326416016,13.234161376953125,3.2025852203369136,4830.416562500001,55.0,57300.0,4830.0,55.0,57200.0,6610.0,8250.0,-7.4,2430.0
2,0,2019,7,8,-10.0,-999.0,0.0,18600.0,-10.0,-10.0,-10.0,4.798633571714163,8.687932968139647,3.889076232910156,10.556121826171877,3.566856384277344,5902.64794921875,267.556640625,261.31228637695307,6.381533622741699,-2.319344520568848,3190.726806640625,282.69110107421875,276.12478637695307,7.0863399505615225,-6.621109008789063,1549.2535400390625,293.17718505859375,287.4372863769531,5.222752571105957,-2.780651092529297,298.1201477050781,291.0612335205078,3.097289085388184,-5.588329315185547,301.8259582519531,296.5668640136719,-2.763570785522461,-3.1411075592041016,0.0,-0.034862518310546875,-0.026444673538208008,101363.0,120.08290958404541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6394062042236333,-3.1254673004150386,100330.0,91.24525451660156,300.76995849609375,0.0,35.1,0.0,0.0,0.0,0.0,300.9848327636719,300.72515869140625,0.01851,297.02040100097656,78.0,-2.326894760131836,-1.510202407836914,2.7547652777284384,-2.326894760131836,-1.510202407836914,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118,0.18,-6.0,26.0,50.0,8.0,-6.1000000000000005,2250.0,-44.0,49.98412609100342,0.0,0.0,0.0,0.0,--,--,--,--,--,284.0,0.0,413.8,0.0,431.5317687988281,0.0,0.0,0.0,61.3,18.7,4.617527961730957,-11.305944442749025,5.918855667114258,-3.4173316955566406,7.534536361694336,1.2603836059570312,4787.604375,63.0,57600.0,4790.0,62.0,57500.0,6750.0,8250.0,-5.8000000000000025,2050.0
3,0,2019,7,8,-10.0,-999.0,0.0,16400.0,-10.0,-10.0,-10.0,2.6494290195405483,10.463123321533203,3.925334930419922,11.25998306274414,4.3536224365234375,5906.3681640625,267.97119140625,260.93728637695307,6.370287895202638,-3.686935424804688,3190.898193359375,283.1297302246094,277.18728637695307,6.3028812408447275,-6.5618629455566415,1547.149658203125,293.209716796875,286.4997863769531,5.436062812805176,-2.517152786254884,297.28826904296875,291.6247863769531,2.6656780242919917,-5.932063102722168,300.07574462890625,296.4997863769531,-1.121084213256836,-1.907188415527344,0.0,0.004998683929443359,-0.02886509895324707,101379.0,121.430441737175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.856718063354492,-1.5298404693603516,100350.0,91.24525451660156,299.7450866699219,0.0,35.2,0.0,0.0,0.0,0.0,299.8224792480469,299.53631591796875,0.01844,296.9372863769531,83.4,-0.7411537170410156,-0.29001426696777344,0.8147022312041372,-0.7411537170410156,-0.29001426696777344,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118,0.04,-1.0,0.0,70.0,8.0,-5.0,1810.0,-50.0,48.57510554790497,0.0,0.0,0.0,0.0,--,--,--,--,--,283.8,0.0,407.0,0.0,425.5328063964844,0.0,0.0,0.0,67.0,11.3,2.938789367675781,-11.33297348022461,3.942211151123047,-4.8673439025878915,5.971904754638673,-0.9373931884765624,4864.59015625,52.0,57000.0,4860.0,52.0,57000.0,6660.0,8190.0,-4.5,1490.0
4,0,2019,7,8,-10.0,-999.0,0.0,15400.0,-10.0,-10.0,-10.0,2.4921020790934563,11.07435417175293,5.2843894958496085,11.585041046142578,4.8844947814941415,5905.3427734375,267.52011108398443,261.56228637695307,6.430068016052246,-3.76952075958252,3193.797119140625,282.78106689453125,277.74978637695307,5.0869178771972665,-6.990222930908202,1551.135986328125,292.75927734375,285.3122863769531,4.602301597595215,-2.2385711669921875,297.5338134765625,287.9372863769531,2.9441509246826167,-5.126357078552246,299.0857238769531,295.8747863769531,-0.15062522888183594,-1.1017189025878906,0.0,0.02645397186279297,-0.0017054080963134766,101459.0,128.4933567047119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1683025360107422,-0.8929023742675781,100430.0,91.24525451660156,298.9881286621094,0.0,37.0,0.0,0.0,0.0,0.0,298.9471130371094,298.55462646484375,0.01779,296.3747863769531,85.5,0.06425952911376953,0.4551753997802734,0.5035664625465871,0.06425952911376953,0.4551753997802734,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118,0.04,0.0,10.0,70.0,8.0,-4.3,1250.0,-67.0,46.29578983783722,0.0,0.0,0.0,0.0,--,--,--,--,--,281.6,0.0,396.4,0.0,421.4336242675781,0.0,0.0,0.0,59.0,17.1,1.9858617782592767,-10.972484588623047,3.911689758300781,-5.347785949707031,4.985572814941406,-1.4344100952148438,4769.5496875,58.0,57700.0,4770.0,58.0,57700.0,6600.0,8150.0,-3.6,890.0
5,0,2019,7,8,-10.0,-999.0,0.0,15600.0,-10.0,-10.0,-10.0,0.8699304237961769,11.004768371582033,4.92449951171875,11.849000930786133,4.005767822265625,5898.7119140625,266.8656005859375,262.99978637695307,7.581218719482423,-3.826351165771485,3191.71337890625,282.15899658203125,278.18728637695307,4.3880672454833975,-6.672398567199707,1550.6221923828125,292.6456604003906,284.2497863769531,6.9288063049316415,-1.3451805114746094,297.8080749511719,284.6078796386719,4.909506797790527,-4.36925220489502,298.72906494140625,295.2079315185547,-0.15891456604003906,-0.5683307647705078,0.0,0.0213623046875,0.0035903453826904297,101466.0,128.42390632629395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2131786346435547,-0.6081085205078125,100430.0,91.24525451660156,298.2582702636719,0.0,38.6,0.0,0.0,0.0,0.0,298.334716796875,297.9554138183594,0.017210000000000003,295.8122863769531,85.4,-0.2899017333984375,0.6995277404785156,0.7529393762815744,-0.2899017333984375,0.6995277404785156,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118,0.04,0.0,0.0,60.0,8.0,-3.9,770.0,-100.0,44.63870406150818,0.0,0.0,0.0,0.0,--,--,--,--,--,278.3,0.0,388.1,0.0,417.3665008544922,0.0,0.0,0.0,49.0,36.2,2.4845504760742188,-10.408514022827148,7.6209449768066415,-4.268840789794922,6.4523677825927725,-2.0927562713623047,4695.428125,75.0,58200.0,4700.0,74.0,58200.0,6520.0,8180.0,-2.5,360.0
6,0,2019,7,8,-10.0,-999.0,0.0,15300.0,-10.0,-10.0,-10.0,0.4217970222234726,9.803619384765623,3.779865264892578,10.440282821655273,2.4456748962402344,5893.90087890625,266.7850952148437,264.06228637695307,8.282739639282228,-2.802372932434082,3188.8251953125,281.83447265625,278.87478637695307,4.426348686218262,-4.7762184143066415,1548.366943359375,292.879150390625,282.74644470214844,8.883445739746094,-1.173365592956543,297.509521484375,284.2508544921875,4.767144203186035,-5.0495147705078125,298.6017150878906,294.6964111328125,0.40177154541015625,-0.7194252014160156,0.0,-0.029737949371337887,0.0010683536529541016,101453.0,127.09534740447998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5871248245239258,-1.1339607238769531,100410.0,91.24525451660156,297.5811767578125,0.0,40.0,0.0,0.0,0.0,0.0,297.673828125,297.3468322753906,0.016900000000000002,295.51072692871094,86.5,0.3776416778564453,0.2587442398071289,0.4404616861138493,0.3776416778564453,0.2587442398071289,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118,0.01,0.0,0.0,63.0,8.0,-3.4000000000000004,530.0,-110.0,45.09352493286133,0.0,0.0,0.0,0.0,--,--,--,--,--,275.2,0.0,385.1,0.0,413.4305114746094,0.0,0.0,0.0,5.0,18.2,4.84735107421875,-10.504207611083984,6.746326446533202,-4.928190231323242,7.160327911376952,-0.35419464111328125,4644.681875,91.0,58600.0,4640.0,91.0,58500.0,6510.0,8260.0,-1.2000000000000002,100.0
7,0,2019,7,8,-10.0,-999.0,0.0,15100.0,-10.0,-10.0,-10.0,1.047225758433342,9.273494720458984,2.8080406188964844,8.440128326416017,0.6346054077148438,5893.87255859375,267.00254821777344,263.74978637695307,8.166585922241211,-3.14157772064209,3185.797119140625,282.02154541015625,278.37478637695307,5.346841812133789,-3.602534294128418,1544.525146484375,292.6195068359375,282.75701904296875,10.36241340637207,-3.194676399230957,297.36920166015625,285.1348876953125,5.908430099487305,-3.9087190628051762,298.7523193359375,293.9787902832031,1.1730279922485352,-0.4319381713867188,0.0,0.014189720153808594,-0.014632940292358397,101417.0,124.26862335205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.130290985107422,-0.9857215881347656,100380.0,91.24525451660156,297.1210021972656,0.0,41.1,0.0,0.0,0.0,0.0,297.22381591796875,296.92095947265625,0.016540000000000003,295.1886749267578,86.9,0.6052484512329102,0.6304874420166016,0.8776064438279718,0.6052484512329102,0.6304874420166016,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118,0.03,-1.0,0.0,64.0,8.0,-2.5,350.0,-144.0,45.12203907966614,0.0,0.0,0.0,0.0,--,--,--,--,--,273.40000000000003,0.0,383.5,0.0,410.8588409423828,0.0,0.0,0.0,9.1,34.4,4.635612487792969,-10.3563232421875,7.792060852050781,-4.539836883544922,6.5985107421875,-0.9764518737792968,4716.30203125,89.0,58000.0,4720.0,89.0,58000.0,6560.0,8220.0,0.4,0.0
8,0,2019,7,8,-10.0,-999.0,0.0,14500.0,-10.0,-10.0,-10.0,1.6812700107693672,8.950980186462402,3.7039794921875,6.9772682189941415,0.4829292297363281,5888.34765625,267.07086181640625,263.56228637695307,7.810486793518066,-4.180702209472656,3178.53759765625,281.97930908203125,278.1905670166016,6.197004318237305,-3.5838518142700195,1538.5169677734375,292.26666259765625,283.4888610839844,12.029152870178224,-4.481955528259277,297.18304443359375,286.25914001464844,7.252636909484862,-3.7407150268554688,298.1400146484375,293.7503967285156,1.89944076538086,0.13743877410888672,0.0,0.02384185791015625,0.02950739860534668,101360.0,118.94414520263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8615226745605469,-0.5108642578125,100320.0,91.24525451660156,296.4790954589844,0.0,41.90000000000001,0.0,0.0,0.0,0.0,296.6131591796875,296.36865234375,0.0161,294.70616149902344,88.2,0.7780447006225586,0.5557718276977539,0.9403340613935144,0.7780447006225586,0.5557718276977539,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118,0.06,-1.0,0.0,69.0,8.0,-1.7000000000000002,170.0,-187.0,46.09394443035126,0.0,0.0,0.0,0.0,--,--,--,--,--,271.2,0.0,382.5,0.0,407.5341796875,0.0,0.0,0.0,32.0,59.5,2.9571352005004883,-9.609466552734377,9.566858291625977,-4.772859573364258,5.39775276184082,-3.095050811767578,4771.12953125,87.0,57600.0,4770.0,87.0,57500.0,6560.0,8140.0,1.2000000000000002,0.0
9,0,2019,7,8,-10.0,-999.0,0.0,14800.0,-10.0,-10.0,-10.0,3.289115607738495,9.522517204284668,3.120807647705078,7.507217407226562,0.8569869995117188,5883.2421875,267.03866577148443,262.49978637695307,7.432976722717285,-4.8942832946777335,3172.805908203125,281.8909606933594,278.26036071777344,6.787153244018555,-4.275784492492677,1534.36181640625,292.121826171875,283.959228515625,12.496661186218262,-4.44618034362793,297.0391845703125,287.6404571533203,8.182049751281737,-3.848255157470703,297.5816650390625,293.97991943359375,3.6153964996337886,1.1348285675048828,0.0,-0.018439292907714844,-0.018790245056152344,101320.0,115.42737865447998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8924856185913086,1.1283855438232422,100280.0,91.24525451660156,296.1000671386719,0.0,42.0,0.0,0.0,0.0,0.0,296.4012756347656,296.16497802734375,0.01575,294.34716796875,87.30000000000004,1.306422233581543,0.7405862808227539,1.5028746749740094,1.306422233581543,0.7405862808227539,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118,0.1,-4.0,7.0,81.0,8.0,-1.2000000000000002,80.0,-201.0,46.890166878700256,0.0,0.0,0.0,0.0,--,--,--,--,--,271.2,0.0,383.5,0.0,405.4527893066406,0.0,0.0,0.0,61.0,70.8,1.2645606994628906,-7.063331604003906,9.898405075073242,-5.232666015625,3.447681427001953,-5.3164329528808585,4781.39875,86.0,57500.0,4780.0,86.0,57400.0,6550.0,8130.0,0.1,0.0
