Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,7,9,-10.0,-999.0,0.0,32700.0,-10.0,-10.0,-10.0,3.37968922406435,25.897106170654297,-11.8067626953125,16.35987663269043,-11.408226013183596,5883.6240234375,269.12356567382807,244.31228637695312,4.252259254455566,-4.75653076171875,3163.716796875,280.93426513671875,271.06228637695307,1.3754053115844729,-3.6928653717041016,1537.4422607421875,290.2100830078125,287.2497863769531,-2.1597118377685547,-4.068187713623047,297.00555419921875,289.37364196777344,-2.015731811523437,-3.6394271850585938,303.142578125,293.3019104003906,-0.6808032989501953,-1.8294849395751955,0.0,0.030226707458496094,-0.009804010391235352,101342.0,117.16504389047623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3241329193115234,-2.4818439483642583,99100.0,195.4327545166016,302.3999938964844,0.0,34.300000000000004,0.0,0.0,0.0,0.0,302.66986083984375,303.4909362792969,0.01489,293.286865234375,56.3,-0.7026710510253906,-1.6894416809082031,1.822777449153364,-0.7026710510253906,-1.6894416809082031,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374,0.12,0.0,50.0,60.0,14.0,-1.4,920.0,0.0,35.448243021965034,0.0,0.0,0.0,0.0,--,--,--,--,--,293.9000000000001,131.6,402.9,21.125,436.374755859375,510.0,37.3,48.40000000000001,21.0,-8.1,-2.8505516052246094,-10.175785064697266,-1.5271949768066406,-2.238178253173828,6.4831485748291025,-2.634628295898437,5138.61546875,15.0,54900.0,5140.0,15.0,54900.0,6820.0,8040.0,-0.7000000000000001,580.0
1,0,2019,7,9,-10.0,-999.0,0.0,27200.0,-10.0,-10.0,-10.0,4.3477828092873105,24.86910629272461,-15.30986785888672,16.705978393554688,-11.654998779296875,5886.6572265625,269.3953399658203,237.37478637695312,3.86746883392334,-4.900667190551758,3164.6220703125,281.3290405273437,267.06228637695307,0.8876276016235352,-3.6093521118164062,1538.132568359375,290.12506103515625,287.0485534667969,-1.667558670043945,-4.180405616760254,296.69793701171875,289.7709503173828,-3.033416748046875,-3.9155664443969727,302.39385986328125,293.3682556152344,-0.8252573013305664,-1.2709083557128906,0.0,-0.0017485618591308596,-0.024730205535888672,101359.0,118.85069942474364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.004581451416016,-2.118122100830078,99120.0,195.4327545166016,300.3149719238281,0.0,37.9,0.0,0.0,0.0,0.0,300.68109130859375,301.44000244140625,0.0156,294.00413513183594,64.4,-0.9639997482299804,-0.9566030502319336,1.3787780832499266,-0.9639997482299804,-0.9566030502319336,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374,0.04,0.0,0.0,50.0,14.0,-1.0,850.0,-10.0,33.860244512557976,0.0,0.0,0.0,0.0,--,--,--,--,--,294.2,0.0,397.1,0.0,424.1726989746094,0.0,0.0,0.0,12.0,-9.0,-3.367107391357422,-10.075681686401367,-1.098592758178711,-2.9855775833129883,7.739177703857423,-3.17376708984375,5165.57640625,13.0,54700.0,5170.0,13.0,54700.0,6820.0,8010.0,0.1,370.0
2,0,2019,7,9,-10.0,-999.0,0.0,23100.0,-10.0,-10.0,-10.0,2.3038281202316284,23.66702461242676,-15.29947280883789,16.92619800567627,-11.344955444335938,5894.91552734375,269.830810546875,234.43728637695312,3.2579345703125,-3.898906707763672,3168.22607421875,282.0219421386719,260.43728637695307,0.2896900177001953,-1.3062171936035156,1539.3017578125,290.04473876953125,285.3747863769531,-3.1281814575195312,-2.8809947967529297,296.1368408203125,288.97267150878906,-5.018649101257324,-3.380995750427246,301.37811279296875,293.2165832519531,-1.017568588256836,-0.5861854553222656,0.0,-0.010268449783325195,0.014075636863708496,101394.0,122.29520225524902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.567224502563477,-1.2642345428466797,99170.0,195.4327545166016,299.0633544921875,0.0,41.3,0.0,0.0,0.0,0.0,299.2686767578125,300.0293884277344,0.015450000000000004,293.83338928222656,70.60000000000002,-1.1474628448486328,-0.15137290954589844,1.128892400301993,-1.1474628448486328,-0.15137290954589844,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374,0.04,0.0,4.0,60.0,14.0,0.30000000000000004,380.0,-60.0,28.429695010185238,0.0,0.0,0.0,0.0,--,--,--,--,--,299.6,0.0,383.6,0.0,417.2198791503906,0.0,0.0,0.0,6.0,-24.8,-4.119485855102538,-9.049514770507812,-2.888397216796875,-3.2524433135986333,8.160614013671875,-3.1884536743164062,5235.90546875,10.0,54300.0,5240.0,10.0,54300.0,6820.0,8130.0,1.2000000000000002,120.0
3,0,2019,7,9,-10.0,-999.0,0.0,22200.0,-10.0,-10.0,-10.0,2.6261444762349133,22.41986846923828,-16.378631591796875,17.152618408203125,-11.527576446533205,5898.27197265625,269.59878540039057,241.18728637695312,2.0748291015625,-3.759342193603516,3172.59814453125,282.05682373046875,258.06228637695307,-0.6640911102294922,-0.732966423034668,1542.1390380859375,290.41162109375,283.7497863769531,-3.2435970306396484,-2.7729530334472656,295.94970703125,288.7784729003906,-5.484376907348633,-3.5219554901123047,300.85272216796875,292.68145751953125,-0.7739677429199219,-0.22726726531982425,0.0,-0.02995824813842773,-0.024288177490234368,101440.0,126.30255889892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.23052978515625,-1.8798866271972656,99220.0,195.4327545166016,298.2964782714844,0.0,43.3,0.0,0.0,0.0,0.0,298.52581787109375,299.22320556640625,0.01525,293.66017150878906,72.4,-0.394536018371582,0.05139827728271485,0.4394944575615227,-0.394536018371582,0.05139827728271485,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374,0.01,0.0,0.0,76.0,14.0,0.7000000000000001,150.0,-110.0,26.56665897369385,0.0,0.0,0.0,0.0,--,--,--,--,--,299.5,0.0,376.8,0.0,413.0958557128906,0.0,0.0,0.0,-8.0,-30.5,-4.3784141540527335,-9.333734512329102,-3.93838119506836,-2.8957843780517583,7.018760681152344,-2.499839782714844,5207.893125000001,13.0,54500.0,5210.0,13.0,54500.0,6770.0,8210.0,1.9,0.0
4,0,2019,7,9,-10.0,-999.0,0.0,21600.0,-10.0,-10.0,-10.0,3.2061024717986584,19.39797782897949,-17.86450958251953,16.871957778930664,-12.653831481933596,5895.99560546875,269.6494598388672,240.43728637695312,2.7717571258544917,-3.7243976593017583,3171.26123046875,282.10723876953125,257.31228637695307,-0.9930992126464844,0.3857536315917969,1541.221435546875,290.325927734375,284.1247863769531,-4.6793413162231445,-0.9687099456787108,295.7135314941406,289.9372863769531,-6.943758010864258,-2.33486270904541,300.2675476074219,292.1872863769531,-1.1422786712646484,-0.2746391296386719,0.0,-0.015633583068847656,0.019683837890625,101441.0,126.30908012390137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0506134033203125,-2.2558460235595703,99220.0,195.4327545166016,297.7977294921875,0.0,44.5,0.0,0.0,0.0,0.0,297.964599609375,298.6905517578125,0.01495,293.3122863769531,73.5,-0.6740570068359375,0.023525238037109368,0.6909678878728299,-0.6740570068359375,0.023525238037109368,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374,0.02,0.0,0.0,84.0,14.0,1.4,0.0,0.0,26.985525608062744,0.0,0.0,0.0,0.0,--,--,--,--,--,300.2,0.0,376.70000000000016,0.0,410.27081298828125,0.0,0.0,0.0,3.0,-31.5,-4.772134780883789,-8.911540985107422,-5.483240127563477,-0.995553970336914,8.552536010742188,-2.6818981170654297,5178.925,13.0,54700.0,5180.0,13.0,54700.0,6770.0,8320.0,1.7000000000000002,0.0
5,0,2019,7,9,-10.0,-999.0,0.0,20900.0,-10.0,-10.0,-10.0,2.612160321325064,17.080083847045902,-17.230792999267578,15.11753749847412,-14.002037048339846,5897.9365234375,269.90200805664057,238.18728637695312,3.6035003662109375,-3.359687805175781,3173.3828125,282.1869201660156,257.99978637695307,1.0072469711303709,1.1764373779296875,1543.588623046875,290.2491149902344,285.0622863769531,-4.258637428283691,-0.0816650390625,295.699462890625,290.2958679199219,-6.8818864822387695,-1.5617694854736328,299.75689697265625,292.02638244628906,-0.8906135559082031,-0.4888229370117188,0.0,-0.01864194869995117,-0.00912165641784668,101471.0,128.94668960571292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3738365173339835,-2.4386005401611333,99250.0,195.4327545166016,297.3682556152344,0.0,45.2,0.0,0.0,0.0,0.0,297.5590515136719,298.17132568359375,0.014730000000000004,293.1322479248047,74.8,-0.2776222229003906,-0.2223834991455078,0.3785992939956486,-0.2776222229003906,-0.2223834991455078,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374,0.01,0.0,1.0,85.0,14.0,2.2,0.0,0.0,28.0400550365448,0.0,0.0,0.0,0.0,--,--,--,--,--,299.7,0.0,377.9,0.0,408.0266571044922,0.0,0.0,0.0,21.0,-28.70000000000001,-3.918135643005371,-8.520753860473633,-6.096446990966798,-0.4272823333740233,8.807727813720703,-2.604766845703125,5195.42875,12.0,54600.0,5200.0,12.0,54600.0,6830.0,8360.0,1.5,0.0
6,0,2019,7,9,-10.0,-999.0,0.0,19300.0,-10.0,-10.0,-10.0,2.5307991225272417,16.495399475097653,-17.988834381103516,13.78482437133789,-14.86795425415039,5892.2626953125,269.3512115478516,242.37478637695312,3.56301212310791,-2.265449523925781,3170.742919921875,281.828369140625,258.49978637695307,1.7369747161865234,0.6907453536987305,1541.3507080078125,290.6632080078125,284.1872863769531,-4.698824882507324,0.25905895233154297,295.287841796875,291.0622863769531,-6.5730390548706055,0.8226518630981445,299.05511474609375,292.6247863769531,-0.584834098815918,-0.5524768829345703,0.0,-0.00975179672241211,-0.02028203010559082,101455.0,127.53300666809082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3298254013061515,-1.6145877838134766,99230.0,195.4327545166016,296.8399658203125,0.0,45.8,0.0,0.0,0.0,0.0,296.9434509277344,297.6448669433594,0.01478,293.1872863769531,77.9,0.0844125747680664,-0.2609519958496094,0.31476653064601123,0.0844125747680664,-0.2609519958496094,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374,0.01,0.0,0.0,81.0,14.0,1.8,0.0,0.0,28.30984151363373,0.0,0.0,0.0,0.0,--,--,--,--,--,297.7,0.0,376.3,0.0,405.0232696533203,0.0,0.0,0.0,8.0,-42.1,-4.590566635131836,-7.459636688232423,-7.107728958129883,0.5925483703613281,7.823726654052732,-3.3078441619873047,5127.27234375,16.0,55000.0,5130.0,16.0,55000.0,6750.0,8330.0,0.4,170.0
7,0,2019,7,9,-10.0,-999.0,0.0,17400.0,-10.0,-10.0,-10.0,1.9984452836215496,14.837409973144533,-17.402957916259766,11.964523315429688,-15.447757720947266,5893.6318359375,269.49560546875,245.24978637695312,3.6404972076416016,-2.100170135498047,3168.40869140625,282.18267822265625,260.18728637695307,1.5986862182617188,1.7971687316894531,1538.425048828125,290.2991943359375,284.7497863769531,-5.399094581604004,0.2305488586425781,294.9776916503906,291.3023986816406,-6.388954162597656,0.12493324279785155,298.2867126464844,293.1734924316406,-0.2288293838500977,-0.6439247131347656,0.0,-0.005748271942138672,0.00896143913269043,101435.0,125.88811111450195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5398197174072266,-0.3051471710205078,99210.0,195.4327545166016,296.1430358886719,0.0,46.3,0.0,0.0,0.0,0.0,296.1891174316406,296.8857421875,0.014690000000000003,293.04640197753906,81.80000000000003,0.3210563659667969,-0.5287952423095703,0.6268987904768437,0.3210563659667969,-0.5287952423095703,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374,0.02,0.0,1.0,52.0,14.0,2.5,0.0,0.0,29.326429963111877,0.0,0.0,0.0,0.0,--,--,--,--,--,295.1,0.0,375.5,0.0,401.2035217285156,0.0,0.0,0.0,-12.0,-57.7,-4.962684631347656,-6.982860565185548,-8.222110748291017,0.5709667205810547,7.029085159301758,-3.4788532257080083,5193.28546875,17.0,54600.0,5190.0,17.0,54600.0,6790.0,8390.0,0.5,100.0
8,0,2019,7,9,-10.0,-999.0,0.0,15500.0,-10.0,-10.0,-10.0,1.5328514277935028,13.768678665161133,-15.681671142578125,11.690176963806152,-13.551136016845705,5893.04833984375,269.5659027099609,246.24978637695312,4.2683658599853525,-1.4635257720947266,3166.5888671875,282.6344299316406,253.87478637695312,3.36776065826416,2.1014881134033203,1536.251953125,290.4449462890625,283.4997863769531,-4.80140495300293,0.022205352783203125,294.744873046875,290.4372863769531,-6.385612487792969,-0.689213752746582,297.48956298828125,293.4997863769531,0.4185962677001953,-1.156291961669922,0.0,0.015195846557617188,0.0031015872955322266,101421.0,124.8963737487793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9010639190673828,-0.4927768707275391,99210.0,195.4327545166016,295.2640838623047,0.0,46.7,0.0,0.0,0.0,0.0,295.3791809082031,296.08489990234375,0.0147,293.0456848144531,85.9,0.9927301406860352,-1.1283559799194336,1.5024092884268612,0.9927301406860352,-1.1283559799194336,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374,0.08,-1.0,4.0,47.0,14.0,2.8000000000000003,0.0,0.0,27.42419075965881,0.0,0.0,0.0,0.0,--,--,--,--,--,294.6,0.0,369.3,0.0,396.6328887939453,0.0,0.0,0.0,-6.0,-60.90000000000001,-2.8782272338867188,-7.650625228881836,-8.293153762817383,0.8977813720703125,7.021209716796875,-1.924102783203125,5205.13953125,17.0,54500.0,5210.0,17.0,54500.0,6800.0,8380.0,1.6,0.0
9,0,2019,7,9,-10.0,-999.0,0.0,14800.0,-10.0,-10.0,-10.0,1.738794717937708,10.36253833770752,-15.249217987060547,9.439973831176758,-11.629222869873047,5897.0654296875,269.74618530273443,246.8212890625,4.866318702697754,-1.7081565856933594,3168.5517578125,282.6781005859375,256.93728637695307,3.6069049835205083,0.5723237991333008,1537.197998046875,290.6904296875,282.7497863769531,-3.7728786468505855,-0.2800264358520508,294.5699462890625,289.9372863769531,-5.757484436035156,-1.3594160079956057,297.18231201171875,293.4997863769531,0.3970661163330078,-1.2439041137695312,0.0,-0.015979766845703125,-0.010607004165649414,101437.0,126.4087257385254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5517501831054688,-1.245321273803711,99220.0,195.4327545166016,294.6155700683594,0.0,47.0,0.0,0.0,0.0,0.0,294.8203430175781,295.53765869140625,0.01461,292.9997863769531,87.60000000000002,0.8982353210449219,-1.2867355346679688,1.563843408599496,0.8982353210449219,-1.2867355346679688,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374,0.07,-2.0,2.0,46.0,14.0,3.3000000000000003,0.0,0.0,27.078834891319275,0.0,0.0,0.0,0.0,--,--,--,--,--,293.8,0.0,366.1,0.0,392.98187255859375,0.0,0.0,0.0,16.0,-47.1,-1.5945653915405271,-8.533601760864258,-6.710540771484375,0.8128166198730469,7.1606178283691415,-1.2050018310546875,5268.3665625,17.0,54100.0,5270.0,17.0,54100.0,6820.0,8330.0,2.5,0.0
