Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,7,15,-10.0,-999.0,0.0,24200.0,-10.0,-10.0,-10.0,4.4275575056672105,14.098363876342773,0.2252197265625,13.782594680786133,-5.159595489501953,5919.8974609375,265.2103271484375,256.24978637695307,1.4625835418701172,1.2103404998779297,3222.51025390625,281.8232421875,274.49978637695307,0.8340396881103516,1.4201002120971682,1588.798095703125,291.22393798828125,289.6209716796875,6.281084060668945,-1.6907196044921875,298.1680908203125,291.62501525878906,5.5084190368652335,-1.018964767456055,303.83221435546875,296.6025390625,2.02009391784668,0.064971923828125,0.0,-0.018105030059814453,-0.02395486831665039,101836.0,160.68050765991208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2297191619873047,-0.5843791961669922,99220.0,229.6827545166016,302.21246337890625,0.0,49.7,0.0,0.0,0.0,0.0,302.4568176269531,303.150390625,0.01863,296.9254455566406,70.3,1.358673095703125,-0.15027427673339844,1.3762112784897909,1.358673095703125,-0.15027427673339844,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2402,0.04,0.0,0.0,0.0,14.0,-8.9,3310.0,-10.0,46.59378719329834,1.125,0.0,0.0,1.125,--,--,1960.0112686157227,--,--,283.7,128.8,418.4,21.0,435.1190185546875,491.0,37.9,48.40000000000001,-1.0,-31.0,9.404745101928713,3.752300262451172,4.908697128295898,-1.4319915771484375,-1.06549072265625,1.7822799682617188,4589.9540625,60.0,59200.0,4590.0,60.0,59200.0,6310.0,8080.0,-8.5,3030.0
1,0,2019,7,15,-10.0,-999.0,0.0,22600.0,-10.0,-10.0,-10.0,2.08476828597486,19.01758575439453,-1.8985443115234373,13.356748580932615,-5.897407531738281,5919.337890625,265.2284698486328,255.43728637695312,0.4332990646362305,-0.8308734893798828,3224.254150390625,281.57879638671875,275.06228637695307,0.550384521484375,0.7073955535888672,1592.0218505859375,291.023193359375,289.8587341308594,6.254661560058594,-2.272158622741699,298.01580810546875,291.2324676513672,5.920299530029298,-2.414417266845703,303.4352111816406,295.4288024902344,1.0564117431640625,-0.5200347900390625,0.0,-0.004838943481445313,-0.01812148094177246,101891.0,165.2026329040527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.563880920410156,-1.843364715576172,99270.0,229.6827545166016,301.1517333984375,0.0,51.0,0.0,0.0,0.0,0.0,301.4324035644531,302.0850524902344,0.01817,296.5230712890625,72.10000000000002,0.7636432647705078,-0.7834873199462891,1.129776270594448,0.7636432647705078,-0.7834873199462891,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2402,0.03,0.0,0.0,0.0,14.0,-8.3,2870.0,-10.0,44.84732621908188,0.25,0.0,0.0,0.25,--,--,1642.8054847717285,--,--,285.0,0.0,413.1,0.0,428.9429016113281,0.0,0.0,0.0,-15.0,-50.1,5.043018341064453,6.1259727478027335,5.436622619628906,-1.5775260925292969,-2.6728668212890625,0.7628517150878906,4549.1221875,58.0,59500.0,4550.0,58.0,59500.0,6390.0,8130.0,-7.0,2070.0
2,0,2019,7,15,-10.0,-999.0,0.0,23100.0,-10.0,-10.0,-10.0,1.6798005700111391,19.67439842224121,-3.667957305908203,13.909608840942385,-3.701431274414064,5921.5712890625,264.74432373046875,257.49978637695307,-0.5065956115722656,-0.8391990661621094,3229.482666015625,281.8094177246094,274.62478637695307,0.3583602905273437,0.9332008361816406,1596.062744140625,290.6439514160156,288.5622863769531,7.944103240966798,-2.353431701660156,297.43475341796875,291.48390197753906,5.396675109863281,-2.521080017089844,302.825927734375,294.0386047363281,0.32147216796875,-0.8154449462890625,0.0,0.0028176307678222656,0.010071992874145508,101966.0,171.78679275512698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8896369934082031,-2.0229148864746094,99350.0,229.6827545166016,299.846435546875,0.0,51.8,0.0,0.0,0.0,0.0,300.2501220703125,300.86541748046875,0.01694,295.4114227294922,71.2,0.18691253662109367,-1.1876373291015625,1.1918800882995129,0.18691253662109367,-1.1876373291015625,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2402,0.03,0.0,2.0,30.0,14.0,-7.0,1890.0,-30.0,42.502066373825066,0.875,0.0,0.0,0.875,--,--,--,--,--,283.6,0.0,405.20000000000016,0.0,421.7521362304688,0.0,0.0,0.0,-29.0,-56.0,4.872995376586914,6.0948028564453125,6.113208770751952,-0.7752780914306641,-3.247608184814453,0.9404830932617188,4521.066875,54.0,59800.0,4520.0,54.0,59700.0,6270.0,8100.0,-5.7,1220.0
3,0,2019,7,15,-10.0,-999.0,0.0,22800.0,-10.0,-10.0,-10.0,1.0973206087946892,21.112457275390625,-3.1411590576171875,14.693625450134276,-4.9813499450683585,5926.3828125,265.07205200195307,256.43728637695307,-2.0588951110839844,0.7829523086547852,3233.11962890625,281.7430114746094,274.62478637695307,-1.221845626831055,1.8802385330200195,1599.156494140625,290.713623046875,289.6872863769531,6.032760620117188,-1.8099479675292969,297.22808837890625,291.7497863769531,4.239748001098634,-0.9916458129882812,301.9808654785156,293.8122863769531,-0.67547607421875,0.49444580078125,0.0,0.015798568725585938,0.013557195663452148,102006.0,175.62952041625977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06528472900390625,-0.7302017211914062,99390.0,229.6827545166016,298.91204833984375,0.0,52.2,0.0,0.0,0.0,0.0,299.3799743652344,299.9006652832031,0.016210000000000002,294.6872863769531,71.60000000000002,-1.0859260559082031,0.1433238983154297,1.1277231958229097,-1.0859260559082031,0.1433238983154297,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2402,0.03,0.0,2.0,30.0,14.0,-5.4,1210.0,-50.0,43.68159890174866,0.0,0.25,49.0,49.0,--,--,11307.424911499023,--,12822.293975830078,279.3,0.0,404.9,0.0,416.3970642089844,0.0,0.0,0.0,-17.0,-48.7,5.545700073242188,5.924484252929688,6.025064468383789,-0.8190460205078125,-2.690929412841797,1.9628639221191408,4537.885625,53.0,59700.0,4540.0,53.0,59600.0,6330.0,8060.0,-5.6000000000000005,1280.0
4,0,2019,7,15,-10.0,-999.0,0.0,21700.0,-10.0,-10.0,-10.0,1.600168563425541,17.521430969238278,0.3884925842285156,14.565030097961426,-5.0108299255371085,5922.5390625,265.3907470703125,256.74978637695307,-0.813079833984375,2.357417106628418,3228.576171875,281.1166381835937,274.74978637695307,-0.7354230880737305,2.6361398696899414,1596.613037109375,290.5666198730469,290.1247863769531,3.7494831085205083,-2.263875961303711,297.0013427734375,291.4372863769531,2.5124340057373047,-0.9434413909912108,301.1921081542969,293.3122863769531,-0.8720474243164062,0.8056106567382812,0.0,0.025107860565185547,0.02030658721923828,101997.0,174.71842002868652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8579616546630859,0.22416114807128906,99390.0,229.6827545166016,298.2442626953125,0.0,52.6,0.0,0.0,0.0,0.0,298.6921691894531,299.21990966796875,0.015850000000000003,294.3122863769531,73.5,-1.4498653411865234,0.7485694885253906,1.6257757279672658,-1.4498653411865234,0.7485694885253906,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2402,0.05,-2.0,3.0,20.0,14.0,-4.4,860.0,-50.0,44.385897874832146,1.125,0.0,25.625,25.625,84700.0,1631.027027130127,1359.2651290893555,84700.0,1954.076774597168,269.2,0.0,443.9,0.0,412.8555603027344,0.0,0.0,0.0,-5.0,-20.3,7.882301330566406,0.4814929962158203,4.3005714416503915,-2.030097961425781,-0.036067962646484375,2.870983123779297,4542.67703125,50.0,59600.0,4540.0,50.0,59500.0,6320.0,8060.0,-5.1000000000000005,1160.0
5,0,2019,7,15,-10.0,-999.0,0.0,18600.0,-10.0,-10.0,-10.0,3.0469796024262905,18.04160499572754,2.221454620361328,13.144384384155273,-5.149251937866211,5916.0595703125,265.51275634765625,257.24978637695307,-0.9320907592773438,1.3563261032104492,3220.0546875,281.08297729492193,274.49978637695307,0.5747280120849609,1.6874055862426758,1588.9315185546875,290.14910888671875,289.7497863769531,5.274463653564453,0.05818939208984375,296.7750244140625,290.4997863769531,3.3711013793945312,1.6403694152832031,299.79779052734375,293.4372863769531,-0.7872276306152344,1.477621078491211,0.0,-0.007164478302001953,-0.00895380973815918,101949.0,170.08059883117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8787918090820312,2.682933807373047,99330.0,229.6827545166016,297.7333984375,0.0,52.7,0.0,0.0,0.0,0.0,297.9854736328125,298.5636291503906,0.01584,294.3122863769531,78.9,-1.251953125,1.5805416107177734,2.000987326027825,-1.251953125,1.5805416107177734,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2402,0.1,-3.0,11.0,6.0,14.0,-3.9,680.0,-72.0,42.73588043451309,5.25,0.0,0.0,5.25,--,--,--,--,--,277.90000000000003,0.0,394.20000000000016,0.0,410.0107421875,0.0,0.0,0.0,22.0,-6.2,-6.166034698486327,4.1046199798583975,4.959394454956055,0.31131744384765625,-0.3110294342041016,-0.8697471618652344,4594.812031250001,48.0,59200.0,4590.0,48.0,59100.0,6340.0,8030.0,-4.2,850.0
6,0,2019,7,15,-10.0,-999.0,0.0,18000.0,-10.0,-10.0,-10.0,3.558194909244776,18.039623260498047,3.046005249023437,15.092331886291506,-3.985908508300781,5915.30078125,265.770751953125,257.43728637695307,-1.975942611694336,0.3911838531494141,3219.279296875,281.1181640625,274.93728637695307,-0.00751495361328125,0.9484233856201172,1586.893798828125,290.52593994140625,288.0077819824219,4.6004180908203125,0.2825126647949219,296.3326110839844,291.2307891845703,5.9826011657714835,1.0085315704345703,299.3167724609375,293.8583068847656,0.2735261917114258,1.550737380981445,0.0,0.014479637145996094,0.01563286781311035,101938.0,169.28658294677734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.881427764892578,3.7942981719970703,99320.0,229.6827545166016,296.8591613769531,0.0,52.8,0.0,0.0,0.0,0.0,297.23516845703125,297.8411865234375,0.015609999999999999,294.0834197998047,80.2,0.10731792449951172,1.6655111312866209,1.6921000429429114,0.10731792449951172,1.6655111312866209,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2402,0.06,-3.0,4.0,31.0,14.0,-3.0,460.0,-62.0,43.06980347633362,0.0,0.0,0.0,0.0,--,--,--,--,--,277.40000000000003,0.0,392.0,0.0,405.1398010253906,0.0,0.0,0.0,45.0,0.4,0.31241416931152344,8.413864135742188,4.286277770996094,-0.5823974609375,-6.531352996826173,-1.8603744506835933,4578.764218750001,53.0,59227.783203125,4580.0,53.0,59200.0,6450.0,8070.0,-3.9,780.0
7,0,2019,7,15,-10.0,-999.0,0.0,18600.0,-10.0,-10.0,-10.0,4.039020758122207,17.28764533996582,4.610763549804688,14.800687789916992,-0.030193328857421875,5922.576171875,266.085693359375,258.93728637695307,-2.4568681716918945,1.4105195999145508,3224.386962890625,281.63714599609375,275.06228637695307,-1.5631446838378906,1.2735748291015625,1586.3740234375,291.61181640625,287.01710510253906,4.192626953125,0.559295654296875,297.39080810546875,288.20672607421875,8.014602661132812,1.0968151092529297,299.4614562988281,293.7399597167969,0.9236059188842772,0.7246627807617188,0.0,-0.01476144790649414,0.017844200134277344,101895.0,165.74410629272458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.409933090209961,1.7789077758789062,99280.0,229.6827545166016,296.8919677734375,0.0,52.90000000000001,0.0,0.0,0.0,0.0,297.22479248046875,297.9040222167969,0.01559,294.0378723144531,79.2,1.1969490051269531,0.7470846176147461,1.3769263497088104,1.1969490051269531,0.7470846176147461,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2402,0.04,-2.0,2.0,46.0,14.0,-2.8000000000000003,420.0,-140.0,40.85323905944824,0.0,0.0,0.0,0.0,--,--,--,--,--,276.8,0.0,386.0,0.0,405.1791687011719,0.0,0.0,0.0,38.0,-24.6,3.230995178222656,8.483810424804688,4.4351463317871085,0.18491363525390625,-9.10995864868164,0.61602783203125,4596.54421875,59.0,59200.0,4600.0,59.0,59100.0,6530.0,8060.0,-2.5,340.0
8,0,2019,7,15,-10.0,-999.0,0.0,17300.0,-10.0,-10.0,-10.0,2.3923545479774475,18.334627151489254,5.654212951660156,12.388991355895994,-0.2615470886230469,5914.76171875,266.1303100585937,256.87478637695307,-2.3441553115844727,2.4091796875,3218.46630859375,281.334716796875,272.49978637695307,-0.6702508926391602,1.1888198852539062,1583.528076171875,291.1210632324219,287.3070526123047,4.530263900756836,-0.042362213134765625,297.1042175292969,288.0468444824219,7.528017044067383,-2.437568664550781,298.9751892089844,293.6603088378906,0.3857250213623047,-0.3124961853027344,0.0,0.021109580993652344,0.006134986877441406,101887.0,165.0168743133545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.107434272766113,-0.5603179931640625,99270.0,229.6827545166016,296.1753845214844,0.0,53.2,0.0,0.0,0.0,0.0,296.5692138671875,297.2071228027344,0.015609999999999999,294.0153045654297,81.9,0.6747713088989258,-0.472041130065918,0.8148744381032884,0.6747713088989258,-0.472041130065918,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2402,0.02,-1.0,1.0,56.0,14.0,-2.5,470.0,-134.0,39.071881413459785,0.0,0.0,53.25,53.25,--,--,9456.501956939697,--,11200.345947265625,266.7,0.0,383.70000000000016,0.0,401.4214324951172,0.0,0.0,0.0,11.0,-40.0,6.332990646362305,6.335639953613281,5.365514755249023,-0.2262458801269531,-7.214872360229492,4.336017608642578,4575.46109375,54.0,59300.0,4580.0,54.0,59200.0,6480.0,7930.0,-2.2,370.0
9,0,2019,7,15,-10.0,-999.0,0.0,17000.0,-10.0,-10.0,-10.0,2.9880436211824417,20.762550354003906,3.54218864440918,14.65385627746582,2.502626419067384,5912.71484375,265.85693359375,256.74978637695307,0.025081634521484368,6.280698776245117,3214.595458984375,281.41732788085943,270.31228637695307,0.5052890777587891,2.189645767211914,1582.1572265625,290.61993408203125,286.2885437011719,3.962921142578125,-0.6292953491210938,296.48260498046875,288.2755279541016,5.3031272888183585,-4.73161506652832,298.622314453125,293.5231018066406,0.9087438583374025,-0.3391914367675781,0.0,0.01866483688354492,0.005059957504272461,101902.0,166.28099060058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2754764556884775,-1.5196495056152344,99290.0,229.6827545166016,295.87542724609375,0.0,53.3,0.0,0.0,0.0,0.0,296.23284912109375,296.85980224609375,0.01544,293.89674377441406,82.5,1.2767047882080078,-0.6937046051025391,1.4404572460334748,1.2767047882080078,-0.6937046051025391,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2402,0.04,-2.0,1.0,49.0,14.0,-2.5,400.0,-111.0,38.57693207263947,23.125,0.0,4.5,23.125,--,--,--,--,--,276.3,0.0,380.0,0.0,399.595947265625,0.0,0.0,0.0,28.0,-21.8,9.54672622680664,3.59744644165039,3.640092849731445,-1.5205135345458984,-4.3624324798583975,8.955699920654297,4628.033750000001,52.0,58900.0,4630.0,52.0,58800.0,6410.0,7890.0,-2.3000000000000003,340.0
