Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,7,21,-10.0,-999.0,0.0,19800.0,-10.0,-10.0,-10.0,3.096866264939308,-10.141921997070312,-12.208805084228516,-9.26921844482422,-9.573490142822266,5901.0791015625,267.6895294189453,264.87478637695307,-5.048515319824219,1.5085487365722656,3184.28076171875,281.29901123046875,276.87478637695307,1.2291336059570312,-0.3599853515625,1554.6744384765625,289.7679443359375,286.6247863769531,2.6119813919067383,0.9388904571533204,294.537109375,291.4954528808594,2.219922065734864,1.7843036651611328,299.9173278808594,295.6700134277344,2.3730907440185547,1.5633544921875,0.0,-0.003771543502807617,0.016932368278503418,101616.0,141.2727279663086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4614582061767583,1.528888702392578,101060.0,48.08900451660156,302.2742614746094,0.0,13.9,0.0,0.0,0.0,0.0,301.14459228515625,300.2625427246094,0.01729,295.9949951171875,74.5,1.955392837524414,0.9476375579833984,2.1956791784614325,1.955392837524414,0.9476375579833984,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238,0.17,30.0,30.0,60.0,8.0,-4.2,1650.0,0.0,53.11011624336243,0.0,0.0,0.0,0.0,--,--,--,--,--,274.7,110.5,410.4,16.5,440.2593994140625,454.0,34.9,42.2,12.0,-3.4000000000000004,0.8632621765136719,8.722698211669924,0.354705810546875,0.6990222930908203,-7.531543731689452,-0.2393817901611328,4987.885312500001,76.0,56100.0,4990.0,76.0,56100.0,6630.0,8100.0,-4.1000000000000005,1580.0
1,0,2019,7,21,-10.0,-999.0,0.0,18300.0,-10.0,-10.0,-10.0,3.0630947947502136,-9.175291061401367,-10.697124481201172,-9.414129257202148,-7.161266326904298,5895.00341796875,267.17092895507807,265.31228637695307,-6.102724075317383,0.6106929779052734,3180.763916015625,281.1497802734375,276.87478637695307,0.5177001953125,-1.0021629333496094,1552.32666015625,289.3348693847656,287.0622863769531,2.134490966796875,-0.06264686584472656,294.2299499511719,290.2198486328125,2.9866037368774414,0.34485626220703125,299.41082763671875,295.58526611328125,2.5013389587402344,1.3378849029541016,0.0,0.009531497955322266,-0.007356524467468263,101614.0,140.97705078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4062480926513667,1.189067840576172,101060.0,48.08900451660156,299.8715515136719,0.0,14.0,0.0,0.0,0.0,0.0,299.9107666015625,299.0572509765625,0.01725,295.9819030761719,78.5,1.3501625061035156,0.4273090362548828,1.4432079368270934,1.3501625061035156,0.4273090362548828,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238,0.08,0.0,3.0,40.0,8.0,-4.2,1510.0,0.0,53.51828718185425,21.5,1.125,0.0,21.5,--,--,--,--,--,270.1,0.0,405.8,0.0,426.29986572265625,0.0,0.0,0.0,16.0,-10.4,0.16611289978027344,8.063564300537111,1.843282699584961,-0.25023460388183594,-8.860673904418945,-1.009674072265625,4894.947812500001,85.0,56700.0,4890.0,85.0,56700.0,6520.0,8010.0,-4.2,1470.0
2,0,2019,7,21,-10.0,-999.0,0.0,14900.0,-10.0,-10.0,-10.0,1.1843346133828163,-9.333175659179688,-10.47616958618164,-9.440656661987305,-5.958717346191406,5898.3935546875,267.2399139404297,263.99978637695307,-5.626943588256836,1.008371353149414,3184.6484375,280.779296875,276.87478637695307,0.7014064788818359,-1.9610366821289065,1556.451416015625,289.644775390625,286.5622863769531,0.9033279418945312,-0.8897895812988281,294.1715087890625,291.40606689453125,2.167423248291016,-0.06177711486816406,298.925048828125,295.42218017578125,0.9904766082763672,0.8132228851318359,0.0,-0.02179408073425293,0.00900733470916748,101667.0,145.41183471679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71026611328125,0.7006855010986328,101110.0,48.08900451660156,298.635986328125,0.0,14.7,0.0,0.0,0.0,0.0,298.6563720703125,297.70147705078125,0.017759999999999998,296.44775390625,87.0,-0.2488908767700196,0.16895675659179688,0.3163589015603065,-0.2488908767700196,0.16895675659179688,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238,0.01,0.0,0.0,30.0,8.0,-4.1000000000000005,1490.0,-10.0,52.76981019973755,0.0,0.0,0.0,0.0,--,--,--,--,--,268.8,0.0,401.70000000000016,0.0,419.362548828125,0.0,0.0,0.0,-1.0,-12.6,0.1220855712890625,7.546640396118164,2.248844146728516,-0.6017799377441406,-6.952873229980469,-0.1951255798339844,4938.55578125,80.0,56400.0,4940.0,80.0,56400.0,6570.0,8090.0,-3.7,1260.0
3,0,2019,7,21,-10.0,-999.0,0.0,13800.0,-10.0,-10.0,-10.0,0.9290805459022522,-10.443302154541016,-12.33905029296875,-9.380390167236328,-6.2209739685058585,5895.4970703125,267.13607788085943,264.43728637695307,-2.181293487548828,2.0227985382080083,3186.294189453125,280.41061401367193,276.81228637695307,0.08267402648925781,-1.551286697387695,1558.7647705078125,289.7757568359375,286.1872863769531,-0.14409637451171875,-1.0553131103515625,294.2430419921875,290.7212829589844,1.5410728454589844,-0.2863197326660156,298.7086486816406,295.2394256591797,0.3884792327880859,1.1000633239746094,0.0,0.010705947875976562,0.018419623374938958,101693.0,147.7741641998291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091461181640625,1.026214599609375,101140.0,48.08900451660156,297.8008728027344,0.0,15.5,0.0,0.0,0.0,0.0,297.90032958984375,296.9337463378906,0.017759999999999998,296.47779846191406,90.0,-0.5711860656738281,0.7137985229492188,0.8761804258683696,-0.5711860656738281,0.7137985229492188,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238,0.02,0.0,0.0,30.0,8.0,-4.0,1380.0,-10.0,52.27775847911835,0.0,0.0,0.0,0.0,--,--,--,--,--,269.1,0.0,398.8,0.0,414.6778869628906,0.0,0.0,0.0,-2.0,-8.0,1.88430404663086,7.517660140991211,1.5185050964355469,-1.541757583618164,-2.8346385955810547,0.6864013671875,4857.92203125,88.0,57000.0,4860.0,88.0,57000.0,6590.0,8060.0,-3.5,1150.0
4,0,2019,7,21,-10.0,-999.0,0.0,13000.0,-10.0,-10.0,-10.0,0.7905787043273449,-12.6983642578125,-12.853660583496096,-11.098237991333008,-5.743476867675781,5898.28125,266.90188598632807,263.72512817382807,-1.3715877532958984,2.412883758544922,3192.509033203125,280.14627075195307,277.12478637695307,-0.0866241455078125,-1.6513938903808594,1564.8834228515625,290.0546875,286.0622863769531,-0.6098899841308594,-0.1878604888916016,294.37530517578125,290.3747863769531,0.89031982421875,-0.22411346435546875,298.5470275878906,295.1247863769531,0.5294532775878906,1.0940628051757812,0.0,0.023494720458984368,-0.003006696701049805,101760.0,153.4175398349762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3182258605957031,1.034170150756836,101210.0,48.08900451660156,297.02386474609375,0.0,16.400000000000002,0.0,0.0,0.0,0.0,297.2082824707031,296.2079162597656,0.017519999999999997,296.2497863769531,92.3,-0.053114891052246094,0.6034889221191406,0.6279028493445367,-0.053114891052246094,0.6034889221191406,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238,0.02,0.0,0.0,35.0,8.0,-3.6,1190.0,-20.0,51.275887846946716,0.0,0.0,0.0,0.0,--,--,--,--,--,272.2,0.0,396.6,0.0,410.2975158691406,0.0,0.0,0.0,-5.0,-1.8,4.189008712768556,6.6258277893066415,0.2491683959960937,-1.0626296997070312,-2.342323303222656,1.443256378173828,4828.950625,82.0,57200.0,4830.0,82.0,57200.0,6510.0,7990.0,-3.6,1150.0
5,0,2019,7,21,-10.0,-999.0,0.0,12800.0,-10.0,-10.0,-10.0,1.369574163109064,-13.376304626464846,-13.228507995605467,-10.844490051269533,-5.467254638671875,5898.6513671875,266.8761749267578,263.87478637695307,-2.0638904571533203,2.0426721572875977,3193.2373046875,280.48052978515625,276.93728637695307,-0.001617431640625,-1.2795572280883791,1563.7039794921875,290.3280944824219,286.6247863769531,-0.9308452606201172,0.9802818298339844,294.589111328125,290.6853332519531,-0.3985910415649414,0.3560771942138672,298.45172119140625,295.0487976074219,-0.03295707702636719,1.6363172531127932,0.0,-0.014347076416015625,-0.01964664459228516,101737.0,151.31702423095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2350502014160156,1.5380363464355469,101180.0,48.08900451660156,296.4071960449219,0.0,17.3,0.0,0.0,0.0,0.0,296.67864990234375,295.6616516113281,0.017220000000000003,295.9169006347656,93.0,-0.3709011077880859,0.929875373840332,1.0014871135354042,-0.3709011077880859,0.929875373840332,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238,0.03,-1.0,0.0,43.0,8.0,-3.0,1030.0,-20.0,51.473140478134155,0.0,0.0,0.0,0.0,--,--,--,--,--,273.1,0.0,396.20000000000016,0.0,407.1636047363281,0.0,0.0,0.0,-5.0,3.9,2.4534645080566406,7.566509246826173,-0.4981975555419922,-0.5453395843505859,-2.477947235107422,0.924274444580078,4787.65125,84.0,57500.0,4790.0,84.0,57500.0,6500.0,7960.0,-3.3000000000000003,1040.0
6,0,2019,7,21,-10.0,-999.0,0.0,13100.0,-10.0,-10.0,-10.0,1.9425323605537408,-13.75442886352539,-13.629676818847654,-9.938793182373047,-6.311332702636719,5897.77587890625,267.04080200195307,263.68728637695307,-2.4789581298828125,1.9510507583618164,3189.70751953125,280.96212768554693,276.81228637695307,0.2038135528564453,-0.9510002136230468,1558.36279296875,290.34088134765625,286.9997863769531,-0.4587593078613281,2.076995849609375,294.4703674316406,291.3836212158203,-0.5322628021240234,1.645650863647461,298.47454833984375,294.7977294921875,0.15467453002929688,2.5435476303100586,0.0,0.0011386871337890625,0.02218008041381836,101672.0,146.0570688247681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1894855499267578,2.374940872192384,101120.0,48.08900451660156,296.240234375,0.0,18.3,0.0,0.0,0.0,0.0,296.48529052734375,295.5718688964844,0.01678,295.48846435546875,92.0,0.06430625915527344,1.2731704711914062,1.2528733452782037,0.06430625915527344,1.2731704711914062,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238,0.04,-1.0,0.0,30.0,8.0,-2.3000000000000003,830.0,-20.0,51.79286551475525,0.0,0.0,0.0,0.0,--,--,--,--,--,275.2,0.0,396.6,0.0,406.1181945800781,0.0,0.0,0.0,4.0,7.300000000000002,-0.08377456665039062,8.658598899841309,-0.955230712890625,0.2134723663330078,-2.809898376464844,-0.00848388671875,4819.15640625,82.0,57300.0,4820.0,82.0,57300.0,6530.0,8000.0,-2.9000000000000004,870.0
7,0,2019,7,21,-10.0,-999.0,0.0,12900.0,-10.0,-10.0,-10.0,2.3785246163606644,-14.204547882080078,-13.281118392944336,-9.452495574951172,-7.1541900634765625,5897.0576171875,267.374038696289,262.56228637695307,-2.323824882507324,1.589923858642578,3186.336669921875,281.15029907226557,276.99978637695307,-0.31598472595214844,-1.003129959106445,1554.74609375,290.146484375,287.4190673828125,-0.3801708221435547,3.114635467529297,294.2499694824219,292.19146728515625,-0.577850341796875,3.17706298828125,298.3671875,294.7511291503906,0.328242301940918,3.3327655792236333,0.0,0.003175258636474609,-0.01194167137145996,101636.0,143.0360841751099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30551910400390625,3.154352188110352,101090.0,48.08900451660156,295.94737243652344,0.0,19.3,0.0,0.0,0.0,0.0,296.1231689453125,295.1756591796875,0.016540000000000003,295.3045349121094,92.9,0.05252552032470703,1.0595331192016602,1.066559857223183,0.05252552032470703,1.0595331192016602,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238,0.03,-1.0,0.0,24.0,8.0,-1.5,720.0,-20.0,52.14863157272339,6.375,0.0,0.0,6.375,--,--,--,--,--,277.1,0.0,397.0,0.0,404.3388214111328,0.0,0.0,0.0,17.0,-3.8,-4.455181121826172,8.09346866607666,-1.0946159362792969,1.966217041015625,-2.4380054473876958,-1.5439376831054688,4869.9171875,77.0,56900.0,4870.0,77.0,56900.0,6600.0,8040.0,-2.9000000000000004,950.0
8,0,2019,7,21,-10.0,-999.0,0.0,12800.0,-10.0,-10.0,-10.0,1.8609649129211905,-15.007400512695312,-12.640100479125975,-9.977127075195312,-8.234100341796875,5894.9140625,267.3660430908203,261.634765625,-2.270858764648437,1.174091339111328,3184.2587890625,281.0791015625,276.62478637695307,-0.4653186798095703,-1.2226409912109375,1553.501953125,290.0269775390625,287.1151580810547,0.08926010131835938,3.736827850341797,294.2122497558594,292.0522155761719,-0.5288057327270508,3.7743330001831055,298.2431945800781,294.8954162597656,0.4868450164794922,2.9874544143676762,0.0,0.0013294219970703125,-0.030045747756958008,101627.0,142.06098747253418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4147434234619141,2.8070850372314453,101080.0,48.08900451660156,295.41619873046875,0.0,20.3,0.0,0.0,0.0,0.0,295.7459411621094,294.8467712402344,0.0164,295.1361541748047,92.9,-0.07133293151855469,0.7633953094482422,0.7505395704647526,-0.07133293151855469,0.7633953094482422,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238,0.02,-1.0,0.0,31.0,8.0,-1.3,830.0,-20.0,51.20501792430878,0.0,0.0,0.0,0.0,--,--,--,--,--,278.2,0.0,396.1,0.0,401.6256866455078,0.0,0.0,0.0,22.0,-12.6,-4.83143424987793,7.98298454284668,-0.8603610992431641,3.132244110107422,-2.4217300415039062,-1.7227630615234375,4871.460625,73.0,56900.0,4870.0,73.0,56900.0,6590.0,8030.0,-3.0,1050.0
9,0,2019,7,21,-10.0,-999.0,0.0,12400.0,-10.0,-10.0,-10.0,1.0634156391024592,-15.808013916015625,-12.274227142333984,-11.527446746826172,-8.538557052612305,5890.7900390625,267.093490600586,261.71441650390625,-2.80252456665039,0.8523178100585938,3183.75927734375,280.63241577148443,276.81228637695307,0.4745969772338867,-0.5814323425292969,1554.0682373046875,290.10235595703125,286.1942443847656,1.3513450622558594,3.971911430358887,294.376953125,291.3656463623047,0.21686935424804688,3.83614444732666,298.34783935546875,294.8811340332031,0.3761997222900391,2.3271560668945312,0.0,0.004607200622558594,0.021482229232788086,101634.0,142.34598541259766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17167282104492188,2.1253738403320312,101080.0,48.08900451660156,294.9819030761719,0.0,21.4,0.0,0.0,0.0,0.0,295.3359680175781,294.4517517089844,0.016210000000000002,294.9451904296875,93.8,-0.5339851379394531,0.14984893798828125,0.5654031438753009,-0.5339851379394531,0.14984893798828125,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238,0.01,0.0,-1.0,33.0,8.0,-1.2000000000000002,890.0,-20.0,50.114132046699524,0.0,0.0,0.0,0.0,--,--,--,--,--,277.2,0.0,393.20000000000016,0.0,399.1723937988281,0.0,0.0,0.0,12.0,-19.9,-3.41314697265625,8.52537727355957,0.8539104461669922,4.000989913940431,-2.7536773681640625,-1.451457977294922,4828.45546875,74.0,57200.0,4830.0,74.0,57200.0,6540.0,8020.0,-2.9000000000000004,930.0
