Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,8,12,-10.0,-999.0,0.0,32500.0,-10.0,-10.0,-10.0,1.6314290761947632,18.458452224731445,-8.837844848632812,14.502349853515625,-5.9783477783203125,5915.5849609375,269.74807739257807,253.81228637695312,10.941696166992188,-5.226925849914551,3187.40234375,283.54034423828125,272.56228637695307,4.3962602615356445,-1.7678089141845703,1548.814208984375,291.8548583984375,280.0605926513672,-2.383216857910156,-2.086841583251953,298.15875244140625,283.1107940673828,0.4108257293701172,-0.2331514358520508,303.0227966308594,290.3569641113281,0.7927350997924805,0.7440624237060547,0.0,0.02549266815185547,0.02492177486419677,101423.0,125.45258903503418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3989543914794922,0.7403755187988281,98550.0,255.0265045166016,301.08746337890625,0.0,28.1,0.0,0.0,0.0,0.0,301.1866760253906,302.4725036621094,0.013869999999999999,292.0075378417969,56.90000000000001,0.9742565155029296,0.7807750701904297,1.2518778494559228,0.9742565155029296,0.7807750701904297,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2146,0.04,0.0,10.0,20.0,14.0,1.1,0.0,0.0,30.23113214969635,0.0,84.625,71.875,84.625,35700.0,8493.85132598877,7238.004661560059,33300.0,9493.12841796875,262.6,68.7,383.4,11.0,428.65411376953125,364.0,27.3,32.300000000000004,34.0,-15.0,-1.2432823181152344,-8.169238090515138,-2.30849838256836,-2.2173614501953125,12.102178573608398,-5.9997291564941415,5389.0153125,15.0,53400.0,5390.0,15.0,53400.0,6760.0,8420.0,3.5,0.0
1,0,2019,8,12,-10.0,-999.0,0.0,30300.0,-10.0,-10.0,-10.0,1.7244372144341469,16.017723083496097,-5.579856872558594,11.833507537841795,-5.345561981201172,5913.876953125,269.0760498046875,259.12478637695307,8.313060760498049,-6.700544357299805,3190.64892578125,283.4525451660156,273.93728637695307,4.8627586364746085,-1.7733097076416016,1550.254638671875,292.23492431640625,280.12478637695307,-3.5026340484619136,-1.6054763793945312,298.089111328125,283.47373962402344,0.5815410614013672,-0.7427835464477539,302.35595703125,290.1415100097656,1.1265602111816406,-0.013585090637207031,0.0,-0.010448455810546877,-0.010830402374267578,101442.0,127.13271999359131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.001270294189453,-0.3919544219970703,98570.0,255.0265045166016,297.6499938964844,0.0,32.0,0.0,0.0,0.0,0.0,298.4375,299.6783752441406,0.013309999999999999,291.37939453125,59.5,1.2922954559326172,-0.07669734954833984,1.2519459848990664,1.2922954559326172,-0.07669734954833984,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2146,0.03,0.0,0.0,20.0,14.0,1.7000000000000002,0.0,0.0,32.027016043663025,0.0,55.125,45.375,55.125,--,--,7418.3625411987305,--,9494.236351013184,272.8,0.0,373.0,0.0,409.28460693359375,0.0,0.0,0.0,31.0,-18.8,-2.9438400268554688,-7.464850425720215,-3.4998855590820312,-1.198939323425293,8.534908294677733,-7.175748825073242,5220.7384375,30.0,54500.0,5220.0,30.0,54500.0,6980.0,8440.0,3.3000000000000003,0.0
2,0,2019,8,12,-10.0,-999.0,0.0,28800.0,-10.0,-10.0,-10.0,0.9649794772267342,15.42237663269043,-6.6421966552734375,16.060867309570312,-6.9130210876464835,5919.95556640625,269.00033569335943,250.87478637695312,8.674864768981934,-5.373485565185547,3193.99609375,283.7530517578125,277.31228637695307,4.536054611206055,-0.4684743881225586,1549.5645751953125,292.02899169921875,281.06228637695307,-4.13385009765625,0.04755210876464844,297.9464111328125,284.3747863769531,-0.7385158538818359,-0.09725379943847656,301.17572021484375,290.1247863769531,0.4197139739990233,0.4626932144165039,0.0,0.023962974548339844,0.006956815719604492,101445.0,127.4894790649414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0443859100341797,0.3041706085205078,98570.0,255.0265045166016,296.3019714355469,0.0,35.7,0.0,0.0,0.0,0.0,297.0396728515625,298.276123046875,0.01268,290.60308837890625,61.7,0.5269184112548828,0.5288429260253906,0.7527497112751007,0.5269184112548828,0.5288429260253906,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2146,0.02,0.0,0.0,30.0,14.0,3.3000000000000003,0.0,0.0,31.390088677406307,0.0,0.25,0.5,0.5,--,--,--,--,--,282.1,0.0,369.20000000000016,0.0,402.1026916503906,0.0,0.0,0.0,44.0,-22.0,-2.2687129974365234,-7.3244972229003915,-3.409614562988281,-0.8950920104980469,10.039627075195312,-5.776893615722656,5227.59203125,25.0,54500.0,5230.0,25.0,54500.0,6950.0,8520.0,3.5,0.0
3,0,2019,8,12,-10.0,-999.0,0.0,22600.0,-10.0,-10.0,-10.0,1.9017656370997431,15.972434997558596,-7.472343444824219,14.782255172729492,-7.6119117736816415,5918.6806640625,267.97645568847656,252.99978637695312,8.519611358642576,-5.242330551147461,3197.146240234375,283.5186767578125,276.06228637695307,4.507660865783691,0.09335613250732422,1551.6837158203125,292.2435607910156,279.490966796875,-2.8296566009521484,1.5278396606445312,297.45068359375,285.2671356201172,0.09708023071289062,0.6581611633300781,299.7754211425781,290.78802490234375,0.4458484649658203,1.0135879516601562,0.0,0.0018172264099121094,0.004753351211547852,101495.0,131.85187339782715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1630172729492188,1.6047134399414062,98620.0,255.0265045166016,294.7876892089844,0.0,38.2,0.0,0.0,0.0,0.0,295.41656494140625,296.64581298828125,0.013019999999999999,291.0452423095703,71.10000000000002,0.5881519317626953,1.477315902709961,1.5641210882458836,0.5881519317626953,1.477315902709961,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2146,0.04,0.0,0.0,50.0,14.0,2.7,0.0,0.0,31.073740363121036,0.0,0.0,0.0,0.0,--,--,--,--,--,282.0,0.0,362.9,0.0,393.997802734375,0.0,0.0,0.0,35.0,-9.9,-2.6987829208374023,-6.0467262268066415,-2.211463928222656,-0.9235458374023438,8.691898345947267,-6.7879905700683585,5122.5871875,34.0,55200.0,5120.0,34.0,55300.0,6790.0,8580.0,2.3000000000000003,0.0
4,0,2019,8,12,-10.0,-999.0,0.0,21400.0,-10.0,-10.0,-10.0,2.9036427214741707,15.208614349365234,-7.0751800537109375,16.129610061645508,-6.7453155517578125,5912.666015625,268.07223510742193,257.87684631347656,8.36260986328125,-3.5048370361328125,3192.44482421875,283.1725769042969,278.18728637695307,4.440755844116211,0.5246315002441406,1546.640869140625,292.84429931640625,278.37478637695307,-2.368476867675781,2.4301109313964844,296.94097900390625,285.3122863769531,-0.02575874328613281,1.8482513427734373,298.85455322265625,290.2497863769531,-0.122650146484375,1.4317569732666016,0.0,-0.005362510681152344,0.004684686660766602,101461.0,128.64338970184326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3826923370361328,3.2107257843017583,98580.0,255.0265045166016,293.9826965332031,0.0,39.6,0.0,0.0,0.0,0.0,294.6182861328125,295.81585693359375,0.012730000000000002,290.6872863769531,73.2,-0.0799551010131836,1.8333425521850584,1.877703345613554,-0.0799551010131836,1.8333425521850584,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2146,0.05,-3.0,1.0,34.0,14.0,3.6,0.0,0.0,33.37937223911285,0.0,0.0,0.0,0.0,--,--,--,--,--,274.8,0.0,361.1,0.0,389.51416015625,0.0,0.0,0.0,37.0,-9.0,-2.5994853973388667,-5.280405044555664,-1.7350578308105469,-0.00518798828125,8.86404037475586,-6.14863395690918,5073.664375,40.0,55600.0,5070.0,40.0,55600.0,6810.0,8560.0,3.4000000000000004,0.0
5,0,2019,8,12,-10.0,-999.0,0.0,20100.0,-10.0,-10.0,-10.0,2.9136824868619438,14.976409912109375,-8.852985382080078,16.930347442626953,-7.62974739074707,5906.9365234375,268.1741180419922,263.06228637695307,9.509340286254883,-2.093177795410156,3189.84326171875,282.7382507324219,277.93728637695307,3.483529090881348,0.6649322509765625,1545.0596923828125,293.2543640136719,276.1438140869141,-2.852100372314453,2.6366195678710938,297.103271484375,283.71063232421875,-1.034526824951172,2.530946731567384,298.54644775390625,289.7047424316406,0.16466903686523438,1.0315628051757812,0.0,-0.003780364990234375,-0.009688615798950195,101449.0,127.36415433883668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6094150543212891,3.436334609985352,98570.0,255.0265045166016,293.1412353515625,0.0,40.40000000000001,0.0,0.0,0.0,0.0,293.7994079589844,295.01080322265625,0.012600000000000002,290.4997863769531,75.7,0.11206626892089844,1.5181627273559568,1.501478205551393,0.11206626892089844,1.5181627273559568,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2146,0.04,-2.0,1.0,46.0,14.0,4.3,0.0,0.0,32.49352741241455,0.0,0.0,0.0,0.0,--,--,--,--,--,271.0,0.0,355.1,0.0,385.1554565429688,0.0,0.0,0.0,14.0,-29.8,-2.2290210723876958,-5.255670547485352,-3.5584888458251966,1.5318241119384766,10.31103515625,-5.519012451171875,5017.24328125,43.0,55900.0,5020.0,43.0,55900.0,6850.0,8520.0,4.6000000000000005,0.0
6,0,2019,8,12,-10.0,-999.0,0.0,18700.0,-10.0,-10.0,-10.0,2.722416654229164,14.911657333374025,-11.649250030517578,14.583843231201172,-10.26154327392578,5903.56689453125,268.13351440429693,264.37478637695307,9.785812377929688,-0.9448280334472656,3189.260009765625,282.595947265625,278.2224273681641,3.3014936447143555,0.7952766418457031,1544.658447265625,293.5762023925781,275.493667602539,-3.248851776123047,2.6133995056152344,297.29132080078125,283.4296569824219,-1.1735210418701172,2.9223737716674805,298.3201904296875,289.2948913574219,0.4156408309936523,1.1201934814453125,0.0,-0.016661643981933594,0.021887540817260742,101438.0,126.36000061035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.554473876953125,3.038715362548828,98550.0,255.0265045166016,292.33746337890625,0.0,40.8,0.0,0.0,0.0,0.0,293.03753662109375,294.2490539550781,0.01242,290.3122863769531,78.4,0.6329240798950195,1.3662023544311523,1.5035007451660931,0.6329240798950195,1.3662023544311523,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2146,0.04,-2.0,0.0,49.0,14.0,4.9,0.0,0.0,32.98518979549408,0.0,0.0,0.0,0.0,--,--,--,--,--,269.3,0.0,352.90000000000015,0.0,381.1639404296875,0.0,0.0,0.0,-1.0,-39.3,-1.5793752670288086,-5.288612365722656,-4.2551517486572275,2.0977859497070312,9.80040168762207,-4.365255355834962,4931.24984375,45.0,56500.0,4930.0,45.0,56500.0,6930.0,8580.0,5.1000000000000005,0.0
7,0,2019,8,12,-10.0,-999.0,0.0,17800.0,-10.0,-10.0,-10.0,2.282460071146488,15.568777084350586,-15.911842346191404,13.706428527832033,-12.663232803344727,5899.62158203125,267.75575256347656,265.74978637695307,10.795952796936037,-0.07756423950195312,3186.58642578125,282.7379455566406,276.87478637695307,4.695392608642578,-0.2555980682373047,1542.54833984375,293.6430358886719,274.56228637695307,-3.1144323348999023,2.7082538604736333,297.42755126953125,282.4261932373047,-1.051593780517578,2.9254045486450195,297.93670654296875,289.1029510498047,0.16795825958251953,0.9642295837402344,0.0,0.0009250640869140623,0.009672880172729492,101414.0,124.26891326904295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7661628723144531,2.3858699798583984,98530.0,255.0265045166016,291.66693115234375,0.0,41.1,0.0,0.0,0.0,0.0,292.3573913574219,293.6199951171875,0.012209999999999999,290.0061492919922,80.30000000000003,0.3310556411743164,1.126932144165039,1.1883397914934903,0.3310556411743164,1.126932144165039,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2146,0.03,-2.0,0.0,52.0,14.0,5.2,0.0,0.0,32.06293070316315,0.0,0.0,0.0,0.0,--,--,--,--,--,270.3,0.0,348.6,0.0,377.6331329345703,0.0,0.0,0.0,2.0,-35.0,0.22531509399414065,-5.982806205749513,-3.7448043823242174,2.425348281860352,10.402425765991213,-2.6112136840820312,4852.294375,52.0,57100.0,4850.0,52.0,57000.0,6840.0,8690.0,5.1000000000000005,0.0
8,0,2019,8,12,-10.0,-999.0,0.0,18200.0,-10.0,-10.0,-10.0,1.79708444327116,17.334516525268555,-19.049945831298828,14.275060653686525,-15.770511627197266,5897.111328125,267.6896209716797,266.65663146972656,11.36208724975586,0.1778860092163086,3182.78076171875,282.79168701171875,276.31228637695307,4.336469650268556,-0.053971290588378906,1539.47998046875,293.4461669921875,274.31228637695307,-2.2987728118896484,3.256972312927246,297.15496826171875,282.1872863769531,-0.25957298278808594,2.345458030700684,297.66259765625,289.2497863769531,-0.04230213165283203,0.8148632049560547,0.0,0.011089801788330078,0.006607770919799805,101389.0,122.11533164978027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6927642822265625,1.5537948608398438,98500.0,255.0265045166016,291.422607421875,0.0,41.40000000000001,0.0,0.0,0.0,0.0,292.200927734375,293.4962463378906,0.01214,289.9163513183594,79.2,0.15968704223632812,1.101405143737793,1.1257992432219908,0.15968704223632812,1.101405143737793,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2146,0.03,-2.0,0.0,60.0,14.0,5.1000000000000005,0.0,0.0,32.211943864822395,0.0,17.25,0.0,17.25,--,--,--,--,--,272.2,0.0,349.0,0.0,376.1570739746094,0.0,0.0,0.0,18.0,-20.700000000000006,1.3511409759521484,-6.335083961486816,-2.737643241882324,2.473989486694336,11.37332534790039,-1.4161262512207031,4800.40953125,77.0,57400.0,4800.0,77.0,57400.0,6750.0,8640.0,4.800000000000002,0.0
9,0,2019,8,12,-10.0,-999.0,0.0,17900.0,-10.0,-10.0,-10.0,1.7148063778877258,19.263427734375,-18.214710235595703,15.794075012207033,-15.764497756958008,5893.4521484375,267.60894775390625,266.9924774169922,11.300878524780273,-0.5308618545532227,3180.29833984375,282.5930480957031,276.83346557617193,4.970426559448242,0.39310646057128906,1538.718017578125,293.0864562988281,275.31228637695307,-0.3650016784667969,3.6683034896850586,297.00042724609375,282.2497863769531,1.1843786239624023,1.5584707260131836,297.2709655761719,289.4372863769531,-0.06628799438476562,0.9423761367797852,0.0,-0.02633857727050781,-0.002315759658813477,101393.0,122.41595458984376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5856781005859375,1.1727008819580078,98510.0,255.0265045166016,292.19476318359375,0.0,41.5,0.0,0.0,0.0,0.0,292.6046447753906,293.8657531738281,0.0121,289.8747863769531,80.30000000000003,0.019407272338867188,1.3667221069335938,1.376405493589118,0.019407272338867188,1.3667221069335938,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2146,0.04,-1.0,1.0,33.0,14.0,5.300000000000002,0.0,0.0,33.867037057876594,0.0,64.625,0.0,64.625,48400.0,6156.436201095581,5503.243427276611,48400.0,6754.945083618164,246.6,0.0,376.6,0.0,380.1786193847656,0.0,0.0,0.0,41.0,-6.0,1.5997085571289062,-6.3037872314453125,-0.8674306869506836,2.07242202758789,10.809560775756836,-2.123220443725586,4746.310625,92.0,57800.0,4750.0,92.0,57800.0,6810.0,8580.0,4.7,0.0
