Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,8,20,31.5625,9295.0,1.176,12200.0,30.5,27.25,24.3125,4.556377798318864,6.050172805786133,-10.826875686645508,2.2753047943115234,-10.060977935791016,5917.50048828125,267.013427734375,264.56228637695307,-2.310510635375977,-8.982205390930176,3202.671875,282.38494873046875,280.31228637695307,-4.1812591552734375,0.05868339538574219,1560.0872802734375,291.3976745605469,287.6872863769531,-1.5836238861083984,4.958674430847168,293.3916320800781,292.7100372314453,1.0411052703857422,3.722121238708496,296.7149963378906,296.30615234375,-0.8858661651611328,-1.5796451568603516,0.0,-0.01861667633056641,-0.03393745422363281,101708.0,149.48968505859375,16.875,25.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058200000000000005,0.0,0.30000000000000004,0.0,-2.347545623779297,-3.9333820343017583,101030.0,61.99525451660156,297.5874938964844,0.0,70.4,0.0,0.0,0.0,0.0,297.06463623046875,296.1849060058594,0.01797,296.6510925292969,98.5,-2.176198959350586,-3.4825687408447266,4.128124828916043,-2.176198959350586,-3.4825687408447266,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.28,20.0,20.0,-100.0,8.0,-4.0,650.0,-3.0,58.97113060951233,55.375,40.125,97.75,97.75,95900.0,516.7504806518555,102.39547348022461,29100.0,12353.520973205566,177.4,0.1,434.70000000000016,0.0,413.5758056640625,0.0,0.1,75.5,-116.9,-99.1,-9.970848083496094,0.25945281982421875,3.335693359375,8.89422607421875,0.08764839172363281,-8.011032104492188,4854.23765625,89.0,57200.0,4850.0,89.0,57100.0,6560.0,8560.0,-4.2,640.0
1,0,2019,8,20,19.25,8527.0,0.096,12300.0,8.875,-10.0,-10.0,8.275283932685852,8.441633224487305,-6.861860275268555,0.9193801879882812,-5.239118576049805,5926.5751953125,266.5651092529297,262.99978637695307,-0.3066272735595703,-6.655744552612305,3214.217529296875,283.35784912109375,275.12478637695307,-5.8297767639160165,-0.2005453109741211,1567.5130615234375,292.6251220703125,284.09669494628906,-6.823925018310548,-1.56683349609375,295.24346923828125,293.0122375488281,-2.09878158569336,-3.739617347717285,296.5689392089844,295.8393249511719,-3.3566999435424805,-5.854601860046388,0.0,-0.020773887634277344,-0.03266310691833496,101743.0,152.02471542358396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7269268035888654,-6.6884708404541025,101040.0,61.99525451660156,295.8375244140625,0.0,100.0,0.5,0.0,0.0,0.0,296.5486145019531,295.6466369628906,0.01695,295.68841552734375,92.8,-2.919769287109375,-3.4696273803710938,4.503246703417972,-2.919769287109375,-3.4696273803710938,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.29,-30.0,-20.0,-20.0,8.0,-3.1,610.0,-102.0,51.9900141954422,5.875,38.5,85.5,85.5,53100.0,5455.105485916138,153.85644149780273,25600.0,11565.638938903809,172.9,0.0,413.8,0.0,403.8258056640625,0.0,0.0,0.0,-21.6,-15.4,-6.715311050415039,-10.244529724121094,-1.363637924194336,-0.04093360900878906,3.511608123779297,-1.2539196014404297,4838.029375,85.0,57400.0,4840.0,85.0,57300.0,6430.0,8100.0,-4.6000000000000005,1050.0
2,0,2019,8,20,-10.0,-999.0,0.0,12900.0,-10.0,-10.0,-10.0,1.521756811067462,9.466917037963867,-7.4574642181396475,1.185251235961914,-5.112358093261719,5916.81982421875,266.35064697265625,263.87478637695307,-2.902484893798828,-7.782970428466798,3207.98486328125,283.11260986328125,278.18728637695307,-3.84051513671875,-1.2879781723022459,1559.118408203125,293.22064208984375,284.8122863769531,-7.057231903076173,-1.3117198944091797,295.5758056640625,289.7762451171875,-0.7590417861938477,0.674713134765625,296.6768798828125,294.88677978515625,0.09069252014160156,-1.7085895538330078,0.0,0.00818014144897461,0.017741918563842773,101647.0,142.31387329101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11964607238769533,-1.477556228637695,100930.0,61.99525451660156,295.9051513671875,0.0,94.9,0.5,0.0,0.0,0.0,296.0984802246094,295.32861328125,0.016630000000000002,295.3243865966797,93.4,-0.05889320373535156,0.6359539031982422,0.6265384184662253,-0.05889320373535156,0.6359539031982422,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.02,0.0,0.0,30.0,8.0,-2.6,300.0,-234.0,51.80867683887482,0.0,68.25,74.625,74.625,--,--,7017.298721313477,--,11544.368591308594,265.2,0.0,391.0,0.0,404.41387939453125,0.0,0.0,0.0,1.9,1.7000000000000002,-9.0103759765625,2.299920082092285,-3.804641723632813,-0.2434406280517578,-4.520824432373047,-8.283893585205076,4714.936093750001,90.0,58200.0,4710.0,90.0,58200.0,6430.0,8140.0,-3.4000000000000004,540.0
3,0,2019,8,20,-10.0,-999.0,0.0,12700.0,-10.0,-10.0,-10.0,1.6815244629979134,9.437183380126953,-5.5061073303222665,1.704267501831055,-4.282371520996094,5922.95703125,267.1187286376953,262.43728637695307,-7.1772565841674805,-8.136680603027344,3213.463623046875,282.93280029296875,275.3286590576172,-4.3856401443481445,-0.4877204895019531,1568.2896728515625,292.7690734863281,284.7497863769531,-6.294511795043945,-0.5892333984375,295.74481201171875,289.1247863769531,-0.4204616546630859,-0.27825927734375,296.75244140625,294.5622863769531,-1.0368852615356443,-0.8624553680419922,0.0,-0.017066001892089844,0.02436542510986328,101740.0,152.52551078796387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5764999389648438,-0.6313457489013672,101040.0,61.99525451660156,295.2518310546875,0.0,90.6,0.5,0.0,0.0,0.0,295.67657470703125,294.8310241699219,0.01626,294.9997863769531,92.7,-1.5651578903198242,-0.5352373123168945,1.6894059492042288,-1.5651578903198242,-0.5352373123168945,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.07,-3.0,-2.0,35.0,8.0,-1.4,120.0,-204.0,48.677294492721565,31.125,1.125,28.375,31.125,--,--,8739.471691131592,--,9715.129810333252,270.3,0.0,388.1,0.0,400.7745971679688,0.0,0.0,0.0,16.1,15.9,-9.314533233642578,3.3993282318115234,-1.2085952758789062,-0.5476474761962891,-6.89990234375,-9.457263946533203,4767.6371875,73.0,57900.0,4770.0,73.0,57800.0,6780.0,8260.0,-2.5,320.0
4,0,2019,8,20,-10.0,-999.0,0.0,12400.0,-10.0,-10.0,-10.0,2.281145755201578,9.888086318969727,-4.296915054321288,2.470693588256836,-3.6113986968994136,5920.607421875,267.11297607421875,260.18728637695307,-8.372732162475586,-9.078169822692873,3207.55322265625,283.38568115234375,276.35682678222656,-3.9004993438720703,-0.04613685607910156,1561.4498291015625,292.633056640625,283.1872863769531,-4.4864540100097665,-1.098226547241211,295.0664367675781,293.0622863769531,-0.7998924255371094,-0.4366035461425781,296.42584228515625,294.2497863769531,-2.232937812805176,0.4847116470336914,0.0,-0.01694774627685547,-0.005721092224121094,101682.0,146.90662002563474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3938751220703125,0.5081634521484375,100970.0,61.99525451660156,294.9361267089844,0.0,88.7,0.5,0.0,0.0,0.0,295.2491149902344,294.42535400390625,0.01592,294.6247863769531,94.0,-1.5027084350585938,0.24895286560058594,1.5640201743226498,-1.5027084350585938,0.24895286560058594,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.06,-3.0,-2.0,28.0,8.0,-0.7000000000000001,60.0,-258.0,46.529656529426575,0.0,2.0,2.0,2.0,--,--,--,--,--,274.3,0.0,387.1,0.0,398.9463195800781,0.0,0.0,0.0,37.0,30.1,-9.550872802734377,3.5705299377441406,-0.5346126556396484,-2.5959415435791016,-7.44879150390625,-11.087759017944336,4818.34359375,63.0,57500.0,4820.0,63.0,57400.0,6650.0,8150.0,-5.0,1440.0
5,0,2019,8,20,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,2.6653144471347328,10.626348495483398,-3.7724609375,3.5201778411865234,-4.841604232788086,5918.7763671875,267.12429809570307,258.81228637695307,-10.085769653320312,-7.671913146972656,3206.4765625,283.11627197265625,275.94512939453125,-3.8764123916625977,-0.35777854919433594,1563.553466796875,291.82916259765625,284.9372863769531,-4.5094871520996085,-1.3258304595947266,294.72723388671875,292.6872863769531,-3.0587387084960938,0.11596107482910155,296.5263671875,294.4997863769531,-3.556262969970703,1.297260284423828,0.0,-0.002491474151611328,-0.02950286865234375,101721.0,150.55928230285645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.373565673828125,0.9299240112304688,101010.0,61.99525451660156,295.3106384277344,0.0,87.30000000000004,0.5,0.0,0.0,0.0,295.3590087890625,294.51434326171875,0.016030000000000003,294.7497863769531,96.2,-1.761760711669922,0.008747100830078125,1.8143482273444531,-1.761760711669922,0.008747100830078125,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.13,-1.0,3.0,28.0,8.0,-0.5,120.0,-187.0,47.11034369468689,0.0,0.0,0.0,0.0,--,--,--,--,--,276.3,0.0,387.9,0.0,400.9908599853516,0.0,0.0,0.0,18.3,20.8,-9.869026184082033,4.329902648925781,-1.7732658386230469,-1.9738636016845703,-8.089256286621094,-9.587444305419922,4839.848125,60.0,57300.0,4840.0,60.0,57300.0,6570.0,8100.0,-3.6,920.0
6,0,2019,8,20,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,2.5433971062302594,9.059392929077148,-3.4490337371826167,4.071390151977538,-6.067556381225586,5916.0419921875,266.80682373046875,258.74978637695307,-10.259967803955078,-6.401395797729492,3205.03369140625,283.0034484863281,274.95703125,-4.0055131912231445,-1.3780784606933594,1563.2337646484375,291.43157958984375,285.03155517578125,-4.2270469665527335,-1.4629383087158203,295.1070251464844,292.3527374267578,-4.077615737915038,0.2353782653808593,296.57025146484375,294.5842590332031,-3.8790111541748047,1.4414348602294922,0.0,-0.007335662841796875,0.020676851272583008,101718.0,149.60896110534668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.574531555175781,1.0373268127441406,101000.0,61.99525451660156,294.6776428222656,0.0,86.5,0.5,0.0,0.0,0.0,294.9768371582031,294.1656494140625,0.01589,294.6060028076172,95.4,-1.5377740859985352,-0.444025993347168,1.6278954322915524,-1.5377740859985352,-0.444025993347168,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.07,-3.0,-6.0,32.0,8.0,-0.9,190.0,-162.0,45.9351327419281,14.25,0.0,0.0,14.25,--,--,--,--,--,277.3,0.0,386.9,0.0,397.4596710205078,0.0,0.0,0.0,11.1,15.2,-9.759464263916016,4.421012878417969,-2.952598571777344,-1.13623046875,-7.6631813049316415,-8.04083251953125,4839.1190625,59.0,57300.0,4840.0,59.0,57300.0,6540.0,8100.0,-3.6,800.0
7,0,2019,8,20,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,2.4714657850563526,7.826662063598633,-4.641063690185547,4.106130599975587,-7.130607604980469,5915.32861328125,266.5189971923828,259.24978637695307,-9.889056205749512,-5.655121803283691,3203.491943359375,282.92877197265625,275.24978637695307,-3.718311309814453,-1.5870914459228516,1562.0303955078125,291.39447021484375,285.7806701660156,-4.629730224609375,-1.8348636627197263,295.03436279296875,293.06756591796875,-4.779472351074219,-0.3736381530761719,296.231689453125,294.760009765625,-4.202054023742677,1.3362483978271484,0.0,0.009121417999267578,0.007965326309204102,101702.0,148.36618041992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.757801055908203,0.9647579193115234,100990.0,61.99525451660156,294.4451599121094,0.0,86.10000000000002,0.5,0.0,0.0,0.0,294.71710205078125,293.8779602050781,0.015580000000000004,294.2992401123047,95.7,-1.4034423828125,-0.7124557495117188,1.5643062164308503,-1.4034423828125,-0.7124557495117188,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.07,-3.0,-5.0,35.0,8.0,-0.6000000000000001,200.0,-162.0,47.33120119571686,39.25,0.0,0.0,39.25,--,--,--,--,--,277.90000000000003,0.0,388.4,0.0,396.2419128417969,0.0,0.0,0.0,8.3,17.8,-9.989080429077148,4.228649139404297,-3.6391544342041016,-1.1949348449707031,-6.658599853515625,-6.925041198730469,4870.14171875,58.0,57100.0,4870.0,58.0,57000.0,6470.0,8120.0,-4.6000000000000005,1140.0
8,0,2019,8,20,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,1.355488903820515,4.716978073120117,-6.882362365722656,1.3338146209716797,-8.129947662353517,5912.171875,266.37335205078125,259.6643829345703,-9.334357261657717,-5.1540489196777335,3200.293212890625,282.6145324707031,274.8712310791016,-3.412017822265625,-2.8406276702880864,1560.4404296875,291.46002197265625,285.3122863769531,-5.022588729858398,-1.341085433959961,294.786865234375,293.2165069580078,-4.396578788757323,-0.190673828125,295.76727294921875,295.2068786621094,-2.9860801696777344,1.1854448318481443,0.0,0.006905555725097656,0.026938915252685547,101698.0,147.9426689147949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.521036148071289,0.9249343872070312,100990.0,61.99525451660156,294.0990905761719,0.0,85.7,0.5,0.0,0.0,0.0,294.27764892578125,293.49298095703125,0.01539,294.09718322753906,97.0,-0.4702224731445313,-1.1070308685302734,1.1895261905156076,-0.4702224731445313,-1.1070308685302734,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.04,-1.0,-4.0,31.0,8.0,-0.4,300.0,-109.0,47.07727313041687,26.125,0.0,0.0,26.125,--,--,102.02623748779297,--,--,276.7,0.0,387.1,0.0,394.3987731933594,0.0,0.0,0.0,12.0,12.8,-9.504068374633787,4.283948898315431,-4.49884033203125,-0.10890960693359376,-6.721769332885742,-6.5103111267089835,4878.56296875,58.0,57000.0,4880.0,58.0,57000.0,6460.0,8140.0,-4.800000000000002,1170.0
9,0,2019,8,20,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,1.4064988978207111,2.1812400817871094,-7.492136001586914,0.2869529724121094,-7.653572082519531,5911.6689453125,266.37094116210943,258.72467041015625,-8.329954147338867,-4.546487808227539,3201.48291015625,282.10986328125,274.84506225585943,-4.0572547912597665,-3.3761205673217773,1563.2877197265625,291.4264831542969,285.4474029541016,-5.536735534667969,0.1075735092163086,294.4867248535156,293.1475067138672,-4.0600643157958975,0.5985240936279297,295.7217712402344,295.39617919921875,-1.7389850616455078,0.3751745223999024,0.0,-0.03181266784667969,-0.02244806289672852,101744.0,151.7773895263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.396728515625,-0.1335277557373047,101030.0,61.99525451660156,294.4585266113281,0.0,85.4,0.5,0.0,0.0,0.0,294.412841796875,293.6069641113281,0.0154,294.13096618652344,97.9,-0.04847145080566406,-1.240558624267578,1.2550254962407053,-0.04847145080566406,-1.240558624267578,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.09,0.0,-1.0,16.0,8.0,0.0,390.0,-90.0,47.184653639793396,41.25,0.0,0.0,41.25,--,--,101.99843215942383,--,--,276.8,0.0,386.70000000000016,0.0,396.534912109375,0.0,0.0,0.0,17.0,8.0,-8.896463394165039,4.834644317626953,-4.8609046936035165,1.3211936950683594,-6.612274169921875,-5.3990631103515625,4851.46625,67.0,57200.0,4850.0,67.0,57100.0,6480.0,8100.0,-4.7,1180.0
