Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,9,28,-10.0,-999.0,0.0,37800.0,-10.0,-10.0,-10.0,5.8798711970448485,21.1637601852417,-13.09146499633789,13.557488441467285,-5.877998352050781,5911.732421875,267.2365264892578,255.87478637695312,6.4262142181396475,2.6893539428710938,3185.61328125,283.56787109375,263.06228637695307,-3.2599458694458012,4.362804412841797,1545.419677734375,293.5184326171875,285.14495849609375,-1.9934396743774407,1.7223739624023438,298.303466796875,291.68914794921875,2.0234479904174805,4.591707229614258,304.09967041015625,292.4403381347656,2.6391000747680664,3.46380615234375,0.0,0.0013303756713867188,-0.01985478401184082,101288.0,114.0627899169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3204708099365234,4.216041564941406,100340.0,83.96400451660156,303.4032287597656,0.0,4.5,0.0,0.0,0.0,0.0,303.9490051269531,303.6927490234375,0.01406,292.52125549316406,49.7,1.8429079055786133,2.093738555908203,2.8173850332386787,1.8429079055786133,2.093738555908203,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2315,0.18,-14.0,3.0,90.0,14.0,-2.7,500.0,-53.0,35.85683733224869,0.0,0.0,0.0,0.0,--,--,--,--,--,297.0,0.0,410.6,0.0,441.9327239990234,0.0,0.0,0.0,-34.0,-26.0,-1.6270675659179688,-3.870708465576172,-1.83154296875,1.512554168701172,3.232895851135254,-0.9677848815917968,5127.013828125,29.0,55200.0,5130.0,29.0,55200.0,6580.0,8100.0,-4.0,1060.0
1,0,2019,9,28,-10.0,-999.0,0.0,32700.0,-10.0,-10.0,-10.0,5.645974446088076,20.905367851257324,-12.278427124023438,12.739155769348145,-5.782295227050781,5914.5595703125,267.42459106445307,256.24978637695307,5.668278694152832,2.00634765625,3187.79248046875,283.3228759765625,265.93728637695307,-4.105510711669922,4.170013427734375,1547.81689453125,293.6808776855469,283.7138214111328,-2.8067646026611333,2.4960479736328125,298.7569580078125,289.2173767089844,0.7270345687866211,4.783287048339844,302.47393798828125,292.4992980957031,2.5167999267578125,3.8025913238525386,0.0,-0.01204204559326172,0.016384363174438477,101336.0,117.98199462890624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28022575378418,4.425037384033203,100380.0,83.96400451660156,301.5101013183594,0.0,4.4,0.0,0.0,0.0,0.0,302.0283508300781,301.6827697753906,0.0141,292.5957794189453,55.5,1.0691900253295898,1.6373262405395508,1.9425118509680035,1.0691900253295898,1.6373262405395508,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295,0.11,-8.0,5.0,90.0,14.0,-1.7000000000000002,350.0,-135.0,34.207454919815056,0.0,0.0,0.0,0.0,--,--,--,--,--,295.9000000000001,0.0,398.20000000000016,0.0,430.9389953613281,0.0,0.0,0.0,-51.0,-40.1,-4.5561866760253915,-2.4345054626464844,-2.274845123291016,2.351085662841797,2.5027332305908203,-1.8597984313964844,5138.65359375,33.0,55100.0,5140.0,33.0,55100.0,6620.0,8080.0,-2.1,380.0
2,0,2019,9,28,-10.0,-999.0,0.0,28100.0,-10.0,-10.0,-10.0,2.8904531970620155,20.04817771911621,-12.18825912475586,13.282188415527346,-6.262622833251952,5918.431640625,267.07815551757807,256.49978637695307,5.143217086791992,2.0050048828125,3193.11474609375,282.8524169921875,267.93728637695307,-4.889801979064941,4.5698204040527335,1554.388671875,293.641845703125,283.0184631347656,-2.1378145217895512,3.29483413696289,298.51080322265625,288.9034118652344,0.7330818176269531,4.399858474731445,301.12994384765625,292.71617126464844,2.38654899597168,2.4472370147705083,0.0,0.008622169494628906,-0.02683854103088379,101431.0,126.29850006103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.267566680908203,2.9154758453369136,100480.0,83.96400451660156,300.5931854248047,0.0,4.5,0.0,0.0,0.0,0.0,300.59205627441406,300.21246337890625,0.014209999999999999,292.757568359375,61.6,0.39821624755859375,0.44339752197265625,0.5636899600503966,0.39821624755859375,0.44339752197265625,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295,0.02,0.0,0.0,40.0,14.0,-1.3,340.0,-150.0,34.58500611782074,0.0,0.0,0.0,0.0,--,--,--,--,--,291.4000000000001,0.0,392.1,0.0,425.8055419921875,0.0,0.0,0.0,-63.0,-34.9,-1.216753005981445,-4.302164077758788,-1.2725582122802734,4.263429641723634,2.458965301513672,-0.352447509765625,5132.6077734375,30.0,55200.0,5130.0,30.0,55200.0,6530.0,8070.0,-2.0,330.0
3,0,2019,9,28,-10.0,-999.0,0.0,25400.0,-10.0,-10.0,-10.0,1.881866604089737,20.653932571411133,-12.170433044433596,14.574895858764648,-7.115318298339844,5921.283203125,267.0572967529297,256.09219360351557,4.860876083374023,1.9435958862304688,3195.1923828125,283.2350158691406,270.81228637695307,-5.333160400390625,5.176191329956055,1556.5426025390625,293.1540832519531,282.8747863769531,-2.0734176635742188,3.6653060913085938,298.2236328125,287.8933410644531,0.4984636306762695,4.2111358642578125,299.8867492675781,292.8030090332031,2.0201339721679688,1.865093231201172,0.0,0.01824808120727539,-0.02260613441467285,101484.0,131.43617248535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7540264129638667,2.01435661315918,100540.0,83.96400451660156,299.53521728515625,0.0,4.5,0.0,0.0,0.0,0.0,299.5592956542969,299.07586669921875,0.01402,292.5496826171875,65.0,0.1455841064453125,0.2358207702636719,0.3126233478833456,0.1455841064453125,0.2358207702636719,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295,0.01,0.0,0.0,31.0,14.0,-0.5,230.0,-200.0,34.917560398578644,0.0,0.0,0.0,0.0,--,--,--,--,--,290.6,0.0,386.70000000000016,0.0,419.8428955078125,0.0,0.0,0.0,-46.0,-16.900000000000002,1.0683460235595703,-4.433961868286133,-0.7808074951171875,4.612693786621094,2.6341876983642583,0.5336837768554688,5125.9629296875,31.0,55200.0,5130.0,31.0,55300.0,6560.0,8070.0,-1.3,110.0
4,0,2019,9,28,-10.0,-999.0,0.0,22700.0,-10.0,-10.0,-10.0,1.8575219437479973,19.855173110961914,-13.229965209960938,14.872166633605955,-8.414131164550781,5921.4541015625,267.25149536132807,254.56228637695312,4.459821701049805,2.721649169921875,3193.974365234375,283.17919921875,271.74978637695307,-4.6827545166015625,6.166671752929688,1556.3206787109375,292.6887512207031,284.0386962890625,-1.3782806396484375,4.292816162109375,298.00433349609375,287.4563903808594,0.810816764831543,4.2300987243652335,299.0012512207031,292.934814453125,1.8111524581909184,1.7796554565429688,0.0,0.01657581329345703,-0.02334141731262207,101502.0,132.62990760803223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5398178100585938,1.951345443725586,100550.0,83.96400451660156,298.6013488769531,0.0,4.5,0.0,0.0,0.0,0.0,298.50877380371094,298.0374755859375,0.01399,292.46759033203125,69.8,0.12068939208984375,0.4517307281494141,0.4394014808349312,0.12068939208984375,0.4517307281494141,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295,0.01,0.0,0.0,32.0,14.0,0.4,170.0,-250.0,35.484720647335045,0.0,0.0,0.0,0.0,--,--,--,--,--,289.6,0.0,383.8,0.0,414.5054626464844,0.0,0.0,0.0,-16.0,2.8000000000000003,3.483192443847656,-3.2125320434570312,0.06679153442382812,4.519552230834961,2.605045318603516,1.4027137756347656,5136.878876953125,29.0,55200.0,5140.0,29.0,55200.0,6600.0,8070.0,-0.5,20.0
5,0,2019,9,28,-10.0,-999.0,0.0,19900.0,-10.0,-10.0,-10.0,1.7582072690129282,19.47900581359864,-13.93896484375,15.251745223999025,-10.474411010742188,5917.17578125,267.1768341064453,254.37478637695312,4.156825065612793,2.565032958984375,3189.302734375,283.4679260253906,271.51107788085943,-3.5477466583251966,6.617134094238281,1552.603515625,292.29107666015625,283.9048767089844,-0.5704383850097656,4.120918273925781,297.8040466308594,286.1651611328125,1.097416877746582,4.038154602050781,298.16552734375,293.1243133544922,1.3457345962524414,1.7858734130859375,0.0,0.026191234588623047,-0.016457557678222656,101487.0,131.16119384765622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0620574951171875,2.0091285705566406,100530.0,83.96400451660156,297.5418701171875,0.0,4.5,0.0,0.0,0.0,0.0,297.3647003173828,296.9681701660156,0.01423,292.7748718261719,75.5,-0.1304149627685547,0.5872926712036133,0.5639328887918964,-0.1304149627685547,0.5872926712036133,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295,0.05,1.0,1.0,48.0,14.0,0.6000000000000001,120.0,-260.0,34.31466066837311,0.0,0.0,0.0,0.0,--,--,--,--,--,288.7,0.0,377.9,0.0,408.913314819336,0.0,0.0,0.0,-1.0,9.5,3.0836048126220703,-3.589855194091797,0.8472213745117188,4.118844985961913,2.8455829620361333,1.2844715118408203,5114.990341796875,30.0,55300.0,5120.0,30.0,55300.0,6600.0,8050.0,-0.1,0.0
6,0,2019,9,28,-10.0,-999.0,0.0,17500.0,-10.0,-10.0,-10.0,2.358172088861465,18.00660228729248,-14.368438720703125,14.913080215454102,-11.99310302734375,5915.21044921875,267.16973876953125,254.184814453125,3.4518146514892583,2.580142974853516,3187.1416015625,283.8294372558594,270.60340881347656,-3.1044597625732417,7.1543731689453125,1550.47314453125,291.976806640625,283.9372863769531,-0.20969200134277344,4.162117004394531,297.524658203125,285.6872863769531,1.292276382446289,4.37213134765625,297.3427734375,293.1872863769531,0.985769271850586,2.5049991607666016,0.0,-0.008261680603027344,-0.011659383773803713,101484.0,131.13301467895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6184368133544922,2.8089637756347656,100530.0,83.96400451660156,296.3805389404297,0.0,4.5,0.0,0.0,0.0,0.0,296.37872314453125,295.9195251464844,0.01434,292.8747863769531,80.60000000000002,0.01467132568359375,1.0540790557861328,1.0034355618990958,0.01467132568359375,1.0540790557861328,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295,0.08,0.0,2.0,63.0,14.0,0.9,60.0,-280.0,33.6025984287262,0.0,0.0,0.0,0.0,--,--,--,--,--,288.2,0.0,373.5,0.0,402.5655059814453,0.0,0.0,0.0,-3.0,8.1,1.4504528045654297,-3.631649017333984,1.1458492279052734,3.8302993774414062,2.6078128814697266,0.5237598419189453,5099.298371582031,30.0,55400.0,5100.0,30.0,55400.0,6610.0,8060.0,0.1,0.0
7,0,2019,9,28,-10.0,-999.0,0.0,15200.0,-10.0,-10.0,-10.0,2.550287786871195,16.124197959899902,-15.148643493652346,14.17825698852539,-12.362621307373047,5913.796875,266.98757934570307,253.99978637695312,3.4726486206054688,2.5432662963867188,3186.4443359375,283.70416259765625,270.99978637695307,-2.3177471160888667,6.968416213989258,1550.3863525390625,291.77899169921875,284.2873077392578,0.26486968994140625,3.7890548706054688,297.273681640625,285.5246887207031,1.7324256896972656,4.1239566802978525,296.903076171875,293.39283752441406,1.1729707717895508,2.784652709960937,0.0,0.020149707794189453,-0.01423525810241699,101500.0,132.41228485107422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6182327270507812,3.10952377319336,100550.0,83.96400451660156,295.5578308105469,0.0,4.5,0.0,0.0,0.0,0.0,295.5970001220703,295.1546936035156,0.01466,293.25965881347656,86.2,0.13572120666503906,0.8904266357421875,0.8767884155968204,0.13572120666503906,0.8904266357421875,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295,0.07,-1.0,1.0,64.0,14.0,0.7000000000000001,60.0,-300.0,33.934700042009354,0.0,0.0,0.0,0.0,--,--,--,--,--,287.5,0.0,371.6,0.0,398.0624237060547,0.0,0.0,0.0,-1.0,6.5,0.010980606079101562,-3.7231731414794917,1.6493873596191406,3.60660171508789,2.7244892120361333,-0.10791778564453124,5088.16,29.0,55500.0,5090.0,29.0,55500.0,6600.0,8070.0,-0.1,0.0
8,0,2019,9,28,-10.0,-999.0,0.0,14000.0,-10.0,-10.0,-10.0,2.478470701724292,16.58482837677002,-14.404457092285154,14.45302963256836,-12.458023071289062,5907.56982421875,266.6572265625,254.0306701660156,3.325115203857422,1.9219741821289065,3182.393798828125,283.5318603515625,271.5434417724609,-1.7170467376708984,6.6927032470703125,1547.6566162109375,291.32550048828125,284.87261962890625,0.5986061096191406,3.388874053955078,296.8869934082031,285.67555236816406,1.8964052200317385,3.8537464141845694,296.5650634765625,293.4951171875,1.193401336669922,2.735313415527344,0.0,0.003470897674560547,0.016103744506835938,101494.0,131.54697036743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6564350128173828,3.1821231842041016,100540.0,83.96400451660156,294.94427490234375,0.0,4.5,0.0,0.0,0.0,0.0,294.96441650390625,294.5318908691406,0.01463,293.21282958984375,89.60000000000002,0.17490196228027344,0.9937334060668944,1.0023360394407064,0.17490196228027344,0.9937334060668944,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295,0.07,0.0,0.0,53.0,14.0,0.8,80.0,-260.0,35.23711338639259,0.0,0.0,0.0,0.0,--,--,--,--,--,285.9000000000001,0.0,372.1,0.0,394.84010314941406,0.0,0.0,0.0,-4.0,0.6000000000000001,-2.2718334197998047,-3.3527145385742188,1.86041259765625,3.114341735839844,2.568536758422852,-1.0345916748046875,5054.24,28.0,55700.0,5050.0,28.0,55700.0,6550.0,8050.0,-0.6000000000000001,10.0
9,0,2019,9,28,-10.0,-999.0,0.0,13200.0,-10.0,-10.0,-10.0,2.4640867244452243,15.359209060668945,-13.890769958496096,13.07070541381836,-12.150146484375,5910.2587890625,266.60397338867193,253.68728637695312,3.032526016235352,1.5373573303222656,3186.091796875,283.4162902832031,270.37478637695307,-1.838947296142578,6.1831912994384775,1552.37109375,291.1392517089844,284.2850036621094,0.5355682373046875,2.9731903076171875,296.6195068359375,285.79002380371094,1.9960613250732424,3.7237262725830083,296.6185302734375,293.8369598388672,1.6870651245117188,2.726705551147461,0.0,-0.013431072235107422,-0.01881098747253418,101561.0,137.54010391235352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1003131866455083,3.0962696075439453,100610.0,83.96400451660156,294.53448486328125,0.0,4.5,0.0,0.0,0.0,0.0,294.5743103027344,294.0390625,0.014650000000000003,293.2600402832031,91.8,0.4765758514404297,0.8742074966430664,1.0020355442538855,0.4765758514404297,0.8742074966430664,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295,0.06,-1.0,0.0,50.0,14.0,0.9,190.0,-180.0,35.1967288851738,0.0,0.0,0.0,0.0,--,--,--,--,--,285.6,0.0,371.6,0.0,392.44313049316406,0.0,0.0,0.0,-10.0,-8.9,-4.1478424072265625,-2.57684326171875,1.787313461303711,3.081829071044922,1.9096603393554688,-1.4867897033691406,5050.08,28.0,55700.0,5050.0,28.0,55700.0,6600.0,8110.0,-1.5,60.0
