Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,10,10,-10.0,-999.0,0.0,19200.0,-10.0,-10.0,-10.0,4.415582925081253,17.886568069458008,-5.589317321777344,11.392415046691895,-1.5474166870117188,5851.22998046875,264.67196655273443,230.62478637695312,6.7719926834106445,-0.372467041015625,3159.85595703125,279.1171875,270.62478637695307,0.4624900817871094,0.912489891052246,1539.81884765625,289.9674072265625,281.24978637695307,-8.184688568115233,1.1662254333496094,295.17010498046875,284.1401062011719,-5.4268646240234375,4.2831382751464835,299.2861328125,295.1628723144531,-1.7142829895019531,3.86518669128418,0.0,-0.010478973388671877,-0.003309488296508789,101469.0,127.67459869384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3700008392333984,3.3953075408935547,101280.0,16.651504516601562,298.8239288330078,0.0,14.3,0.0,0.0,0.0,0.0,299.0548858642578,297.9792785644531,0.016370000000000003,295.1247863769531,76.9,-0.4768562316894531,1.2316246032714844,1.321707314811647,-0.4768562316894531,1.2316246032714844,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2783,0.04,-1.0,0.0,40.0,8.0,-5.4,2050.0,-5.0,32.74562662839889,0.0,0.0,0.0,0.0,--,--,--,--,--,295.1,0.0,388.1,0.0,420.3703155517578,0.0,0.0,0.0,-59.0,-75.60000000000002,-4.7825279235839835,-5.298479080200195,-6.797370910644531,2.3498992919921875,9.032472610473633,-3.685169219970703,4666.56,4.0,58100.0,4670.0,4.0,58100.0,6070.0,7600.0,-6.0,2070.0
1,0,2019,10,10,-10.0,-999.0,0.0,17000.0,-10.0,-10.0,-10.0,4.879857815802096,17.590789794921875,-5.890781402587893,11.60107707977295,0.7143821716308594,5857.33447265625,264.86825561523443,229.06228637695312,6.6923789978027335,0.20192718505859367,3165.65966796875,279.58203125,267.68728637695307,0.18688011169433594,0.9809856414794922,1544.628662109375,289.71856689453125,285.6872863769531,-10.560226440429688,2.07363510131836,295.1596984863281,287.4997863769531,-5.732398986816406,6.1061668395996085,299.4555358886719,294.4997863769531,-1.3346939086914062,4.5525779724121085,0.0,-0.00930929183959961,0.014930009841918944,101511.0,131.45802307128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.914154052734375,4.049848556518556,101320.0,16.651504516601562,297.03443908691406,0.0,14.6,0.0,0.0,0.0,0.0,297.6188201904297,296.4993896484375,0.016470000000000002,295.2497863769531,81.60000000000002,-0.1431560516357422,1.2696037292480469,1.2512781664263457,-0.1431560516357422,1.2696037292480469,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790000000000004,0.03,-2.0,0.0,30.0,8.0,-4.9,1840.0,-19.0,34.95624685287476,0.0,0.0,0.0,0.0,--,--,--,--,--,293.8,0.0,391.5,0.0,410.5834197998047,0.0,0.0,0.0,-95.0,-99.0,-5.480207443237305,-4.272661209106444,-7.810976028442383,4.078966140747069,8.611593246459961,-3.9488258361816406,4644.8,5.0,58300.0,4640.0,5.0,58300.0,6110.0,7600.0,-5.2,1780.0
2,0,2019,10,10,-10.0,-999.0,0.0,15200.0,-10.0,-10.0,-10.0,4.311621464788914,17.398126602172848,-7.3924560546875,12.690662384033205,0.5186843872070312,5864.291015625,265.1044464111328,229.06228637695312,7.50692081451416,-0.7624130249023438,3170.53466796875,279.9805145263672,268.99978637695307,-0.3747329711914063,0.4495887756347656,1547.9761962890625,289.5389709472656,285.3747863769531,-9.676025390625,2.2892074584960938,294.43243408203125,288.9372863769531,-5.565956115722656,6.0279693603515625,299.28082275390625,294.9372863769531,-2.3272724151611333,3.621994018554688,0.0,-0.0030384063720703125,0.03010106086730957,101564.0,135.91783905029294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7777175903320312,2.4371299743652344,101380.0,16.651504516601562,295.7997283935547,0.0,14.9,0.0,0.0,0.0,0.0,296.5704345703125,295.42095947265625,0.01665,295.4372863769531,86.0,-1.2518348693847656,0.5992584228515625,1.3768706158734858,-1.2518348693847656,0.5992584228515625,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790000000000004,0.04,-3.0,0.0,40.0,8.0,-4.5,1880.0,-6.0,37.07763177156448,0.0,0.0,0.0,0.0,--,--,--,--,--,290.6,0.0,391.8,0.0,403.7254638671875,0.0,0.0,0.0,-73.0,-72.0,-5.4207801818847665,-4.768196105957031,-5.733192443847656,5.0819091796875,10.45267105102539,-3.973915100097656,4660.32,10.0,58300.0,4660.0,10.0,58200.0,6150.0,7610.0,-5.4,1850.0
3,0,2019,10,10,-10.0,-999.0,0.0,14900.0,-10.0,-10.0,-10.0,5.6741782277822495,18.44716453552246,-7.547954559326173,14.132558822631836,-0.7028999328613281,5865.1337890625,264.750503540039,228.49978637695312,6.829011917114258,-1.997100830078125,3172.162109375,279.97073364257807,267.49978637695307,-0.13803482055664062,0.6348133087158203,1550.792236328125,289.17266845703125,285.3122863769531,-8.625011444091799,3.803936004638672,293.8157653808594,289.7497863769531,-5.581035614013672,6.8559207916259775,299.331298828125,294.5622863769531,-3.2824783325195312,4.036497116088866,0.0,-0.019385814666748047,0.0011742115020751953,101615.0,140.28703308105472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8449726104736333,2.6740703582763667,101430.0,16.651504516601562,295.37567138671875,0.0,15.2,0.0,0.0,0.0,0.0,296.17218017578125,294.9814147949219,0.016309999999999998,295.1247863769531,86.2,-1.7825431823730469,0.6292972564697266,1.879857073072344,-1.7825431823730469,0.6292972564697266,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790000000000004,0.05,-3.0,0.0,30.0,8.0,-4.4,1850.0,-7.0,36.0538401901722,0.0,0.0,0.0,0.0,--,--,--,--,--,290.1,0.0,390.1,0.0,401.3463287353516,0.0,0.0,0.0,-44.0,-54.0,-5.7976341247558585,-4.212118148803712,-4.508007049560547,6.115257263183594,10.589035034179688,-5.542640686035156,4656.0,8.0,58300.0,4660.0,8.0,58300.0,6090.0,7580.0,-5.4,1760.0
4,0,2019,10,10,-10.0,-999.0,0.0,15000.0,-10.0,-10.0,-10.0,6.194799557328224,19.52029228210449,-13.311756134033205,14.70986557006836,-4.133167266845703,5866.6533203125,264.68655395507807,226.87478637695312,6.002946853637695,-2.59027099609375,3170.262939453125,280.49844360351557,264.24978637695307,0.28026580810546875,0.8473434448242188,1549.040771484375,288.6618957519531,286.2497863769531,-8.464881896972656,5.0225791931152335,293.43914794921875,290.5622863769531,-6.416671752929688,7.7735328674316415,299.32586669921875,294.3122863769531,-3.672435760498047,4.542364120483398,0.0,-0.02159404754638672,0.015705585479736328,101610.0,139.93585968017578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9773941040039062,3.2163238525390625,101420.0,16.651504516601562,294.9704132080078,0.0,15.8,0.0,0.0,0.0,0.0,295.8511657714844,294.6894836425781,0.01601,294.8122863769531,85.4,-1.7072296142578125,0.9247283935546876,1.944089815951884,-1.7072296142578125,0.9247283935546876,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790000000000004,0.05,-4.0,0.0,30.0,8.0,-4.2,1670.0,-8.0,35.816127389669425,0.0,0.0,0.0,0.0,--,--,--,--,--,292.3,0.0,390.70000000000016,0.0,399.2134552001953,0.0,0.0,0.0,-38.0,-66.4,-7.029928207397461,-3.1840419769287114,-5.2886085510253915,6.931648254394531,9.916847229003906,-6.540107727050781,4697.440000000001,4.0,58000.0,4700.0,4.0,58000.0,6070.0,7610.0,-5.1000000000000005,1550.0
5,0,2019,10,10,-10.0,-999.0,0.0,14700.0,-10.0,-10.0,-10.0,6.442506164312363,21.977190017700195,-16.468982696533207,16.070730209350586,-6.271018981933594,5864.4921875,264.2274932861328,230.68728637695312,4.854715347290039,-3.72970199584961,3168.97509765625,280.80426025390625,263.12478637695307,0.1624298095703125,0.8187065124511719,1548.325439453125,288.5208435058594,284.5622863769531,-9.312393188476562,5.17633056640625,293.2504577636719,290.8122863769531,-7.27020263671875,7.628984451293945,299.2846374511719,294.3122863769531,-3.872747421264648,4.733844757080078,0.0,-0.024204254150390625,0.014557838439941406,101615.0,140.30305862426758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1900634765625,3.4219207763671875,101430.0,16.651504516601562,294.63690185546875,0.0,16.3,0.0,0.0,0.0,0.0,295.5658874511719,294.4002380371094,0.0158,294.5622863769531,85.10000000000002,-1.7383174896240234,0.9168300628662108,1.943790640681982,-1.7383174896240234,0.9168300628662108,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790000000000004,0.05,-4.0,0.0,30.0,8.0,-4.5,1620.0,-10.0,35.084958255290985,0.875,0.0,0.0,0.875,--,--,--,--,--,291.7,0.0,388.8,0.0,397.2447814941406,0.0,0.0,0.0,-48.0,-86.0,-7.9285888671875,-2.9195213317871094,-6.847187042236327,6.992757797241211,8.910568237304688,-7.971675872802732,4667.04,6.0,58200.0,4670.0,6.0,58200.0,5990.0,7550.0,-5.5,1550.0
6,0,2019,10,10,-10.0,-999.0,0.0,14600.0,-10.0,-10.0,-10.0,6.918695833534003,23.821666717529297,-16.027099609375,17.955108642578125,-9.08945083618164,5861.40771484375,263.90728759765625,231.12478637695312,3.866832733154297,-3.98797607421875,3165.3525390625,281.06649780273443,261.18728637695307,-0.4334659576416016,1.441082000732422,1545.626953125,287.7140808105469,285.8747863769531,-10.618717193603516,6.173269271850586,293.1054382324219,292.3122863769531,-8.015533447265625,6.816673278808594,299.20159912109375,295.0622863769531,-4.648504257202148,4.412317276000977,0.0,-0.01804828643798828,-0.030166149139404293,101593.0,138.48887634277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.627008438110352,3.2261276245117188,101400.0,16.651504516601562,294.4507293701172,0.0,16.900000000000002,0.0,0.0,0.0,0.0,295.2969512939453,294.1999816894531,0.0156,294.3747863769531,85.80000000000003,-1.52471923828125,-0.0709686279296875,1.5631186165264808,-1.52471923828125,-0.0709686279296875,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790000000000004,0.04,-3.0,0.0,20.0,8.0,-4.3,1890.0,-10.0,36.87769052386285,9.125,0.0,0.0,9.125,--,--,--,--,--,292.3,0.0,392.9,0.0,396.3575286865234,0.0,0.0,0.0,-35.0,-89.0,-8.88531494140625,-2.797893524169922,-7.46954345703125,7.041593551635742,8.561447143554688,-8.075477600097656,4673.76,5.0,58200.0,4670.0,5.0,58100.0,5950.0,7520.0,-6.9,2070.0
7,0,2019,10,10,-10.0,-999.0,0.0,14400.0,-10.0,-10.0,-10.0,7.865863680839539,23.72164535522461,-15.376628875732422,19.131784439086914,-11.2318115234375,5859.9775390625,263.8447265625,231.49978637695312,3.763702392578125,-3.56485366821289,3163.961181640625,281.3582763671875,258.12478637695307,-0.7455654144287109,1.763263702392578,1544.565185546875,287.4284362792969,284.0622863769531,-9.326408386230467,5.6060333251953125,293.058349609375,292.5622863769531,-8.906059265136719,5.82330322265625,299.1739196777344,294.9372863769531,-6.0126953125,3.2176570892333984,0.0,-0.009853363037109377,0.0009198188781738279,101592.0,138.39691162109378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.688617706298828,2.0253620147705083,101400.0,16.651504516601562,295.4941864013672,0.0,17.400000000000002,0.0,0.0,0.0,0.0,295.9506378173828,294.8027648925781,0.0161,294.8747863769531,88.4,-1.683332443237305,-0.5251731872558594,1.7510821914765984,-1.683332443237305,-0.5251731872558594,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790000000000004,0.05,-2.0,0.0,0.0,8.0,-4.5,1840.0,2.348251342773437,34.48741635680199,0.25,0.0,0.0,0.25,--,--,--,--,--,294.7,0.0,389.70000000000016,0.0,401.9559173583984,0.0,0.0,0.0,10.0,-71.0,-8.455177307128906,-3.909736633300781,-7.716520309448242,6.348833084106445,9.76559066772461,-6.6790924072265625,4661.28,5.0,58300.0,4660.0,5.0,58200.0,5940.0,7530.0,-6.6000000000000005,1840.0
8,0,2019,10,10,-10.0,-999.0,0.0,14500.0,-10.0,-10.0,-10.0,8.224275212734938,20.6520938873291,-12.973358154296875,18.23893547058105,-10.80923080444336,5856.6259765625,263.94564819335943,232.99978637695312,3.8846187591552734,-3.255287170410156,3160.934814453125,281.2329559326172,260.18728637695307,-0.8380165100097656,1.092998504638672,1541.9365234375,287.43487548828125,284.6872863769531,-7.7528114318847665,4.777748107910156,292.7509460449219,291.6872863769531,-8.683006286621094,4.490699768066406,298.7086486816406,294.1247863769531,-6.781894683837893,1.6959800720214844,0.0,-0.01590251922607422,0.005361795425415039,101582.0,137.2785568237305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.555585861206055,0.8785629272460938,101390.0,16.651504516601562,295.5172576904297,0.0,17.7,0.0,0.0,0.0,0.0,296.3581237792969,295.23724365234375,0.016040000000000002,294.8122863769531,88.0,-2.1468238830566406,-1.1882438659667969,2.4422472598962486,-2.1468238830566406,-1.1882438659667969,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790000000000004,0.14,-15.0,0.0,20.0,8.0,-4.3,1430.0,0.0,34.57168260216713,0.25,0.0,0.0,0.25,--,--,--,--,--,294.1,0.0,387.8,0.0,402.35939025878906,0.0,0.0,0.0,31.0,-44.0,-7.45616340637207,-5.23040771484375,-6.41499137878418,5.87744140625,10.83089828491211,-5.19512939453125,4646.56,7.0,58300.0,4650.0,7.0,58300.0,5960.0,7550.0,-5.4,1340.0
9,0,2019,10,10,-10.0,-999.0,0.0,14100.0,-10.0,-10.0,-10.0,7.843733124434947,18.495346069335934,-11.523727416992188,17.388830184936527,-10.613510131835938,5857.1259765625,264.24969482421875,234.93728637695312,4.003551483154297,-2.9799118041992188,3160.65966796875,281.44277954101557,260.99978637695307,-1.9118900299072263,1.4313678741455078,1540.55615234375,288.12939453125,281.06228637695307,-7.060192108154298,4.922586441040039,292.5059509277344,290.6247863769531,-7.746685028076173,3.582489013671875,298.1011962890625,293.8747863769531,-7.611228942871094,0.3581275939941406,0.0,0.002300262451171875,0.023123741149902344,101581.0,136.9280500411987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.047849655151367,-0.7673149108886719,101390.0,16.651504516601562,295.1356201171875,0.0,18.0,0.0,0.0,0.0,0.0,295.7982635498047,294.6952819824219,0.015819999999999997,294.6247863769531,89.30000000000004,-1.9721736907958984,-1.0656452178955078,2.2515841320855543,-1.9721736907958984,-1.0656452178955078,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790000000000004,0.1,-8.0,0.0,20.0,8.0,-3.6,1050.0,-8.0,32.07109799981117,2.25,0.0,0.0,2.25,--,--,--,--,--,293.7,0.0,380.1,0.0,400.16064453125,0.0,0.0,0.0,43.0,-13.0,-6.422792434692383,-6.102224349975586,-5.356334686279297,5.5141944885253915,10.933271408081056,-3.380645751953125,4644.8,7.0,58400.0,4640.0,7.0,58300.0,6000.0,7560.0,-4.4,1000.0
