Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,10,19,-10.0,-999.0,0.0,31100.0,-10.0,-10.0,-10.0,3.097935814410448,17.570775032043453,4.335494995117188,15.227591514587402,-1.8304100036621087,5799.654296875,264.41493225097656,236.74978637695312,8.412843704223633,1.9183120727539065,3105.45458984375,283.050537109375,238.31228637695312,2.911828994750977,2.116912841796875,1490.9901123046875,282.13348388671875,263.43728637695307,-3.667713165283203,2.486377716064453,284.7388916015625,272.214859008789,-4.788644790649414,1.4008674621582031,288.9620361328125,275.36297607421875,-1.201580047607422,-0.068084716796875,0.0,0.021792888641357425,-0.0166013240814209,101450.0,127.39334869384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.309450149536134,-0.350372314453125,98000.0,304.7140045166016,283.31378173828125,0.0,52.2,0.0,0.0,0.0,0.0,284.0800476074219,285.7311096191406,0.00564,278.38934326171875,62.0,-1.2223892211914062,-0.06419944763183594,1.25564331933856,-1.2223892211914062,-0.06419944763183594,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3285,0.03,-2.0,0.0,70.0,13.0,18.5,0.0,0.0,7.059449970722199,0.0,0.0,26.75,26.75,--,--,--,--,--,264.7,0.0,271.6,0.0,321.5333557128906,0.0,0.0,0.0,48.0,2.0,0.29886627197265625,-5.746074676513673,-3.0684585571289062,3.1456737518310547,12.588912963867188,0.4660873413085938,4525.04533203125,5.0,58800.0,4530.0,5.0,58800.0,6010.0,7560.0,16.5,0.0
1,0,2019,10,19,-10.0,-999.0,0.0,26300.0,-10.0,-10.0,-10.0,3.850948136299849,16.096838235855106,3.902698516845703,12.734541893005373,-0.17015838623046875,5804.419921875,264.6909942626953,236.24978637695312,8.02650260925293,3.2963657379150386,3108.730224609375,283.3327941894531,238.56228637695312,2.5319690704345703,2.690265655517578,1491.114501953125,282.5718994140625,263.87478637695307,-3.7182865142822266,3.472454071044922,284.76800537109375,272.7990875244141,-5.820341110229492,2.023296356201172,287.93951416015625,275.32962036132807,-1.259319305419922,-0.782501220703125,0.0,-0.010611534118652344,-0.018004179000854492,101452.0,127.69161224365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.037528991699219,-1.2060909271240234,98010.0,304.7140045166016,281.6780090332031,0.0,53.2,0.0,0.0,0.0,0.0,282.3094177246094,283.93829345703125,0.00542,277.8050079345703,67.8,-1.394430160522461,-0.952789306640625,1.692576041445136,-1.394430160522461,-0.952789306640625,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3285,0.04,-3.0,2.0,53.0,13.0,20.4,0.0,0.0,7.315294921398162,0.0,0.0,72.5,72.5,--,--,11434.582294464111,--,12727.709579467773,249.5,0.0,269.7,0.0,313.9288482666016,0.0,0.0,0.0,75.0,33.0,1.3237886428833008,-5.131711959838867,-3.1385650634765625,5.220649719238281,12.751914978027346,2.948795318603516,4538.479809570313,4.0,58800.0,4540.0,4.0,58700.0,6060.0,7550.0,16.400000000000002,0.0
2,0,2019,10,19,-10.0,-999.0,0.0,25000.0,-10.0,-10.0,-10.0,4.396424882113934,15.246374130249025,6.414783477783202,12.336697578430176,2.113834381103516,5809.06494140625,264.80734252929693,235.93728637695312,6.577983856201173,3.673309326171875,3113.572265625,283.89776611328125,236.06228637695312,2.772201538085937,3.427677154541016,1489.653564453125,284.1642761230469,262.68728637695307,-2.5541954040527344,4.232225418090819,284.8565368652344,272.93728637695307,-5.589019775390625,2.414222717285156,287.5444641113281,275.1952362060547,-1.2793426513671875,-0.8937911987304688,0.0,0.02133655548095703,0.023526906967163086,101410.0,124.17435455322266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.199817657470703,-1.8207778930664065,97970.0,304.7140045166016,280.76712036132807,0.0,53.7,0.0,0.0,0.0,0.0,281.5342712402344,283.21014404296875,0.0053100000000000005,277.49978637695307,69.3,-1.401044845581055,-1.1198081970214844,1.814305627718568,-1.401044845581055,-1.1198081970214844,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3285,0.05,-3.0,2.0,40.0,13.0,21.1,0.0,0.0,6.818343997001648,0.0,0.0,99.75,99.75,22800.0,11433.454284667969,10645.943344116211,20000.0,13189.926231384277,216.6,0.0,278.5,0.0,310.16294860839844,0.0,0.0,0.0,98.0,56.0,2.0102558135986333,-4.664112091064453,-2.0900192260742188,5.914712905883789,11.23138427734375,3.7396774291992174,4518.72,3.0,59000.0,4520.0,3.0,58900.0,6100.0,7600.0,15.3,0.0
3,0,2019,10,19,-10.0,-999.0,0.0,23800.0,-10.0,-10.0,-10.0,4.499752901494503,14.49099349975586,7.058582305908202,10.940364599227905,4.109390258789063,5812.38427734375,264.6878662109375,237.31228637695312,6.031943321228027,5.055074691772461,3115.646484375,284.147705078125,236.37478637695312,2.300180435180664,4.043901443481444,1489.057861328125,284.74462890625,261.74978637695307,-2.051828384399414,5.126209259033203,284.97503662109375,272.68728637695307,-6.088376998901367,3.5626754760742188,287.08203125,276.00210571289057,-1.4912567138671875,-0.5095405578613281,0.0,-0.030338764190673825,0.03050971031188965,101388.0,122.37102508544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1279659271240225,-1.2044563293457031,97950.0,304.7140045166016,280.37322998046875,0.0,54.3,0.0,0.0,0.0,0.0,281.18148803710943,282.8543395996094,0.00532,277.5231475830078,70.9,-1.6234378814697266,-0.8359432220458984,1.8131918837316328,-1.6234378814697266,-0.8359432220458984,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3285,0.05,-3.0,2.0,43.0,13.0,21.1,0.0,0.0,6.6037407517433175,0.0,0.0,3.375,3.375,--,--,--,--,--,259.0,0.0,265.3,0.0,308.29747009277344,0.0,0.0,0.0,103.0,77.9,1.9142913818359373,-3.9126052856445312,-1.1699562072753906,6.622203826904298,11.332923889160154,4.693367004394531,4553.6,3.0,58700.0,4550.0,3.0,58600.0,6060.0,7570.0,15.1,0.0
4,0,2019,10,19,-10.0,-999.0,0.0,22400.0,-10.0,-10.0,-10.0,4.2517014369368535,14.34422779083252,8.379280090332031,10.71450901031494,5.798164367675781,5811.54296875,264.41796875,235.56228637695312,6.464499473571777,7.128211975097656,3114.6533203125,284.10614013671875,231.81228637695312,2.711923599243164,4.98883056640625,1487.638671875,284.6894226074219,264.43728637695307,0.08927536010742188,6.0336761474609375,284.780517578125,273.5238647460937,-4.8115806579589835,4.227956771850587,286.1396484375,276.77381896972656,-1.2324237823486328,-0.28598976135253906,0.0,-0.011486053466796877,-0.016165733337402344,101373.0,121.083251953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.152894973754883,0.4660472869873047,97930.0,304.7140045166016,279.46200561523443,0.0,54.7,0.0,0.0,0.0,0.0,280.37124633789057,282.0543212890625,0.005220000000000001,277.24978637695307,72.7,-1.4615135192871094,-0.34341907501220703,1.5050073601305485,-1.4615135192871094,-0.34341907501220703,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3285,0.04,-3.0,1.0,56.0,13.0,21.5,0.0,0.0,6.956045150756836,0.0,0.0,30.125,30.125,--,--,11011.981231689453,--,12705.109878540039,246.1,0.0,267.90000000000003,0.0,304.451416015625,0.0,0.0,0.0,100.0,83.60000000000002,3.06754207611084,-2.645437240600586,0.7911548614501953,7.055805206298827,11.173177719116213,5.730484008789063,4558.56,3.0,58700.0,4560.0,3.0,58600.0,6000.0,7590.0,14.9,0.0
5,0,2019,10,19,-10.0,-999.0,0.0,20500.0,-10.0,-10.0,-10.0,4.429033823311329,13.769757270812988,11.73482894897461,9.919655323028564,8.272308349609375,5805.048828125,263.90560913085943,235.31228637695312,7.055013656616211,8.709526062011719,3111.27783203125,284.00213623046875,194.56228637695312,2.7262678146362305,4.649267196655273,1484.790771484375,284.4908447265625,264.62478637695307,1.2035064697265625,5.654224395751952,284.7119140625,274.06396484375,-4.3548583984375,4.0485572814941415,285.161376953125,277.0671539306641,-1.2518367767333984,-0.023569107055664062,0.0,0.02952241897583008,-0.01054668426513672,101351.0,119.04419326782228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6789798736572275,1.5047492980957031,97910.0,304.7140045166016,278.9853515625,0.0,55.1,0.0,0.0,0.0,0.0,279.72381591796875,281.42349243164057,0.0051600000000000005,277.12478637695307,76.2,-1.4381065368652344,0.050148963928222656,1.4395349039696157,-1.4381065368652344,0.050148963928222656,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3285,0.04,-3.0,1.0,55.0,13.0,21.6,0.0,0.0,6.975400507450104,0.0,0.0,65.5,65.5,--,--,10345.548503875732,--,12340.077072143555,248.9,0.0,266.3,0.0,302.19561767578125,0.0,0.0,0.0,98.0,80.80000000000003,3.782882690429688,-2.03726577758789,2.07156753540039,6.478445053100586,11.323466300964355,6.856048583984375,4503.84,3.0,59000.0,4500.0,3.0,59000.0,5900.0,7530.0,14.1,0.0
6,0,2019,10,19,-10.0,-999.0,0.0,19100.0,-10.0,-10.0,-10.0,4.85163602232933,13.725319385528564,11.28961944580078,7.801246166229247,8.307151794433594,5800.1767578125,263.653564453125,234.18728637695312,6.527383804321289,8.54437255859375,3109.16650390625,283.73089599609375,192.93728637695312,1.3016700744628906,4.375120162963866,1484.4530029296875,284.63604736328125,264.43728637695307,2.0529041290283203,5.950908660888673,284.906982421875,273.50460815429693,-4.691986083984375,4.950035095214844,284.2896423339844,277.240951538086,-1.1878738403320312,0.2473316192626953,0.0,0.007005691528320313,0.010123491287231444,101348.0,118.65229415893556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.960437774658202,2.59781265258789,97900.0,304.7140045166016,278.60415649414057,0.0,55.40000000000001,0.0,0.0,0.0,0.0,279.20657348632807,280.93362426757807,0.0051,276.93728637695307,78.7,-1.194051742553711,0.5219364166259766,1.3168298383243382,-1.194051742553711,0.5219364166259766,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3285,0.03,-2.0,1.0,45.0,13.0,22.0,0.0,0.0,6.93954861164093,0.0,0.0,57.125,57.125,--,--,9761.67331314087,--,12634.820343017578,231.6,0.0,271.5,0.0,300.51368713378906,0.0,0.0,0.0,96.0,88.30000000000004,2.930240631103516,-1.6293830871582031,3.0428009033203125,6.232860565185548,11.479743957519533,5.953163146972656,4459.36,2.0,59400.0,4460.0,2.0,59300.0,5860.0,7490.0,14.1,0.0
7,0,2019,10,19,-10.0,-999.0,0.0,17700.0,-10.0,-10.0,-10.0,5.150379905477166,15.176167964935305,12.78192901611328,8.307835578918457,7.564041137695312,5796.482421875,263.6514892578125,233.39111328125,6.444263458251952,8.749946594238281,3106.3056640625,283.5872497558594,192.12478637695312,1.666015625,5.614656448364258,1483.4940185546875,284.4397888183594,264.404312133789,2.6151580810546875,5.5760650634765625,284.8459167480469,273.24978637695307,-4.1928138732910165,5.7113685607910165,283.289794921875,277.34664916992193,-1.4588756561279297,-0.0041713714599609375,0.0,-0.02246665954589844,0.009577035903930664,101350.0,118.79060363769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.486459732055664,2.7322235107421875,97910.0,304.7140045166016,277.94570922851557,0.0,55.7,0.0,0.0,0.0,0.0,278.55255126953125,280.23873901367193,0.0049900000000000005,276.58523559570307,81.5,-1.5694694519042969,0.3664913177490233,1.6310698674060404,-1.5694694519042969,0.3664913177490233,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3285,0.04,-2.0,1.0,48.0,13.0,22.8,0.0,0.0,6.92725133895874,0.0,0.0,10.375,10.375,--,--,--,--,--,255.8,0.0,258.90000000000003,0.0,297.78648376464844,0.0,0.0,0.0,117.0,110.1,3.0611972808837886,-1.0291175842285156,4.491067886352539,5.7617130279541025,12.013916015625,5.9767799377441415,4446.72,2.0,59400.0,4450.0,2.0,59300.0,5860.0,7470.0,14.8,0.0
8,0,2019,10,19,-10.0,-999.0,0.0,17100.0,-10.0,-10.0,-10.0,4.780799079686403,14.034413814544678,16.756362915039062,8.748883485794067,9.810470581054688,5793.56591796875,263.34869384765625,231.43728637695312,5.447436332702637,9.593795776367188,3104.04052734375,283.4593811035156,225.43728637695312,0.8891477584838867,6.5306549072265625,1481.4781494140625,284.46832275390625,265.56228637695307,2.151662826538086,5.160127639770508,285.461669921875,274.24978637695307,-2.5634822845458984,5.84630012512207,283.019287109375,277.31228637695307,-1.243377685546875,-0.036891937255859375,0.0,-0.0029892921447753906,-0.022186994552612305,101316.0,115.7535400390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.052350997924805,2.730754852294922,97870.0,304.7140045166016,277.27804565429693,0.0,55.90000000000001,0.0,0.0,0.0,0.0,277.84329223632807,279.6256103515625,0.00485,276.18809509277344,82.60000000000002,-1.3996620178222656,0.3757333755493164,1.4398402150254697,-1.3996620178222656,0.3757333755493164,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3285,0.04,-2.0,0.0,49.0,13.0,23.1,0.0,0.0,7.6656761169433585,0.0,0.0,13.625,13.625,--,--,--,--,--,254.7,0.0,260.3,0.0,294.8388671875,0.0,0.0,0.0,103.0,102.7,3.689764976501465,-0.2205142974853516,4.394451141357422,4.6900978088378915,10.453479766845703,6.681835174560548,4446.72,3.0,59400.0,4450.0,3.0,59300.0,5810.0,7350.0,14.2,0.0
9,0,2019,10,19,-10.0,-999.0,0.0,18200.0,-10.0,-10.0,-10.0,4.559231050312518,10.93657112121582,12.496910095214846,6.540363788604736,13.681632995605467,5788.69482421875,263.7011108398437,229.24978637695312,4.0408239364624015,9.117546081542967,3098.71142578125,282.94378662109375,234.62478637695312,0.9632282257080078,6.326957702636719,1479.505615234375,284.31121826171875,265.49978637695307,2.4051246643066406,4.345846176147462,286.28558349609375,273.6681060791016,-1.1556167602539062,4.9015464782714835,282.90966796875,276.77137756347656,-1.2404823303222656,-0.5071439743041992,0.0,-0.013180255889892578,0.0008146762847900393,101291.0,113.32056427001952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.605327606201172,1.9264049530029297,97830.0,304.7140045166016,277.1755523681641,0.0,56.2,0.0,0.0,0.0,0.0,277.8582763671875,279.6181640625,0.004750000000000001,275.93728637695307,80.30000000000003,-1.467386245727539,-0.05491447448730469,1.4419057206250727,-1.467386245727539,-0.05491447448730469,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3285,0.04,-2.0,1.0,38.0,13.0,23.6,0.0,0.0,7.7493038177490225,0.0,14.0,33.125,33.125,--,--,--,--,--,253.4,0.0,260.40000000000003,0.0,294.6737060546875,0.0,0.0,0.0,84.0,87.10000000000002,4.991369247436523,-0.12598228454589844,4.2287445068359375,4.096611022949219,8.24957275390625,7.625152587890625,4438.08,3.0,59400.0,4440.0,3.0,59400.0,5850.0,7330.0,14.5,0.0
