Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2019,10,21,-10.0,-999.0,0.0,19200.0,-10.0,-10.0,-10.0,4.1455674953758725,53.017991065979004,27.23790740966797,46.12088012695313,17.309700012207028,5758.236328125,261.7724609375,235.93728637695312,12.803445816040039,1.3649520874023438,3089.301513671875,277.90878295898443,262.74978637695307,8.473621368408201,5.541919708251953,1489.757568359375,283.5858154296875,280.76336669921875,2.215316772460937,3.401580810546875,289.26849365234375,283.8059997558594,-1.5594406127929688,3.5372886657714844,293.33642578125,288.1907043457031,-1.512311935424805,0.8588371276855469,0.0,0.011603355407714844,0.021902799606323242,101252.0,108.17922973632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6512794494628915,4.0555763244628915,98760.0,216.4952545166016,291.04400634765625,0.0,11.9,0.0,0.0,0.0,0.0,291.26031494140625,292.2945251464844,0.01031,287.417724609375,76.80000000000003,-1.0913286209106443,0.6483440399169922,1.2519996571354568,-1.0913286209106443,0.6483440399169922,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2177,0.05,-1.0,0.0,50.0,14.0,3.2,0.0,-21.0,22.071782886981964,0.0,0.0,0.0,0.0,--,--,--,--,--,280.0,0.0,331.2000000000001,0.0,374.4543151855469,0.0,0.0,0.0,67.0,39.2,1.932710647583008,-4.158851623535156,2.623035430908203,2.513483047485352,17.217670440673828,-2.589683532714844,4132.6754931640635,7.0,61600.0,4130.0,7.0,61500.0,5580.0,6800.0,2.7,0.0
1,0,2019,10,21,-10.0,-999.0,0.0,16600.0,-10.0,-10.0,-10.0,5.286824859678745,52.07813549041748,28.21415710449219,45.49609184265137,17.96379852294922,5766.0361328125,261.91287231445307,237.06228637695312,13.728835105895994,3.782684326171875,3094.8388671875,277.64218139648443,265.12478637695307,7.395444869995117,5.549079895019531,1494.401611328125,283.6669921875,281.8995056152344,2.177452087402344,2.6590824127197266,288.7550354003906,284.9725036621094,-1.1019783020019531,5.6909427642822275,291.9027099609375,288.2596740722656,-0.8664169311523438,1.6333751678466797,0.0,-0.014553546905517578,-0.01708197593688965,101327.0,114.59113693237305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.665002822875977,6.6135501861572275,98840.0,216.4952545166016,289.9309844970703,0.0,12.0,0.0,0.0,0.0,0.0,290.13893127441406,291.1295471191406,0.01034,287.4813537597656,82.60000000000002,-0.3930540084838867,1.301105499267578,1.378545820945874,-0.3930540084838867,1.301105499267578,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162,0.05,-1.0,0.0,40.0,14.0,4.0,0.0,0.0,23.533313751220703,0.0,0.0,0.0,0.0,--,--,--,--,--,279.3,0.0,330.2000000000001,0.0,368.4660339355469,0.0,0.0,0.0,50.0,27.0,2.1622905731201167,-2.9265670776367188,1.5877113342285156,1.518388748168945,16.645626068115234,-2.894134521484375,4211.84,11.0,61000.0,4210.0,11.0,60900.0,5610.0,6820.0,2.9000000000000004,0.0
2,0,2019,10,21,-10.0,-999.0,0.0,16000.0,-10.0,-10.0,-10.0,4.983534682542086,49.43666744232178,29.14005279541016,42.513296127319336,18.053688049316406,5768.892578125,262.15074157714844,234.37478637695312,13.158557891845705,5.637168884277344,3096.26953125,277.1278076171875,265.81228637695307,6.683494567871094,6.4817543029785165,1496.3978271484375,284.1589660644531,279.48348999023443,0.5987758636474609,1.9258041381835933,287.9825134277344,284.4361572265625,0.472921371459961,5.9841060638427725,291.3913879394531,287.7225036621094,-1.137554168701172,1.7276973724365234,0.0,0.014531612396240234,0.03072524070739746,101378.0,118.87500190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.684774398803711,6.333972930908202,98890.0,216.4952545166016,289.3455047607422,0.0,12.0,0.0,0.0,0.0,0.0,289.59324645996094,290.5122985839844,0.01009,287.1247863769531,84.2,-1.042276382446289,1.431447982788086,1.7528915009461343,-1.042276382446289,1.431447982788086,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162,0.09,-3.0,1.0,50.0,14.0,5.1000000000000005,0.0,0.0,22.231548488140106,0.0,0.0,0.0,0.0,--,--,--,--,--,277.5,0.0,325.0,0.0,365.7181091308594,0.0,0.0,0.0,88.0,47.0,3.0965490341186523,-2.545604705810547,1.467937469482422,1.1828842163085938,15.596881866455078,-0.42828369140625,4344.16,6.0,60000.0,4340.0,6.0,59900.0,5630.0,6880.0,4.2,0.0
3,0,2019,10,21,-10.0,-999.0,0.0,15200.0,-10.0,-10.0,-10.0,4.975153986364604,49.53570556640625,31.063003540039066,41.58784675598145,17.86510467529297,5776.8447265625,262.7034454345703,238.62478637695312,12.76247787475586,9.007678985595703,3099.594970703125,277.4725341796875,261.93728637695307,6.043315887451173,6.876510620117188,1499.5924072265625,285.04656982421875,278.7196502685547,-0.8535041809082031,2.714515686035156,287.907958984375,284.7437896728516,0.1679401397705078,5.093639373779297,291.25933837890625,287.6397857666016,-1.2771949768066406,1.55206298828125,0.0,0.015584945678710938,0.006793975830078125,101403.0,121.0500431060791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.809608459472656,6.482847213745117,98910.0,216.4952545166016,288.6172180175781,0.0,12.1,0.0,0.0,0.0,0.0,288.9400939941406,289.8673400878906,0.00995,286.9372863769531,86.30000000000004,-1.1269283294677734,1.2515544891357422,1.689631205284968,-1.1269283294677734,1.2515544891357422,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162,0.08,-3.0,0.0,50.0,14.0,6.3000000000000025,0.0,0.0,22.87501406669617,0.0,0.0,0.0,0.0,--,--,--,--,--,274.7,0.0,324.1,0.0,362.0447540283203,0.0,0.0,0.0,100.0,35.0,4.1532535552978525,-1.7479629516601562,0.18097686767578125,1.1080894470214844,15.005386352539062,2.6432876586914062,4337.440000000001,19.0,60100.0,4340.0,19.0,60000.0,5720.0,6890.0,4.5,0.0
4,0,2019,10,21,-10.0,-999.0,0.0,13600.0,-10.0,-10.0,-10.0,4.1784882955253115,49.68538475036621,32.089881896972656,39.46271896362305,18.44493865966797,5769.55078125,261.78103637695307,234.24978637695312,10.97186279296875,8.922733306884766,3095.275390625,277.85989379882807,260.93728637695307,6.8048248291015625,7.729804992675781,1496.168212890625,285.1307067871094,278.57383728027344,-1.7848148345947266,4.2895469665527335,287.48785400390625,284.51698303222656,-1.3350601196289062,3.385326385498047,290.6982421875,287.8062438964844,-0.9500503540039062,0.93505859375,0.0,-0.012956619262695312,0.014624595642089844,101375.0,118.75711059570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.179828643798828,5.7713584899902335,98890.0,216.4952545166016,287.71978759765625,0.0,12.2,0.0,0.0,0.0,0.0,287.93836975097656,288.8304748535156,0.00989,286.81764221191406,90.6,-0.7373600006103516,0.6551189422607422,0.9387418802361936,-0.7373600006103516,0.6551189422607422,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162,0.03,-1.0,0.0,50.0,14.0,6.1000000000000005,0.0,0.0,22.197928339242935,0.0,0.0,0.0,0.0,--,--,--,--,--,275.3,0.0,321.8,0.0,357.37635803222656,0.0,0.0,0.0,110.0,10.0,4.917734146118164,-1.6199798583984375,-1.8859882354736328,1.7383384704589844,13.111886978149414,4.333580017089844,4331.04,7.0,60100.0,4330.0,7.0,60000.0,5600.0,6840.0,4.1000000000000005,0.0
5,0,2019,10,21,-10.0,-999.0,0.0,13100.0,-10.0,-10.0,-10.0,3.523598087951541,51.610934257507324,32.709228515625,39.60281372070313,20.799781799316406,5769.96484375,261.6864624023437,232.18728637695312,9.043291091918944,10.472740173339844,3095.480224609375,278.4832763671875,259.06228637695307,7.182760238647461,7.962673187255857,1494.2431640625,285.55303955078125,278.81228637695307,-1.0641555786132812,4.867443084716797,287.3719787597656,285.16505432128906,-2.3503856658935547,2.795825958251953,290.18267822265625,287.77825927734375,-0.9020500183105468,1.040802001953125,0.0,0.018720626831054688,-0.02641153335571289,101347.0,116.68440246582031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.756023406982422,4.834478378295898,98870.0,216.4952545166016,286.953857421875,0.0,12.3,0.0,0.0,0.0,0.0,287.19166564941406,288.1475524902344,0.00963,286.3836669921875,92.1,-0.5595760345458984,0.7677345275878906,1.002801758935675,-0.5595760345458984,0.7677345275878906,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162,0.03,-1.0,0.0,50.0,14.0,6.8000000000000025,0.0,0.0,21.991858512163162,0.0,0.0,0.0,0.0,--,--,--,--,--,275.40000000000003,0.0,320.4000000000001,0.0,353.49192810058594,0.0,0.0,0.0,112.0,2.0,6.458615303039551,-0.6342658996582031,-2.4461956024169917,1.711444854736328,10.828807830810547,6.929664611816406,4306.4,6.0,60300.0,4310.0,6.0,60200.0,5590.0,6820.0,3.4000000000000004,0.0
6,0,2019,10,21,-10.0,-999.0,0.0,12500.0,-10.0,-10.0,-10.0,3.9243247807025914,53.43065643310547,33.52276611328125,42.63816642761231,21.97006225585937,5761.80859375,261.6572723388672,229.18728637695312,6.909865379333496,13.07235336303711,3089.732421875,278.7908935546875,254.24978637695312,6.6220741271972665,8.595855712890625,1487.549560546875,285.64215087890625,276.99978637695307,-2.9315643310546875,5.593223571777344,286.8543395996094,284.9173583984375,-5.078155517578125,3.2086753845214844,289.2799072265625,287.59222412109375,-1.3082942962646484,0.7912960052490234,0.0,-0.02084922790527344,-0.01855182647705078,101286.0,111.4594497680664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.116138458251953,4.552391052246094,98810.0,216.4952545166016,286.5579376220703,0.0,12.4,0.0,0.0,0.0,0.0,286.7008819580078,287.70989990234375,0.009370000000000002,286.01416015625,94.0,-1.187543869018555,0.5633220672607422,1.3137130616232753,-1.187543869018555,0.5633220672607422,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162,0.06,-1.0,0.0,40.0,14.0,7.7,0.0,0.0,19.918081820011142,0.0,0.0,4.5,4.5,--,--,--,--,--,274.90000000000003,0.0,314.3,0.0,351.8282470703125,0.0,0.0,0.0,125.0,3.0,5.723543167114258,1.0161514282226562,-4.0656681060791025,2.8954734802246094,10.579391479492188,9.7135009765625,4236.16,5.0,60800.0,4240.0,5.0,60700.0,5570.0,6830.0,3.4000000000000004,0.0
7,0,2019,10,21,-10.0,-999.0,0.0,12900.0,-10.0,-10.0,-10.0,4.275685988366603,53.63578128814697,30.303001403808594,43.49781608581543,21.518775939941406,5759.4853515625,261.7893524169922,229.62478637695312,7.399681091308594,13.807723999023438,3087.689453125,279.6251220703125,248.93728637695312,6.414461135864258,8.476558685302733,1481.857177734375,286.39227294921875,273.62478637695307,-3.6962375640869136,6.864433288574219,287.15313720703125,283.9354248046875,-6.621604919433594,4.694549560546875,288.8612365722656,287.5609436035156,-1.2152557373046875,0.8481216430664062,0.0,0.009209632873535156,0.014613628387451172,101198.0,104.17501831054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.041900634765625,4.689397811889648,98730.0,216.4952545166016,286.8280944824219,0.0,12.6,0.0,0.0,0.0,0.0,286.849609375,287.90057373046875,0.00927,285.8346405029297,92.7,-0.7731151580810547,0.4223117828369141,0.8764911351026967,-0.7731151580810547,0.4223117828369141,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162,0.02,0.0,0.0,10.0,14.0,7.9,0.0,0.0,18.276694178581238,0.625,0.0,66.5,66.5,--,--,10806.378757476807,--,11203.652076721191,271.2,0.0,310.7000000000001,0.0,353.01922607421875,0.0,0.0,0.0,135.0,17.0,4.39501953125,1.370258331298828,-5.8455238342285165,5.1204490661621085,12.25910758972168,9.475433349609377,4207.04,6.0,61000.0,4210.0,6.0,60900.0,5570.0,6910.0,3.5,0.0
8,0,2019,10,21,-10.0,-999.0,0.0,12500.0,-10.0,-10.0,-10.0,4.4591634906828395,48.34768486022949,27.54894256591797,39.91217422485352,19.53936004638672,5751.9814453125,261.8861846923828,235.56228637695312,9.008256912231444,13.63225555419922,3082.052734375,279.90740966796875,248.31228637695312,6.362833023071289,9.557090759277344,1474.5076904296875,286.8893127441406,272.66482543945307,-2.449737548828125,7.9736328125,286.674072265625,284.69813537597656,-7.725780487060548,7.3863887786865225,288.0936584472656,287.20672607421875,-1.5441055297851562,1.2108116149902344,0.0,0.025909423828125,0.00911092758178711,101129.0,98.24852752685548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.26422119140625,4.839941024780273,98670.0,216.4952545166016,285.9276123046875,0.0,12.8,0.0,0.0,0.0,0.0,286.06153869628906,287.2044677734375,0.00907,285.4707336425781,94.1,-0.9134159088134766,0.5645275115966797,1.0646359866950659,-0.9134159088134766,0.5645275115966797,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162,0.03,0.0,0.0,20.0,14.0,8.700000000000001,0.0,0.0,18.974641919136047,2.5,0.0,85.25,85.25,--,--,8760.749084472656,--,11238.712310791016,263.40000000000003,0.0,310.1,0.0,348.7964630126953,0.0,0.0,0.0,143.0,37.0,3.5822486877441406,1.957725524902344,-4.963302612304688,7.145729064941406,14.626602172851562,8.507820129394531,4150.08,7.0,61400.0,4150.0,7.0,61300.0,5560.0,6930.0,4.3,0.0
9,0,2019,10,21,-10.0,-999.0,0.0,12800.0,-10.0,-10.0,-10.0,5.840146569535136,44.70022010803223,22.23822021484375,37.54291915893555,17.056732177734375,5751.85791015625,262.40830993652344,241.18728637695312,14.20637321472168,13.367042541503904,3079.77685546875,279.96368408203125,249.68728637695312,7.58636474609375,10.23383331298828,1471.08056640625,287.2447204589844,272.81228637695307,-0.5554389953613281,8.222042083740233,287.20233154296875,282.35595703125,-6.217155456542969,10.449481964111328,287.7351379394531,286.6319274902344,-1.6288986206054688,1.9290084838867188,0.0,0.02238941192626953,-0.0128173828125,101083.0,94.30043411254884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5508098602294917,4.674978256225586,98620.0,216.4952545166016,286.4530792236328,0.0,12.9,0.0,0.0,0.0,0.0,286.44065856933594,287.5992431640625,0.009009999999999999,285.38299560546875,93.1,-1.1060142517089844,1.245708465576172,1.6895284357015043,-1.1060142517089844,1.245708465576172,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162,0.09,0.0,1.0,-10.0,14.0,9.3,0.0,0.0,17.475537300109867,39.0,1.875,100.0,100.0,29100.0,9675.770029067993,8237.621837615967,24100.0,12565.240295410156,216.6,0.0,317.3,0.0,351.2825012207031,0.0,0.0,0.0,153.0,55.0,4.093000411987306,2.19655990600586,-1.8397750854492188,6.710071563720702,19.5228214263916,7.137420654296875,4146.88,9.0,61500.0,4150.0,9.0,61300.0,5640.0,6970.0,6.1000000000000005,0.0
