Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2020,7,22,-10.0,-999.0,0.0,20300.0,-10.0,-10.0,-10.0,2.7016392424702644,9.054468154907227,-0.7675056457519531,7.867654800415039,2.3206615447998047,5904.310546875,265.916748046875,253.18728637695312,9.30073356628418,5.941962242126465,3205.832275390625,282.0286865234375,275.06228637695307,3.113710403442384,5.0005760192871085,1565.4569091796875,292.0995178222656,289.4756164550781,2.9800090789794917,0.9801225662231444,298.8277893066406,292.7229309082031,1.2430648803710938,1.3178977966308594,304.50628662109375,297.2931823730469,-0.0692138671875,1.5558853149414062,0.0,-0.020300865173339844,0.002129197120666504,101520.0,133.11208629608154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10250473022460938,2.6957321166992188,99330.0,192.7765045166016,302.2259521484375,0.0,76.9,0.0,0.0,0.0,0.0,302.61602783203125,303.1924743652344,0.02136,299.17864990234375,78.5,-0.3000602722167969,1.6258831024169922,1.689270992181264,-0.3000602722167969,1.6258831024169922,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7649,0.05,0.0,10.0,-50.0,4.0,-10.8,4740.0,-10.0,45.93395686149597,0.0,0.0,0.0,0.0,--,--,--,--,--,280.8,118.7,421.3,18.75,439.9896545410156,480.0,35.4,45.0,22.9,10.3,6.09722900390625,-3.7343063354492174,2.438270568847656,-0.7915363311767578,9.44675064086914,4.003883361816406,4594.4490625,60.0,59100.0,4590.0,60.0,59000.0,6420.0,8080.0,-9.0,3570.0
1,0,2020,7,22,-10.0,-999.0,0.0,21900.0,-10.0,-10.0,-10.0,3.2211595587432384,10.742307662963867,0.31150245666503906,9.279603958129883,0.8914203643798828,5903.109375,265.38409423828125,248.93728637695312,9.660828590393066,4.976885795593262,3207.04345703125,282.0968933105469,274.43728637695307,1.9219865798950195,4.802968978881836,1566.089111328125,292.2655334472656,288.8682098388672,0.8060588836669922,1.2493534088134766,298.7630920410156,292.81744384765625,-0.096588134765625,2.6270713806152344,304.21221923828125,296.1084899902344,0.6924533843994141,1.5662078857421875,0.0,0.02736759185791016,0.010676860809326172,101535.0,134.50940132141113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867385864257812,3.5272006988525386,99350.0,192.7765045166016,300.2749938964844,0.0,76.60000000000002,0.0,0.0,0.0,0.0,301.04010009765625,301.6289978027344,0.01896,297.23448181152344,73.3,0.6974754333496094,1.894266128540039,2.0678161918185647,0.6974754333496094,1.894266128540039,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7649,0.06,0.0,0.0,-20.0,4.0,-9.1,3330.0,-20.0,43.4424352645874,0.0,0.0,0.0,0.0,--,--,--,--,--,281.40000000000003,0.0,416.20000000000016,0.0,428.8141479492188,0.0,0.0,0.0,17.0,-9.2,3.82977294921875,-3.822986602783203,-0.7421474456787109,-0.5904769897460938,9.264362335205078,1.848520278930664,4580.178281250001,50.0,59200.0,4580.0,50.0,59100.0,6360.0,8110.0,-8.200000000000001,2690.0
2,0,2020,7,22,-10.0,-999.0,0.0,20600.0,-10.0,-10.0,-10.0,5.239345654845239,10.970060348510742,1.2635211944580078,8.081413269042969,1.3682498931884766,5904.0771484375,265.33404541015625,253.56228637695312,9.906974792480467,5.827040672302246,3207.56640625,282.0762939453125,275.49978637695307,2.9532604217529297,5.914355278015138,1565.8623046875,293.181884765625,285.30262756347656,2.484546661376953,5.462383270263672,297.90997314453125,292.55792236328125,2.402992248535156,5.538238525390625,302.71112060546875,295.55694580078125,0.7706470489501953,2.39334487915039,0.0,-0.010632038116455078,-0.01578998565673828,101569.0,137.21676731109622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.677501678466797,6.17926025390625,99380.0,192.7765045166016,299.0874938964844,0.0,76.5,0.0,0.0,0.0,0.0,300.1786804199219,300.75360107421875,0.0178,296.1997375488281,75.0,0.99908447265625,3.0307712554931636,3.1930117979645734,0.99908447265625,3.0307712554931636,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7649,0.2,-28.0,28.0,20.0,4.0,-7.7,2170.0,-50.0,42.323754072189324,0.0,0.625,9.125,9.125,--,--,--,--,--,279.90000000000003,0.0,406.3,0.0,421.773193359375,0.0,0.0,0.0,22.0,12.4,3.6761436462402335,-1.671613693237305,1.0668220520019531,1.085362434387207,6.817514419555664,-0.4086875915527344,4593.95625,47.0,59100.0,4590.0,47.0,59000.0,6360.0,8240.0,-7.0,1780.0
3,0,2020,7,22,-4.3125,-999.0,0.004,18900.0,-10.0,-10.0,-5.5625,4.965503841638566,11.197921752929688,2.150718688964844,8.553319931030272,2.2776031494140625,5910.4267578125,266.5946655273437,264.93728637695307,8.207693099975586,4.6099815368652335,3209.57666015625,282.5045166015625,274.74978637695307,3.1356258392333984,5.7351627349853525,1566.5277099609375,293.3282470703125,284.7497863769531,3.833351135253906,7.2529850006103525,298.4842224121094,290.6247863769531,1.8218460083007808,6.247575759887695,300.6322326660156,295.1872863769531,1.1599998474121094,1.181610107421875,0.0,0.018970489501953125,0.017607688903808594,101588.0,139.1514439582825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.711431503295898,4.626808166503906,99380.0,192.7765045166016,298.21868896484375,0.0,76.2,0.0,0.0,0.0,0.0,298.82354736328125,299.4008483886719,0.017269999999999997,295.6872863769531,78.80000000000003,1.1523475646972656,1.4209518432617188,1.8761934017529711,1.1523475646972656,1.4209518432617188,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7649,0.07,-5.0,6.0,40.0,4.0,-5.0,1270.0,-100.0,46.602147579193115,0.0,0.0,4.5,4.5,52700.0,5504.062021255493,--,35700.0,--,264.2,0.0,398.4,0.0,417.1492614746094,0.0,0.0,0.0,10.0,8.6,4.733604431152344,-2.1202640533447266,1.846830368041992,5.325153350830078,4.845542907714844,0.3465766906738281,4552.565625,79.0,59400.0,4550.0,79.0,59300.0,6610.0,8260.0,-4.2,860.0
4,0,2020,7,22,-10.0,-999.0,0.0,19100.0,-10.0,-10.0,-10.0,5.416183143854141,11.62519645690918,2.175342559814453,8.329019546508789,2.0210208892822266,5909.609375,266.15594482421875,261.06228637695307,7.95639705657959,5.734752655029298,3213.1884765625,281.56549072265625,277.31228637695307,3.6132078170776367,5.117980003356934,1572.1064453125,293.4476623535156,285.8747863769531,4.6614036560058585,7.104379653930664,298.76983642578125,289.2497863769531,2.68459701538086,6.7943267822265625,300.073486328125,293.9372863769531,-0.044320106506347656,1.2266864776611328,0.0,-0.037868499755859375,0.01787400245666504,101652.0,144.37662220001218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.717418670654297,4.498495101928711,99440.0,192.7765045166016,297.8575134277344,0.0,76.10000000000002,0.0,0.0,0.0,0.0,298.4480285644531,298.9002685546875,0.016640000000000002,295.1247863769531,78.5,0.08105754852294922,1.8015098571777344,1.8152589406818151,0.08105754852294922,1.8015098571777344,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7649,0.08,-7.0,10.0,71.0,4.0,-4.4,930.0,-150.0,46.32958817481994,0.0,0.0,1.375,1.375,--,--,--,--,--,272.90000000000003,0.0,397.6,0.0,414.953125,0.0,0.0,0.0,36.0,45.90000000000001,5.452526092529297,-1.8611259460449217,4.350217819213866,5.589014053344727,6.2683868408203125,1.242229461669922,4481.9140625,86.0,59900.0,4480.0,86.0,59900.0,6530.0,8230.0,-3.9,720.0
5,0,2020,7,22,41.5625,9235.8,0.418,18500.0,-10.0,-10.0,-10.0,5.033050224184991,11.40622329711914,-0.37593841552734375,9.51462173461914,0.5544681549072266,5910.7001953125,267.06625366210943,254.87478637695312,9.195024490356444,4.905275344848633,3209.75,281.103271484375,278.43728637695307,5.084692001342773,5.125690460205078,1571.751708984375,292.6659240722656,286.9997863769531,6.6496543884277335,8.423872947692871,298.1454162597656,290.1247863769531,3.0634555816650386,9.35379409790039,299.5540771484375,293.9372863769531,-0.5583648681640625,1.87104606628418,0.0,-0.0242915153503418,-0.03112101554870605,101682.0,146.81856346130368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1784687042236328,6.451934814453125,99480.0,192.7765045166016,297.4058532714844,0.0,75.9,0.0,0.0,0.0,0.0,298.1392517089844,298.6294860839844,0.01627,294.7497863769531,79.10000000000002,-0.7066078186035156,2.376034736633301,2.4408951259683818,-0.7066078186035156,2.376034736633301,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7646000000000001,0.17,-18.0,22.0,89.0,4.0,-3.1,590.0,-139.0,46.94603407382965,0.0,0.0,14.25,14.25,41500.0,7349.718288421631,--,29100.0,--,185.8,0.0,415.1,0.0,412.5466003417969,0.0,0.0,0.0,107.0,85.7,2.8991947174072266,-0.68389892578125,6.680133819580077,7.190969467163086,8.852153778076172,-2.222984313964844,4598.4312500000015,68.0,59100.0,4600.0,68.0,59000.0,6590.0,8300.0,-2.3000000000000003,360.0
6,0,2020,7,22,-10.0,-999.0,0.0,17600.0,-10.0,-10.0,-10.0,4.178755324333906,8.087982177734375,-1.845890045166016,7.6518592834472665,0.056850433349609375,5908.7880859375,267.4931640625,251.18728637695312,9.81556510925293,6.086522102355957,3204.041748046875,281.6941833496094,277.74978637695307,4.657905578613281,4.398218154907227,1566.49169921875,292.3563232421875,286.5622863769531,7.260875701904298,5.329923629760742,296.8448486328125,289.9068298339844,2.8075084686279297,7.089134216308594,299.2360534667969,294.3485870361328,1.295940399169922,-1.447408676147461,0.0,-0.002289772033691407,0.028639793395996094,101675.0,146.90913486480713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4450435638427734,2.3222827911376958,99480.0,192.7765045166016,297.0111083984375,0.0,75.9,0.0,0.0,0.0,0.0,297.50872802734375,297.9454345703125,0.016460000000000002,294.9372863769531,81.30000000000003,1.2154312133789062,-0.6610212326049805,1.3771532229147851,1.2154312133789062,-0.6610212326049805,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7646000000000001,0.05,-3.0,2.0,105.0,4.0,-2.6,530.0,-90.0,45.06622874736786,30.375,0.0,0.875,30.375,87600.0,1311.5975017547607,1072.2344055175781,87600.0,1598.4268188476562,275.1,0.0,399.9,0.0,410.23345947265625,0.0,0.0,0.0,77.2,71.2,6.678852081298827,-2.32880973815918,3.746484756469727,6.966178894042969,9.050556182861328,2.2228355407714844,4739.9890625,38.0,58000.0,4740.0,38.0,57900.0,6590.0,8310.0,-2.5,510.0
7,0,2020,7,22,-10.0,-999.0,0.0,16600.0,-10.0,-10.0,-10.0,1.2833251133561134,6.115407943725586,-1.6879425048828125,6.6626529693603525,2.58489990234375,5904.88623046875,267.22384643554693,255.31228637695312,11.003145217895508,6.28563117980957,3201.24951171875,281.82562255859375,276.87478637695307,5.198833465576172,7.247995376586914,1562.38134765625,292.22564697265625,286.9372863769531,5.213048934936523,5.33131217956543,296.6525573730469,290.9440155029297,2.349796295166016,4.98676872253418,298.1066589355469,294.31134033203125,-0.3536529541015625,-1.5063228607177734,0.0,-0.002451896667480469,-0.011327028274536131,101640.0,143.75834369659427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15282821655273438,-0.6548786163330078,99440.0,192.7765045166016,296.4271545410156,0.0,75.7,0.0,0.0,0.0,0.0,296.8023376464844,297.3012390136719,0.016069999999999997,294.5204772949219,83.7,-0.5081596374511719,-1.1810483932495115,1.3147523158695549,-0.5081596374511719,-1.1810483932495115,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7646000000000001,0.04,-1.0,1.0,56.0,4.0,-2.0,330.0,-145.0,46.101019620895386,0.0,0.0,10.375,10.375,--,--,--,--,--,272.3,0.0,391.4,0.0,407.2861328125,0.0,0.0,0.0,80.4,68.10000000000001,7.3159332275390625,-2.0055522918701167,4.377357482910156,6.606565475463867,10.932659149169922,4.533424377441406,4695.9284375,49.0,58300.0,4700.0,49.0,58200.0,6570.0,8210.0,-2.3000000000000003,410.0
8,0,2020,7,22,-10.0,-999.0,0.0,15200.0,-10.0,-10.0,-10.0,0.5798042695969343,5.705543518066406,-2.4208297729492188,6.070230484008789,3.807783126831055,5902.75537109375,267.04129028320307,253.99978637695312,10.50915813446045,4.906072616577148,3198.088623046875,282.44915771484375,275.49978637695307,6.7848472595214835,7.313383102416992,1557.8638916015625,291.8905944824219,287.6247863769531,5.613075256347656,4.9887351989746085,296.66046142578125,290.9372863769531,3.913402557373047,5.536455154418945,297.3157958984375,294.3122863769531,-0.2548427581787109,-0.05320930480957031,0.0,0.01371479034423828,0.010850191116333008,101598.0,140.52652359008792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2259349822998047,-0.170989990234375,99410.0,192.7765045166016,296.0814514160156,0.0,75.5,0.0,0.0,0.0,0.0,296.25860595703125,296.796875,0.016030000000000003,294.4997863769531,87.10000000000002,-0.3956460952758789,0.010473251342773438,0.3802129221148789,-0.3956460952758789,0.010473251342773438,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7646000000000001,0.01,0.0,0.0,32.0,4.0,-1.8,230.0,-160.0,46.71066415309906,0.0,3.0,20.375,20.375,--,--,13212.761135101318,--,13590.655906677246,271.90000000000003,0.0,389.70000000000016,0.0,405.1892395019531,0.0,0.0,0.0,88.0,74.9,7.376749038696289,-2.4667224884033203,5.845221519470215,5.1641998291015625,9.773754119873047,3.100940704345703,4683.919375,61.0,58300.0,4680.0,61.0,58300.0,6570.0,8210.0,-2.5,370.0
9,0,2020,7,22,-10.0,-999.0,0.0,14000.0,-10.0,-10.0,-10.0,0.7175411358475685,7.3516578674316415,-1.586944580078125,5.927402496337893,2.452526092529297,5903.087890625,266.80581665039057,253.87478637695312,9.781861305236816,4.459585189819336,3201.559814453125,282.4285888671875,275.06228637695307,7.4332313537597665,5.443796157836914,1560.603271484375,291.6951599121094,288.8747863769531,6.380859375,3.5404815673828125,296.4314270019531,291.0622863769531,5.105226516723633,6.02081298828125,296.3831787109375,294.4372863769531,-0.3109264373779297,-0.5065784454345703,0.0,0.012761116027832031,-0.032120704650878906,101638.0,144.07971572875974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19374847412109367,0.07286453247070312,99450.0,192.7765045166016,295.6361083984375,0.0,75.4,0.0,0.0,0.0,0.0,295.685791015625,296.17315673828125,0.015790000000000002,294.2497863769531,90.2,-0.442448616027832,-0.2591438293457031,0.5004073548479937,-0.442448616027832,-0.2591438293457031,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7646000000000001,0.01,0.0,0.0,40.0,4.0,-1.4,160.0,-220.0,47.78905236721039,0.0,0.0,42.875,42.875,--,--,11299.045070648193,--,11935.086082458496,272.3,0.0,388.8,0.0,402.6920166015625,0.0,0.0,0.0,89.4,82.7,8.431337356567383,-3.1058006286621094,7.099302291870117,4.94926643371582,8.585762023925781,3.4136924743652344,4581.35375,73.0,59100.0,4580.0,73.0,59100.0,6590.0,8250.0,-3.4000000000000004,600.0
