Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2020,7,24,-10.0,-999.0,0.0,16000.0,-10.0,-10.0,-10.0,10.296866282820703,0.2574424743652344,0.3842811584472656,-1.1809368133544922,-0.6480064392089844,5915.912109375,268.6756134033203,261.56228637695307,-6.1770267486572275,2.1129026412963867,3185.77392578125,283.072265625,280.62478637695307,-6.924985885620117,6.285531044006348,1550.830810546875,289.66162109375,287.66319274902344,-6.415374755859375,8.687599182128906,294.3249206542969,292.5150604248047,-10.781268119812012,8.2911376953125,300.0258483886719,296.35914611816406,-7.760629653930664,3.6313743591308594,0.0,-0.015691757202148438,0.001500248908996582,101562.0,136.3787956237793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.718437194824219,2.7915363311767583,101100.0,40.40150451660156,299.7726745605469,0.0,81.10000000000002,0.0,0.0,0.0,0.0,299.94866943359375,299.0515441894531,0.01871,297.2938537597656,84.60000000000002,-4.043476104736328,1.4088163375854492,4.317313427571207,-4.043476104736328,1.4088163375854492,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23199999999999998,0.29,-10.0,83.0,10.0,8.0,-4.2,1730.0,-7.0,58.23897218704224,32.875,0.0,20.875,32.875,--,--,--,--,--,271.2,105.1,414.0,14.75,425.9972229003906,428.0,35.5,40.7,9.0,-43.1,-13.072195053100586,0.4332466125488281,-5.8144283294677725,8.027093887329103,1.5310020446777344,-1.6549720764160156,5141.1503125,66.0,55100.0,5140.0,66.0,55100.0,6810.0,8260.0,-3.9,1480.0
1,0,2020,7,24,-10.0,-999.0,0.0,14800.0,-10.0,-10.0,-10.0,8.918680001050234,2.2453269958496094,0.3708229064941406,-1.1301212310791016,0.9348735809326172,5920.419921875,268.063232421875,262.24978637695307,-4.642414093017578,2.747858047485352,3193.526123046875,282.9146728515625,280.68728637695307,-7.234170913696289,6.0530033111572275,1557.451416015625,290.130859375,287.6872863769531,-6.829294204711914,6.6099281311035165,294.35870361328125,294.1247863769531,-11.198307037353516,6.17060661315918,300.0148620605469,296.3747863769531,-8.092512130737305,2.8549156188964844,0.0,-0.02480363845825196,-0.03486788272857666,101623.0,141.67545986175537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.8157920837402335,1.8165626525878904,101160.0,40.40150451660156,298.5728759765625,0.0,81.10000000000002,0.0,0.0,0.0,0.0,299.1370544433594,298.191162109375,0.018609999999999998,297.2497863769531,87.4,-3.643500328063965,0.7765130996704102,3.75312466151081,-3.643500328063965,0.7765130996704102,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2323,0.23,-20.0,20.0,10.0,8.0,-4.5,1530.0,-17.0,59.9043824672699,83.875,0.0,8.875,83.875,93900.0,699.2966156005859,508.3862838745117,91500.0,1173.4032440185547,267.6,0.0,445.8,0.0,419.1305541992188,0.0,0.0,0.0,16.0,-27.0,-8.067066192626951,-3.0135593414306636,-6.983070373535156,6.031393051147461,3.3824615478515625,-0.09720993041992188,5059.27875,75.0,55700.0,5060.0,75.0,55700.0,6730.0,8290.0,-4.6000000000000005,1560.0
2,0,2020,7,24,-10.0,-999.0,0.0,15100.0,-10.0,-10.0,-10.0,9.982815332710745,3.969537734985352,-0.4357643127441406,-0.5958042144775391,-0.1605072021484375,5920.6982421875,267.8077392578125,263.12478637695307,-4.715137481689453,2.3669757843017583,3193.848876953125,283.36944580078125,279.99978637695307,-7.393196105957031,5.842510223388673,1556.5203857421875,290.34930419921875,286.8594207763672,-6.561623573303223,5.1140336990356445,294.1220397949219,292.62205505371094,-9.168500900268556,6.308261871337893,299.40545654296875,295.971923828125,-7.9882612228393555,2.778060913085937,0.0,-0.04117012023925781,-0.034530043601989746,101634.0,142.41034317016604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0850372314453125,1.6488990783691406,101170.0,40.40150451660156,298.249755859375,0.0,81.30000000000003,0.0,0.0,0.0,0.0,298.7408752441406,297.7650451660156,0.018000000000000002,296.69580078125,86.7,-3.7790203094482417,0.6317005157470703,3.813882797490805,-3.7790203094482417,0.6317005157470703,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2323,0.25,-17.0,30.0,20.0,8.0,-3.8,980.0,-11.0,57.64125466346741,20.625,0.0,19.5,20.625,--,--,--,--,--,270.3,0.0,409.0,0.0,417.1782531738281,0.0,0.0,0.0,3.0,-14.0,-8.984167098999023,-3.11159896850586,-4.3471031188964835,5.92002010345459,3.402896881103516,-0.5941276550292969,5033.379375,79.0,55900.0,5030.0,79.0,55900.0,6700.0,8270.0,-3.9,990.0
3,0,2020,7,24,-10.0,-999.0,0.0,14700.0,-10.0,-10.0,-10.0,9.599822863936424,2.76956558227539,-1.378458023071289,-0.9822978973388672,-1.3343582153320312,5926.29150390625,268.02374267578125,262.87478637695307,-3.4445152282714844,1.8403949737548828,3199.709228515625,283.50335693359375,279.49978637695307,-7.794853210449219,5.250226020812988,1560.426025390625,290.73162841796875,285.1184844970703,-9.490854263305664,4.457841873168945,293.92364501953125,293.6136016845703,-9.636298179626463,5.592439651489258,299.0150146484375,295.7178955078125,-7.92888069152832,2.1970787048339844,0.0,-0.0330967903137207,-0.00528717041015625,101681.0,146.1003932952881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.003767967224121,0.7280502319335938,101220.0,40.40150451660156,297.8303527832031,0.0,81.4,0.0,0.0,0.0,0.0,298.3684387207031,297.3381042480469,0.01778,296.4997863769531,87.80000000000004,-3.6080846786499023,-0.2436323165893555,3.6286514825187615,-3.6080846786499023,-0.2436323165893555,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2323,0.23,-15.0,23.0,0.0,8.0,-3.2,700.0,-19.0,57.54635190963745,67.625,0.0,3.625,67.625,93900.0,697.4220542907715,506.9697494506836,89000.0,1452.7195930480957,267.7,0.0,442.4,0.0,415.0745544433594,0.0,0.0,0.0,-5.0,-25.0,-8.578819274902344,-3.7988452911376953,-5.6930599212646475,5.762288093566895,4.41234016418457,-0.25787353515625,5035.28625,80.0,55900.0,5040.0,80.0,55900.0,6740.0,8290.0,-3.8,990.0
4,0,2020,7,24,-10.0,-999.0,0.0,14700.0,-10.0,-10.0,-10.0,8.898794066160919,2.416828155517578,-1.7701988220214844,-1.3280601501464844,-2.2637004852294917,5927.3203125,268.37997436523443,262.37478637695307,-2.245330810546875,1.9535541534423828,3200.416748046875,284.01513671875,279.24978637695307,-7.777895927429199,5.964658737182617,1558.684326171875,290.42315673828125,284.8747863769531,-9.129905700683594,5.234655380249023,293.58404541015625,292.9997863769531,-8.92834186553955,6.885843276977539,298.74212646484375,295.4997863769531,-7.2587947845458975,1.9980506896972656,0.0,-0.04458332061767578,-0.009905576705932615,101687.0,146.66157341003418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1864871978759775,0.725341796875,101230.0,40.40150451660156,297.7639465332031,0.0,81.4,0.0,0.0,0.0,0.0,298.2145080566406,297.15478515625,0.01762,296.3122863769531,88.0,-2.916637420654297,-0.1609945297241211,2.8776415744796395,-2.916637420654297,-0.1609945297241211,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2323,0.18,-10.0,20.0,11.0,8.0,-2.5,560.0,-21.0,55.639790534973145,15.25,0.0,0.25,15.25,--,--,--,--,--,271.7,0.0,404.9,0.0,414.62005615234375,0.0,0.0,0.0,-11.0,-26.4,-8.410953521728517,-3.0332984924316406,-5.8322696685791025,6.669559478759768,4.924005508422852,-0.5994586944580078,5042.9415625,75.0,55900.0,5040.0,75.0,55900.0,6800.0,8230.0,-2.5,570.0
5,0,2020,7,24,-5.5,-999.0,0.0,14800.0,-10.0,-10.0,-10.0,8.976573310792444,3.383625030517578,-1.9607658386230469,-0.4386615753173828,-2.8906726837158203,5921.2587890625,268.6463623046875,261.68728637695307,-2.0661659240722656,0.9958000183105468,3196.84814453125,284.1026611328125,278.99978637695307,-8.156241416931152,7.635678291320801,1553.64306640625,289.98394775390625,285.1872863769531,-8.641128540039062,7.314227104187013,293.5975646972656,293.2586364746094,-8.642746925354004,7.974357604980469,298.2894287109375,295.4248046875,-7.237638473510742,1.5019912719726562,0.0,-0.02417087554931641,-0.03594684600830078,101646.0,142.97245025634766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.213909149169923,0.019725799560546875,101180.0,40.40150451660156,297.5329284667969,0.0,82.2,0.0,0.0,0.0,0.0,298.0178527832031,297.02655029296875,0.01737,296.0865020751953,87.4,-3.474766731262207,-0.3659181594848633,3.5002335865719942,-3.474766731262207,-0.3659181594848633,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249,0.22,-14.0,20.0,1.0,8.0,-2.0,430.0,-40.0,55.40288662910461,16.125,0.0,0.0,16.125,--,--,--,--,--,272.0,0.0,404.5,0.0,413.2983093261719,0.0,0.0,0.0,-14.0,-22.8,-9.49046516418457,-1.8841056823730469,-5.216503143310547,8.851890563964844,5.09881591796875,-1.5498313903808594,4995.44109375,76.0,56100.0,5000.0,76.0,56200.0,6830.0,8250.0,-2.9000000000000004,880.0
6,0,2020,7,24,-10.0,-999.0,0.0,12500.0,-10.0,-10.0,-10.0,8.280315238982439,3.867731094360352,-2.355367660522461,-0.08161735534667969,-2.505411148071289,5919.3134765625,268.8862762451172,260.87478637695307,-2.467964172363281,0.7673263549804688,3194.00732421875,283.9419250488281,278.93728637695307,-7.680172920227051,7.755542755126952,1551.78125,289.2781677246094,286.6247863769531,-7.957597732543945,8.934082984924316,294.0645751953125,293.6872863769531,-7.854118347167969,8.096311569213867,297.3975830078125,296.1872863769531,-6.24924373626709,0.6850986480712891,0.0,-0.016585350036621094,0.0072841644287109375,101623.0,140.88846826553342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.216703414916992,-0.44289398193359375,101170.0,40.40150451660156,297.2491760253906,0.0,95.1,0.1,0.0,0.0,0.0,297.4484558105469,296.46490478515625,0.017769999999999998,296.4372863769531,93.5,-3.1390781402587886,-0.6669654846191406,3.2523596975952387,-3.1390781402587886,-0.6669654846191406,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249,0.21,-6.0,10.0,7.0,8.0,-1.8,480.0,-20.0,54.90663290023804,6.75,0.0,0.0,6.75,--,--,--,--,--,272.8,0.0,402.20000000000016,0.0,411.5888366699219,0.0,0.0,0.0,-21.0,-26.1,-9.579488754272461,-1.415851593017578,-4.3812408447265625,9.571407318115234,3.566593170166016,-1.5273685455322266,5055.09078125,68.0,55700.0,5060.0,68.0,55700.0,6850.0,8280.0,-3.3000000000000003,1250.0
7,0,2020,7,24,3.25,-999.0,0.004,12900.0,-10.0,-10.0,-10.0,7.398842506110668,4.382120132446288,-3.5897998809814453,-0.32342529296875,-1.566091537475586,5918.72607421875,268.7135009765625,260.62478637695307,-2.2963008880615234,1.0261192321777344,3193.34912109375,283.67620849609375,279.56228637695307,-7.678354263305664,7.217496871948242,1551.006103515625,289.65032958984375,288.0622863769531,-6.23265266418457,9.830991744995117,294.10650634765625,293.9997863769531,-8.262655258178711,7.623073577880857,297.4866943359375,295.9372863769531,-6.580026626586914,0.20335769653320312,0.0,-0.02285289764404297,-0.007884740829467773,101596.0,138.43424606323242,6.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.036611557006836,-1.066232681274414,101140.0,40.40150451660156,296.9822082519531,0.0,86.4,0.1,0.0,0.0,0.0,297.30230712890625,296.3407897949219,0.017570000000000002,296.2497863769531,92.9,-3.487220764160156,-0.6753931045532227,3.5659205343108624,-3.487220764160156,-0.6753931045532227,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249,0.23,-10.0,8.0,-3.0,8.0,-1.8,410.0,-34.0,57.15846490859985,72.125,0.0,0.0,72.125,91500.0,917.939754486084,701.4836120605469,88900.0,1451.571792602539,268.90000000000003,0.0,435.4,0.0,410.1318359375,0.0,0.0,0.0,-4.0,4.3,-7.772279739379883,-2.103092193603516,-3.406909942626953,9.800922393798828,4.313407897949219,-0.7280788421630859,5079.48953125,65.0,55500.0,5080.0,65.0,55500.0,6800.0,8260.0,-3.6,1330.0
8,0,2020,7,24,47.75,6261.0,0.6659999999999999,13300.0,-10.0,20.75,-10.0,9.994395673274994,4.428937911987305,-3.523937225341797,-0.9167613983154296,-0.25020790100097656,5919.5556640625,268.34637451171875,261.06228637695307,-2.2253341674804688,1.5100250244140625,3194.92919921875,284.0751037597656,278.93728637695307,-7.8473615646362305,6.643331527709961,1550.256591796875,289.90130615234375,288.3122863769531,-3.878334045410156,9.05577278137207,294.2862854003906,294.2497863769531,-8.534807205200195,9.024667739868164,297.61895751953125,295.9997863769531,-7.3266639709472665,1.182682991027832,0.0,-0.03880453109741211,0.012583494186401369,101576.0,136.54486846923828,6.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.428234100341798,0.16452598571777344,101120.0,40.40150451660156,297.1258544921875,0.0,89.0,0.1,0.0,0.0,0.0,297.5625915527344,296.622802734375,0.01768,296.3747863769531,91.8,-4.729406356811523,0.4828939437866211,4.7522890518885115,-4.729406356811523,0.4828939437866211,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249,0.31,-17.0,14.0,5.0,8.0,-2.5,550.0,-48.0,58.24633455276489,78.625,0.0,0.0,78.625,96000.0,497.5632724761963,343.053768157959,48900.0,1453.7738494873047,241.6,0.0,442.4,0.0,410.97064208984375,0.0,0.0,0.0,49.0,17.0,-8.404327392578125,-1.6509017944335938,-3.4423141479492188,9.643535614013672,5.7721900939941415,-1.2577590942382812,5026.9203125,69.0,55900.0,5030.0,69.0,55900.0,6740.0,8210.0,-4.4,1630.0
9,0,2020,7,24,10.25,-999.0,0.006,13600.0,-10.0,-10.0,-10.0,8.538879863917828,3.185932159423828,-1.92144775390625,-1.0621051788330078,0.4898490905761719,5917.08203125,268.2498779296875,261.397476196289,-1.037494659423828,0.5881385803222656,3193.673828125,283.89202880859375,279.81228637695307,-8.738567352294924,5.447826385498047,1550.0916748046875,290.13140869140625,287.2796325683594,-2.9510669708251966,8.672369003295897,294.1455383300781,293.1551818847656,-7.912973403930664,7.369781494140625,297.6332092285156,295.8107604980469,-6.12030029296875,0.8452892303466797,0.0,-0.03023529052734375,-0.0035963058471679688,101581.0,136.82062149047852,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.132617950439453,-0.23777008056640625,101120.0,40.40150451660156,297.23699951171875,0.0,88.5,0.1,0.0,0.0,0.0,297.51641845703125,296.64990234375,0.017490000000000002,296.19532775878906,91.1,-2.8468723297119136,-0.11541748046875,2.8784691127948463,-2.8468723297119136,-0.11541748046875,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249,0.18,-7.0,20.0,-1.0,8.0,-2.2,440.0,-50.0,57.36075925827026,5.875,0.0,0.0,5.875,--,--,--,--,--,269.5,0.0,404.0,0.0,411.6724548339844,0.0,0.0,0.0,-2.2,-13.0,-8.435531616210938,-2.404653549194336,-4.426912307739258,8.423061370849611,5.625663757324219,-1.883960723876953,4984.529843750001,76.0,56200.0,4980.0,76.0,56200.0,6750.0,8230.0,-3.1,830.0
