Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2020,9,1,-10.0,-999.0,0.0,22800.0,-10.0,-10.0,-10.0,4.934767711907625,29.111553192138672,9.538654327392578,29.13530921936035,8.810012817382812,5852.212890625,266.15316772460943,258.68728637695307,9.10383415222168,3.0450401306152344,3142.503662109375,281.48272705078125,280.49978637695307,8.100120544433594,1.9797286987304688,1511.2127685546875,290.35699462890625,287.9997863769531,6.155048370361327,4.014768600463866,295.5574951171875,292.4248962402344,4.923524856567383,2.7742023468017583,300.82952880859375,295.2950134277344,0.7916860580444336,0.04651641845703125,0.0,-0.025594711303710938,0.023270845413208008,101083.0,94.81269454956056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0903911590576172,0.12244415283203125,98550.0,222.2452545166016,299.70147705078125,0.0,52.8,0.0,0.0,0.0,0.0,299.8947448730469,301.2079162597656,0.01642,294.73529052734375,71.5,0.5774307250976562,-0.13697052001953125,0.627500828821212,0.5774307250976562,-0.13697052001953125,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3809,0.02,0.0,1.0,30.0,14.0,-5.0,1170.0,-10.0,50.34568786621094,0.0,0.0,6.625,6.625,--,--,--,--,--,270.90000000000003,0.0,405.5,0.0,420.9670715332031,0.0,0.0,0.0,65.0,51.3,7.661529541015625,-4.938993453979492,5.322183609008789,4.966821670532227,7.414985656738281,1.960777282714844,4762.9507812500015,57.0,57400.0,4760.0,57.0,57400.0,6280.0,8060.0,-5.0,1160.0
1,0,2020,9,1,1.625,-999.0,0.008,1100.0,-10.0,-10.0,-10.0,0.736612107604742,30.24882888793945,12.289787292480467,30.78892517089844,9.840675354003906,5855.60205078125,266.19406127929693,260.06228637695307,8.246091842651367,4.750297546386719,3145.73486328125,281.5619812011719,280.12478637695307,7.935565948486327,3.4638023376464844,1515.1328125,290.0484313964844,289.1872863769531,4.145589828491212,5.916608810424805,295.30596923828125,293.4692687988281,4.3061256408691415,3.867218017578125,300.0968322753906,296.1531066894531,-0.15636348724365234,0.4923973083496094,0.0,0.014207839965820312,-0.02395033836364746,101136.0,99.43114471435548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024930953979492188,0.6320438385009766,98610.0,222.2452545166016,298.42620849609375,0.0,53.1,0.0,0.0,0.0,0.0,298.5752258300781,299.81439208984375,0.01734,295.6383056640625,82.0,-0.3634624481201172,0.4249935150146485,0.5031873905099928,-0.3634624481201172,0.4249935150146485,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.01,0.0,0.0,30.0,14.0,-5.6000000000000005,1400.0,-20.0,52.93388056755066,58.5,0.25,10.0,58.5,98500.0,244.23021125793457,262.8477325439453,27300.0,1619.0499267578125,180.0,0.0,435.8,0.0,413.75238037109375,0.0,0.0,0.0,74.0,48.8,8.034086227416992,-3.0817222595214844,4.102500915527344,5.656322479248048,7.265007019042969,3.3758697509765625,4742.85171875,65.0,57600.0,4740.0,65.0,57500.0,6360.0,8210.0,-5.6000000000000005,1390.0
2,0,2020,9,1,16.6875,-999.0,0.068,4400.0,-10.0,-10.0,16.6875,2.023307554423809,29.428791046142567,13.68743133544922,26.44082260131836,8.191795349121094,5863.68359375,267.24435424804693,260.56228637695307,10.172491073608398,4.2051734924316415,3148.89208984375,282.61114501953125,276.56228637695307,6.079376220703125,2.699913024902344,1514.93603515625,290.3775634765625,287.1247863769531,2.8368453979492188,6.428184509277344,295.806884765625,290.4011688232422,2.4542312622070312,3.926788330078125,299.2568359375,296.2420654296875,-0.3109674453735352,0.716522216796875,0.0,-0.03702068328857422,-0.03406262397766113,101126.0,98.91638565063477,0.0,22.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5336437225341797,1.853326797485352,98610.0,222.2452545166016,297.5597839355469,0.0,53.0,0.0,0.0,0.0,0.0,297.6520080566406,298.86279296875,0.017560000000000003,295.86277770996094,88.60000000000002,0.02255344390869141,0.7190780639648438,0.6919441907666624,0.02255344390869141,0.7190780639648438,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.03,-1.0,1.0,50.0,14.0,-4.4,1220.0,-24.0,46.85905051231384,58.5,0.0,0.0,58.5,52500.0,5490.102785110474,262.80883407592773,38400.0,312.5580062866211,208.2,0.0,417.20000000000016,0.0,409.0,0.0,0.0,0.0,60.0,38.5,5.4816856384277335,-3.5510654449462886,2.3930587768554688,5.416936874389648,11.260129928588867,2.559703826904297,4819.405,56.0,57100.0,4820.0,55.0,57000.0,6540.0,8020.0,-3.8,970.0
3,0,2020,9,1,-10.0,-999.0,0.0,3700.0,-10.0,-10.0,-10.0,2.7258897460997105,31.508941650390625,10.739215850830078,31.33791732788086,6.863372802734375,5867.181640625,267.31561279296875,263.06228637695307,11.643733024597168,4.3999977111816415,3149.88525390625,282.69000244140625,275.87478637695307,4.1090354919433585,3.3762989044189453,1515.2816162109375,290.0748291015625,288.4997863769531,3.70206069946289,7.694000244140625,295.6257019042969,290.6217803955078,3.1067428588867188,5.168357849121094,298.72113037109375,297.47979736328125,0.3485841751098633,0.941913604736328,0.0,0.001739501953125,-0.029432296752929688,101136.0,99.87523651123048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4693622589111328,2.524497985839844,98630.0,222.2452545166016,297.0438537597656,0.0,52.90000000000001,0.0,0.0,0.0,0.0,297.2490539550781,298.4522399902344,0.01855,296.7497863769531,95.9,0.8562164306640625,0.8563804626464844,1.1903843553736806,0.8562164306640625,0.8563804626464844,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.06,-2.0,-3.0,47.0,14.0,-5.4,1710.0,-5.0,46.67049312591553,63.0,0.0,0.0,63.0,--,--,262.7717933654785,--,312.95452880859375,276.1,0.0,391.6,0.0,406.286865234375,0.0,0.0,0.0,31.0,39.0,4.898168563842773,-2.83633041381836,2.849323272705078,6.509620666503906,11.819293975830078,1.4124679565429688,4902.4425,46.0,56500.0,4900.0,46.0,56400.0,6510.0,8140.0,-4.800000000000002,1350.0
4,0,2020,9,1,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,1.0620830245316029,32.230056762695305,10.798187255859377,33.530956268310554,7.0206146240234375,5866.4580078125,266.9257659912109,263.56228637695307,11.125449180603027,3.900337219238281,3154.66650390625,282.4625549316406,276.93728637695307,4.031238555908203,3.746131896972656,1519.43896484375,290.27471923828125,288.6247863769531,4.762859344482422,7.519144058227539,295.5663146972656,290.8017578125,3.673151016235352,4.279165267944337,298.43548583984375,297.18577575683594,0.4468421936035156,0.5274372100830078,0.0,0.007837295532226562,0.02333521842956543,101182.0,103.77349853515624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5607833862304688,1.51025390625,98670.0,222.2452545166016,296.6969299316406,0.0,52.90000000000001,0.0,0.0,0.0,0.0,296.7732238769531,297.9046936035156,0.01808,296.3118438720703,97.2,0.6622247695922852,0.37831687927246094,0.7538878701161593,0.6622247695922852,0.37831687927246094,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.06,-1.0,0.0,55.0,14.0,-4.9,1300.0,-12.0,46.7384672164917,3.0,0.0,0.0,3.0,--,--,--,--,--,278.5,0.0,390.6,0.0,404.3353271484375,0.0,0.0,0.0,26.0,39.0,5.268884658813477,-3.08515739440918,3.847564697265625,6.015537261962893,10.993701934814453,1.5084190368652344,4805.48921875,46.0,57200.0,4810.0,46.0,57200.0,6570.0,8200.0,-4.7,1130.0
5,0,2020,9,1,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,1.2443190403282642,32.175880432128906,11.007171630859377,34.041271209716804,7.402111053466798,5864.59423828125,266.6078948974609,262.99978637695307,8.945577621459961,2.842353820800781,3158.755859375,282.3420104980469,278.81228637695307,5.525257110595703,2.5545520782470703,1521.9105224609375,290.3831787109375,287.7497863769531,5.245288848876953,6.063652038574219,295.459716796875,290.8587341308594,3.8437404632568373,4.059312820434569,298.1101379394531,296.6177062988281,0.0986490249633789,0.596466064453125,0.0,0.016504287719726562,0.02226734161376953,101221.0,107.15076065063477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036685943603515625,1.7759666442871094,98700.0,222.2452545166016,296.2843933105469,0.0,52.7,0.0,0.0,0.0,0.0,296.20709228515625,297.38787841796875,0.017300000000000003,295.5983123779297,96.1,0.02679538726806641,0.4802474975585938,0.5039757094345987,0.02679538726806641,0.4802474975585938,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.04,0.0,1.0,49.0,14.0,-4.1000000000000005,870.0,-28.0,48.37820601463318,0.25,0.0,0.0,0.25,--,--,262.6109619140625,--,--,276.7,0.0,389.6,0.0,401.8579406738281,0.0,0.0,0.0,48.0,44.0,4.5720481872558585,-3.9424152374267583,4.766468048095703,5.678985595703125,9.232833862304688,0.3476371765136719,4624.49,64.0,58500.0,4620.0,64.0,58500.0,6680.0,8160.0,-4.1000000000000005,780.0
6,0,2020,9,1,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,1.2657891791313889,34.046615600585945,7.865531921386719,34.37845993041992,7.617507934570312,5856.2490234375,266.36737060546875,262.56228637695307,7.8560791015625,4.7008056640625,3158.03955078125,281.67938232421875,278.24978637695307,6.2322940826416025,2.705636978149414,1523.943115234375,290.315185546875,287.4372863769531,6.0133724212646475,4.3380184173583975,294.84039306640625,290.69615173339844,4.517707824707031,2.5822925567626958,297.40576171875,296.159912109375,0.3406944274902344,0.43741607666015625,0.0,-0.028848648071289062,0.017394542694091797,101278.0,111.82829666137695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7812786102294922,1.5226688385009766,98750.0,222.2452545166016,295.57000732421875,0.0,52.8,0.0,0.0,0.0,0.0,295.5697326660156,296.69293212890625,0.016880000000000003,295.23997497558594,97.3,0.3664264678955078,0.3850975036621094,0.5043906546197832,0.3664264678955078,0.3850975036621094,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.02,0.0,0.0,45.0,14.0,-3.6,640.0,-30.0,47.692622661590576,22.0,0.0,0.0,22.0,--,--,262.3852844238281,--,--,276.40000000000003,0.0,386.6,0.0,398.2138366699219,0.0,0.0,0.0,52.0,41.5,7.7840003967285165,-3.616710662841797,4.779335021972656,3.9490909576416016,7.4180049896240225,3.1766395568847656,4461.02640625,73.0,59700.0,4460.0,73.0,59600.0,6630.0,8200.0,-3.6,590.0
7,0,2020,9,1,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,1.5413199551403522,32.79359817504883,5.759326934814452,34.960872650146484,2.7207260131835938,5859.736328125,266.64633178710943,261.18728637695307,9.55234146118164,4.732955932617188,3159.34912109375,281.8258056640625,274.93728637695307,6.812744140625,2.3151893615722656,1524.895751953125,290.78436279296875,287.1872863769531,6.189699172973633,3.8521556854248047,295.1217041015625,290.4997863769531,4.233104705810547,3.333942413330078,297.4139404296875,295.8122863769531,-0.01030731201171875,0.8306789398193359,0.0,-0.02361297607421875,0.019696712493896484,101276.0,111.69139099121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1003131866455078,2.1558074951171875,98750.0,222.2452545166016,295.3564758300781,0.0,52.5,0.0,0.0,0.0,0.0,295.4599609375,296.5191345214844,0.01651,294.8747863769531,95.0,-0.2540426254272461,0.6783781051635742,0.6886396111221984,-0.2540426254272461,0.6783781051635742,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.02,0.0,0.0,54.0,14.0,-2.7,470.0,-50.0,45.62833535671234,22.0,0.0,0.0,22.0,--,--,262.4127426147461,--,--,277.90000000000003,0.0,385.20000000000016,0.0,396.812744140625,0.0,0.0,0.0,64.0,53.0,6.866630554199219,-3.7555885314941406,5.69377326965332,3.3107986450195312,10.65337371826172,3.0016326904296875,4514.27078125,75.0,59300.0,4510.0,75.0,59200.0,6670.0,8300.0,-3.1,470.0
8,0,2020,9,1,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,1.1512745972722769,28.46377182006836,5.399314880371094,32.4775390625,0.0638885498046875,5862.34619140625,267.1705780029297,259.43728637695307,11.233957290649414,4.100513458251953,3158.8720703125,281.650390625,272.68728637695307,7.7864437103271475,2.207468032836914,1525.119140625,290.7491455078125,287.1247863769531,7.301790237426758,1.9810104370117188,294.8652038574219,290.7257537841797,5.098297119140625,2.3002986907958984,296.97723388671875,295.4524841308594,0.4145183563232422,0.4937210083007813,0.0,-0.02545261383056641,0.02111077308654785,101285.0,112.54147720336914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8671760559082031,1.6970462799072266,98770.0,222.2452545166016,294.7583923339844,0.0,52.40000000000001,0.0,0.0,0.0,0.0,294.8621520996094,295.8973693847656,0.0159,294.2849578857422,94.8,0.419219970703125,0.26248931884765625,0.5036216448061168,0.419219970703125,0.26248931884765625,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.01,0.0,0.0,57.0,14.0,-1.1,280.0,-50.0,44.009699583053596,12.875,0.0,0.0,12.875,--,--,--,--,--,279.3,0.0,382.1,0.0,393.65234375,0.0,0.0,0.0,61.0,52.0,7.6600589752197275,-4.595233917236328,5.815061569213867,1.9693641662597656,12.05234146118164,3.10598373413086,4625.3896875,70.0,58500.0,4630.0,70.0,58400.0,6740.0,8410.0,-2.2,320.0
9,0,2020,9,1,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,0.4079806469380856,28.47398376464844,7.285968780517577,26.496097564697266,6.779212951660156,5860.15869140625,267.44229125976557,260.37478637695307,10.988375663757324,4.3005638122558585,3153.69287109375,281.77130126953125,270.87478637695307,7.906566619873048,2.702922821044922,1520.2166748046875,290.69061279296875,287.0622863769531,6.401958465576173,-0.65423583984375,294.5575256347656,290.6029968261719,4.2052879333496085,0.4266538619995117,296.5916748046875,295.0843200683594,0.0719461441040039,0.2950706481933594,0.0,-0.039638519287109375,-0.03255820274353026,101243.0,108.89389038085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3522491455078125,0.8675346374511719,98730.0,222.2452545166016,294.2245178222656,0.0,52.2,0.0,0.0,0.0,0.0,294.3555603027344,295.47894287109375,0.01547,293.82542419433594,95.0,-0.15700817108154294,0.11664581298828125,0.18967329058796167,-0.15700817108154294,0.11664581298828125,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.01,0.0,0.0,51.0,14.0,-0.1,170.0,-70.0,42.861764192581184,9.25,0.0,0.0,9.25,--,--,262.2455749511719,--,--,276.40000000000003,0.0,378.5,0.0,391.0018310546875,0.0,0.0,0.0,47.0,35.0,7.4383907318115225,-5.446025848388672,5.274789810180664,-0.4356269836425781,12.206554412841795,3.6488189697265625,4715.1478125,58.0,57800.0,4720.0,58.0,57800.0,6700.0,8350.0,-1.5,210.0
