Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2020,9,7,-10.0,-999.0,0.0,33100.0,-10.0,-10.0,-10.0,5.633113890886308,13.964906692504885,-4.553596496582031,8.477523803710938,-1.1660804748535156,5907.6455078125,266.0944366455078,262.56228637695307,0.5453662872314453,-2.242389678955078,3204.716064453125,282.24383544921875,260.74978637695307,-0.5063447952270508,-6.4291725158691415,1568.35107421875,291.8136901855469,278.98611450195307,-2.2183876037597656,-5.046117782592773,296.8525695800781,289.3122863769531,-2.0069503784179688,-4.98919677734375,302.18682861328125,291.88287353515625,1.2117900848388672,-4.608270645141602,0.0,-0.013393163681030272,-0.0223158597946167,101669.0,146.66822814941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0079002380371094,-4.666177749633789,101510.0,13.995254516601562,300.59307861328125,0.0,10.4,0.0,0.0,0.0,0.0,301.6111755371094,300.3314208984375,0.01408,292.7685089111328,55.0,1.3245058059692385,-2.1776361465454097,2.5672190985642374,1.3245058059692385,-2.1776361465454097,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39399999999999996,0.11,-10.0,10.0,80.0,8.0,-2.6,640.0,-60.0,33.669608116149895,0.0,0.0,0.0,0.0,--,--,--,--,--,282.6,0.0,395.9,0.0,430.31427001953125,0.0,0.0,0.0,-18.0,9.3,6.516307830810548,-1.506906509399414,-4.400104522705078,-2.682504653930664,-1.3179664611816406,2.4004859924316406,4726.7084375,63.0,58100.0,4730.0,63.0,58000.0,6410.0,7860.0,-2.5,580.0
1,0,2020,9,7,-10.0,-999.0,0.0,26700.0,-10.0,-10.0,-10.0,4.336145946756004,11.858770370483398,-6.1544761657714835,8.772726058959961,-1.6352806091308594,5905.1435546875,265.94216918945307,262.68728637695307,-0.1447925567626953,-1.2404441833496094,3203.458740234375,282.3240966796875,260.74978637695307,-1.949075698852539,-5.699472427368164,1566.9775390625,291.6031188964844,278.2794189453125,-3.56135368347168,-4.611541748046875,296.8365478515625,288.8747863769531,-3.374818801879884,-4.915084838867188,301.559326171875,291.76934814453125,1.4346628189086914,-5.545000076293945,0.0,-0.01938343048095703,-0.012103796005249023,101666.0,146.14136505126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1661834716796875,-5.206087112426758,101510.0,13.995254516601562,298.0791320800781,0.0,11.3,0.0,0.0,0.0,0.0,298.9927978515625,297.7070007324219,0.01415,292.8211975097656,63.7,1.4691505432128906,-1.5731449127197266,2.1894016454461958,1.4691505432128906,-1.5731449127197266,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39399999999999996,0.07,-10.0,0.0,70.0,8.0,-1.7000000000000002,410.0,-80.0,32.20063054561615,0.0,0.0,0.0,0.0,--,--,--,--,--,281.0,0.0,386.3,0.0,416.28369140625,0.0,0.0,0.0,3.0,17.5,5.892082214355469,-1.931623458862305,-5.61586856842041,-3.2754726409912114,-1.6789894104003906,3.812778472900391,4701.192109375,59.0,58200.0,4700.0,59.0,58200.0,6420.0,7890.0,-2.1,370.0
2,0,2020,9,7,-10.0,-999.0,0.0,20700.0,-10.0,-10.0,-10.0,2.996453147381544,5.629438400268555,-8.572746276855469,5.287431716918945,-4.564079284667969,5904.0234375,265.55712890625,262.49978637695307,-0.8388595581054688,-0.8291473388671875,3204.271728515625,282.4770812988281,260.49978637695307,-4.025820732116698,-4.5148963928222665,1568.064453125,291.28411865234375,278.54904174804693,-4.9697265625,-4.673686981201172,296.216064453125,288.5622863769531,-5.140914916992188,-4.9190406799316415,299.71026611328125,291.9538116455078,0.5285701751708984,-5.699565887451173,0.0,-0.0038657188415527344,-0.004847526550292969,101725.0,150.3900146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3827972412109375,-4.6438560485839835,101570.0,13.995254516601562,297.23590087890625,0.0,12.3,0.0,0.0,0.0,0.0,297.5875549316406,296.3154602050781,0.01459,293.3649444580078,73.9,0.7338638305664062,-0.9626541137695312,1.1903503243811429,0.7338638305664062,-0.9626541137695312,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39399999999999996,0.03,-1.0,0.0,15.0,8.0,-1.6,200.0,-140.0,31.66208565235138,0.0,0.0,0.0,0.0,--,--,--,--,--,281.40000000000003,0.0,378.4,0.0,411.42584228515625,0.0,0.0,0.0,19.0,17.0,4.785869598388672,-2.239065170288086,-6.600780487060548,-4.064626693725587,-1.2421493530273438,3.9293060302734375,4668.668671875,52.0,58500.0,4670.0,52.0,58500.0,6380.0,7890.0,-1.8,200.0
3,0,2020,9,7,-10.0,-999.0,0.0,18100.0,-10.0,-10.0,-10.0,2.842235457152128,3.84886646270752,-7.854240417480469,1.1929855346679688,-7.0554771423339835,5903.56201171875,265.1916046142578,262.31228637695307,-0.8398513793945312,-1.7080612182617188,3205.1494140625,282.4285583496094,261.06228637695307,-4.768106460571289,-4.048055648803712,1569.534423828125,290.7135009765625,280.19024658203125,-5.778106689453125,-4.0233421325683585,295.7655944824219,288.8122863769531,-6.295511245727539,-4.406543731689453,299.23773193359375,291.86302185058594,-1.0005674362182615,-6.032426834106445,0.0,0.00973367691040039,-0.013503789901733398,101769.0,153.99847412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14461326599121094,-5.008966445922852,101610.0,13.995254516601562,296.1491394042969,0.0,13.4,0.0,0.0,0.0,0.0,296.5672302246094,295.2030944824219,0.014730000000000004,293.49530029296875,79.10000000000002,0.3796653747558594,-0.8949127197265625,0.9401622612494976,0.3796653747558594,-0.8949127197265625,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39399999999999996,0.02,-1.0,0.0,40.0,8.0,-1.6,130.0,-190.0,31.93874740600586,0.0,0.0,0.0,0.0,--,--,--,--,--,281.6,0.0,376.70000000000016,0.0,405.7436828613281,0.0,0.0,0.0,5.0,1.5,4.1970558166503915,-4.40919303894043,-7.1106204986572275,-3.5550861358642583,0.0197601318359375,2.921249389648437,4662.9559375,45.0,58500.0,4660.0,45.0,58500.0,6330.0,7900.0,-1.9,150.0
4,0,2020,9,7,-10.0,-999.0,0.0,16400.0,-10.0,-10.0,-10.0,2.5721670910716057,3.0456018447875977,-7.379100799560548,-0.8218765258789062,-8.038528442382812,5900.75439453125,265.21847534179693,262.31228637695307,-0.009931564331054688,-2.1605510711669917,3202.38623046875,282.38116455078125,260.9434967041016,-5.39995002746582,-3.571002960205078,1568.454833984375,290.05419921875,281.4176788330078,-7.2345218658447275,-2.968208312988281,295.51373291015625,287.8747863769531,-7.468870162963867,-3.511524200439453,298.94927978515625,291.48460388183594,-2.6993894577026367,-4.916793823242188,0.0,-0.019369125366210938,-0.0032639503479003906,101776.0,154.38568115234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.520402908325195,-4.421592712402344,101620.0,13.995254516601562,295.6375732421875,0.0,14.5,0.0,0.0,0.0,0.0,295.8849182128906,294.56414794921875,0.01463,293.3997802734375,83.10000000000002,0.04640388488769531,-1.0040321350097656,1.0024101526942104,0.04640388488769531,-1.0040321350097656,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39399999999999996,0.03,-1.0,0.0,50.0,8.0,-1.0,40.0,-200.0,31.21459269523621,0.0,0.0,0.0,0.0,--,--,--,--,--,281.1,0.0,372.0,0.0,402.7711791992188,0.0,0.0,0.0,-28.0,-41.0,-0.6929769515991211,-10.088808059692383,-7.7150325775146475,-2.373828887939453,2.5447769165039062,1.42242431640625,4684.98125,36.0,58400.0,4680.0,36.0,58300.0,6350.0,7920.0,-1.3,40.0
5,0,2020,9,7,-10.0,-999.0,0.0,15500.0,-10.0,-10.0,-10.0,2.3623207993805413,2.6773643493652344,-6.9196434020996085,-0.9357089996337892,-7.814888000488281,5895.78857421875,265.53085327148443,261.74978637695307,-0.5537891387939453,-2.489940643310547,3197.480712890625,282.35235595703125,261.1782684326172,-6.677091598510742,-2.9677829742431636,1563.6693115234375,289.43109130859375,284.7058410644531,-8.444438934326174,-1.2896347045898438,295.40008544921875,287.4997863769531,-8.675899505615233,-1.5448036193847656,298.857666015625,290.62451171875,-3.856292724609375,-3.075874328613281,0.0,-0.027395248413085938,0.02291202545166016,101734.0,150.72921752929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4985294342041016,-3.184486389160156,101580.0,13.995254516601562,295.22821044921875,0.0,15.8,0.0,0.0,0.0,0.0,295.4784240722656,294.1766052246094,0.014560000000000003,293.3217010498047,85.4,0.05199241638183594,-1.128252029418945,1.1290494538843632,0.05199241638183594,-1.128252029418945,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39399999999999996,0.04,-1.0,0.0,58.0,8.0,-0.30000000000000004,10.0,-270.0,32.22871911525726,0.0,0.0,0.0,0.0,--,--,--,--,--,282.1,0.0,371.8,0.0,400.513671875,0.0,0.0,0.0,-41.0,-55.40000000000001,-6.3297996520996085,-9.879997253417967,-8.848857879638672,-0.3561859130859375,3.1491260528564453,-0.3354682922363281,4661.85421875,39.0,58500.0,4660.0,39.0,58400.0,6450.0,7920.0,-1.1,70.0
6,0,2020,9,7,-10.0,-999.0,0.0,14600.0,-10.0,-10.0,-10.0,1.7151510398834944,1.0787811279296875,-6.357368469238281,-1.3137073516845703,-6.996128082275393,5889.8232421875,265.63006591796875,260.12478637695307,-1.3529071807861328,-2.4798126220703125,3190.63818359375,282.7542419433594,260.0645904541016,-6.9214725494384775,-3.340438842773437,1555.382568359375,289.36395263671875,283.4835510253906,-8.360803604125978,-0.07396316528320312,295.3212890625,287.4997863769531,-8.410978317260742,0.9613304138183594,298.5646057128906,290.38262939453125,-3.9565525054931636,-1.518392562866211,0.0,-0.008792877197265625,-0.00658106803894043,101651.0,143.42259979248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0165233612060547,-1.9574966430664065,101490.0,13.995254516601562,294.8100891113281,0.0,17.1,0.0,0.0,0.0,0.0,295.0029602050781,293.7667236328125,0.0145,293.212158203125,87.60000000000002,0.4020261764526367,-0.7288246154785156,0.8147992987651378,0.4020261764526367,-0.7288246154785156,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39399999999999996,0.03,-1.0,0.0,70.0,8.0,0.1,0.0,0.0,30.332004904747013,0.0,0.0,0.0,0.0,--,--,--,--,--,283.8,0.0,368.1,0.0,398.2209167480469,0.0,0.0,0.0,-46.0,-64.0,-9.940093994140623,-7.6866722106933585,-9.26738166809082,1.7857818603515625,2.387561798095703,-1.598358154296875,4666.588828125,32.0,58400.0,4670.0,32.0,58400.0,6480.0,7910.0,0.2,0.0
7,0,2020,9,7,-10.0,-999.0,0.0,14600.0,-10.0,-10.0,-10.0,1.5674193650484085,-0.5095748901367188,-6.132850646972656,-1.335065841674805,-6.588371276855469,5884.83544921875,265.45135498046875,258.49978637695307,-1.9604034423828125,-2.6012001037597656,3185.3779296875,283.2394714355469,258.7005157470703,-7.729118347167969,-3.3919639587402344,1546.978515625,290.28948974609375,279.37905883789057,-7.362236022949219,0.1775493621826172,295.2593688964844,286.62939453125,-7.15587043762207,2.044647216796875,298.158447265625,289.989013671875,-3.282379150390625,-0.732025146484375,0.0,-0.02881622314453125,0.012096405029296877,101558.0,135.18360900878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.516580581665039,-1.3567428588867188,101400.0,13.995254516601562,294.3001708984375,0.0,18.6,0.0,0.0,0.0,0.0,294.4210205078125,293.23370361328125,0.01395,292.5609436035156,87.80000000000004,0.3923234939575195,-0.6564407348632812,0.75316615216434,0.3923234939575195,-0.6564407348632812,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39399999999999996,0.02,0.0,0.0,47.0,8.0,1.0,0.0,0.0,27.13346290588379,0.0,0.0,0.0,0.0,--,--,--,--,--,284.6,0.0,360.0,0.0,395.4577331542969,0.0,0.0,0.0,-26.0,-51.1,-12.31637191772461,-3.952350616455078,-8.17701530456543,2.58999252319336,1.034564971923828,-2.370685577392578,4669.700703125001,25.0,58400.0,4670.0,25.0,58300.0,6440.0,7900.0,0.4,0.0
8,0,2020,9,7,-10.0,-999.0,0.0,13800.0,-10.0,-10.0,-10.0,1.5681366249918938,-1.2650184631347656,-6.4312591552734375,-1.059967041015625,-6.4724082946777335,5877.94287109375,265.33526611328125,256.24978637695307,-2.183208465576172,-2.702823638916016,3177.953369140625,283.5474548339844,259.06228637695307,-7.75616455078125,-3.224449157714844,1539.1065673828125,290.3721008300781,277.63217163085943,-6.5885982513427725,0.5162563323974609,294.81097412109375,286.8741149902344,-6.146320343017577,1.9141349792480469,297.3259582519531,290.1682434082031,-2.69998550415039,-0.7444095611572266,0.0,0.023758411407470703,-0.014871597290039062,101489.0,128.91253662109378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3781681060791016,-1.3738994598388672,101330.0,13.995254516601562,293.4171447753906,0.0,20.200000000000006,0.0,0.0,0.0,0.0,293.57568359375,292.4555969238281,0.01369,292.2472381591797,90.1,0.17538166046142578,-0.7309665679931641,0.7515208121621981,0.17538166046142578,-0.7309665679931641,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39399999999999996,0.02,0.0,0.0,53.0,8.0,1.7000000000000002,0.0,0.0,26.004572987556447,0.0,0.0,0.0,0.0,--,--,--,--,--,284.7,0.0,356.1,0.0,390.7088317871094,0.0,0.0,0.0,-6.0,-33.0,-12.550800323486328,-1.464691162109375,-6.898336410522461,2.4273338317871094,0.2639198303222656,-2.5580406188964844,4667.000234375,23.0,58300.0,4670.0,23.0,58300.0,6380.0,7890.0,0.30000000000000004,0.0
9,0,2020,9,7,-10.0,-999.0,0.0,12800.0,-10.0,-10.0,-10.0,1.9838417693972588,-1.6663427352905271,-6.3616790771484375,-1.3068199157714844,-6.605541229248048,5875.52685546875,265.62313842773443,252.31228637695312,-2.121623992919922,-2.940956115722656,3174.17431640625,283.91595458984375,259.27989196777344,-7.125293731689452,-3.3258457183837886,1535.667236328125,290.01123046875,276.22933959960943,-6.335468292236327,0.3649940490722656,294.697265625,284.4372863769531,-6.414810180664063,1.172224044799805,296.76617431640625,290.18072509765625,-3.032601356506348,-1.2734832763671875,0.0,-0.02664470672607422,0.02546525001525879,101473.0,127.3584442138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.838916778564453,-1.908304214477539,101320.0,13.995254516601562,292.6965026855469,0.0,22.0,0.0,0.0,0.0,0.0,292.9120788574219,291.833251953125,0.01356,292.1349334716797,93.0,0.016023635864257812,-1.0019054412841797,1.0022248565219345,0.016023635864257812,-1.0019054412841797,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39399999999999996,0.03,-1.0,0.0,66.0,8.0,2.5,0.0,0.0,23.82149589061737,0.0,0.0,0.0,0.0,--,--,--,--,--,284.9000000000001,0.0,348.3,0.0,386.9825744628906,0.0,0.0,0.0,-3.0,-30.0,-12.354358673095705,-2.277652740478516,-6.9664268493652335,2.217714309692384,0.35379791259765625,-2.3104171752929688,4668.219921875,21.0,58300.0,4670.0,21.0,58300.0,6440.0,7900.0,1.6,0.0
