Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2020,10,2,-10.0,-999.0,0.0,20100.0,-10.0,-10.0,-10.0,2.840206388384104,23.942131996154785,12.91744613647461,25.69394111633301,8.457736968994139,5835.9736328125,263.510009765625,237.87478637695312,15.481172561645508,0.7732353210449219,3163.884521484375,279.8526611328125,263.12478637695307,6.651815414428711,-15.582706451416016,1542.1024169921875,288.890625,273.74978637695307,3.696422576904297,-10.053182601928713,294.057373046875,282.5622863769531,3.5092697143554688,-5.974784851074219,296.40740966796875,286.8747863769531,3.939873695373535,2.233123779296875,0.0,0.007012367248535156,0.009693384170532228,101612.0,138.69357299804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5073699951171875,1.8939056396484373,101460.0,13.401504516601562,294.5486145019531,0.0,44.6,0.0,0.0,0.0,0.0,294.7029724121094,293.5328674316406,0.012709999999999999,291.1186981201172,78.10000000000002,0.9992303848266602,0.3708438873291016,1.0640518058789894,0.9992303848266602,0.3708438873291016,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2399,0.027999999999999997,0.0,2.0,22.0,14.0,1.4,0.0,0.0,20.32596409320832,0.0,0.0,0.0,0.0,--,--,--,--,--,294.9000000000001,0.0,342.8,0.0,392.6792297363281,0.0,0.0,0.0,-7.7,18.9,5.371437072753906,-12.678365707397461,2.793649673461914,-7.591448783874513,13.394718170166016,-0.2551689147949219,4223.6052734375,14.0,61500.0,4220.0,14.0,61400.0,5890.0,7730.0,3.0,0.0
1,0,2020,10,2,-10.0,-999.0,0.0,18000.0,-10.0,-10.0,-10.0,3.2234959453344345,23.98507308959961,13.374759674072266,25.25898838043213,8.752285003662111,5841.078125,263.61363220214844,236.31228637695312,14.354961395263672,1.839054107666016,3168.69873046875,279.916015625,264.49978637695307,6.7182579040527335,-14.042390823364258,1545.0294189453125,289.03619384765625,271.43728637695307,2.8462123870849614,-10.543484687805176,293.7526550292969,283.1247863769531,3.334853172302246,-9.140129089355467,296.86444091796875,286.9997863769531,4.85198974609375,1.0072250366210938,0.0,0.007386207580566406,0.012514114379882812,101652.0,142.3631134033203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.337491989135741,1.387250900268555,101500.0,13.401504516601562,293.1722412109375,0.0,49.8,0.0,0.0,0.0,0.0,293.4769287109375,292.27252197265625,0.0125,290.8879089355469,81.80000000000003,1.1988029479980469,0.3956384658813477,1.2519798965658993,1.1988029479980469,0.3956384658813477,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2391,0.033,-1.0,2.0,26.0,14.0,2.2,0.0,0.0,20.782279372215267,0.0,0.0,0.0,0.0,--,--,--,--,--,293.8,0.0,342.0,0.0,385.4747619628906,0.0,0.0,0.0,-17.5,13.7,6.975090026855469,-13.164392471313475,1.6025962829589844,-9.892784118652344,11.221115112304688,2.346813201904297,4210.321015625,15.0,61600.0,4210.0,15.0,61500.0,5910.0,7690.0,2.8000000000000003,0.0
2,0,2020,10,2,-10.0,-999.0,0.0,16500.0,-10.0,-10.0,-10.0,3.1545689683407545,25.958431243896484,15.244754791259766,27.72508907318115,10.24582290649414,5847.62158203125,264.1983642578125,234.81228637695312,15.069101333618164,1.5378265380859375,3173.15087890625,280.0985717773437,265.12478637695307,6.335630416870117,-12.912649154663086,1549.115478515625,289.26507568359375,271.49978637695307,3.799938201904297,-10.015884399414062,293.55267333984375,283.3747863769531,2.5474987030029297,-9.998893737792967,296.82525634765625,287.6247863769531,4.077488899230957,-2.891529083251953,0.0,0.009697914123535156,-0.029021501541137695,101703.0,146.70501708984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.084367752075194,-0.6635723114013672,101550.0,13.401504516601562,292.0559387207031,0.0,52.3,0.0,0.0,0.0,0.0,292.5310363769531,291.31085205078125,0.01229,290.6247863769531,84.2,1.703081130981445,-0.17754268646240234,1.6900724878069011,1.703081130981445,-0.17754268646240234,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2391,0.05,-3.0,2.0,58.0,14.0,3.3000000000000003,0.0,0.0,21.35280424356461,0.0,0.0,0.0,0.0,--,--,--,--,--,292.7,0.0,341.5,0.0,379.6052551269531,0.0,0.0,0.0,-38.0,-22.8,8.236697196960451,-13.684125900268555,0.7829113006591797,-9.373119354248047,12.755538940429688,5.4270362854003915,4205.440000000001,19.0,61700.0,4210.0,18.0,61600.0,6030.0,7880.0,3.0,0.0
3,0,2020,10,2,-10.0,-999.0,0.0,16800.0,-10.0,-10.0,-10.0,3.466557452455163,27.1163387298584,15.18606185913086,27.433876037597656,9.476177215576172,5838.69921875,263.18765258789057,233.56228637695312,12.804047584533693,0.6720657348632812,3171.46435546875,279.4512939453125,266.68728637695307,6.046755790710449,-12.940567016601562,1550.437255859375,288.9153137207031,272.99978637695307,2.960735321044922,-7.3634376525878915,292.3597717285156,283.6247863769531,1.0649042129516602,-8.335765838623049,296.032958984375,286.9372863769531,1.4243240356445312,-8.424459457397461,0.0,-0.01997900009155273,-0.022123336791992188,101776.0,152.56283569335938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7970733642578125,-5.115324020385742,101620.0,13.401504516601562,291.5276184082031,0.0,53.90000000000001,0.0,0.0,0.0,0.0,292.191650390625,290.8184509277344,0.01207,290.3122863769531,83.30000000000003,1.1427555084228516,-1.255742073059082,1.6929004900157452,1.1427555084228516,-1.255742073059082,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2391,0.05,-2.0,1.0,55.0,14.0,2.7,0.0,0.0,22.39017230272293,0.0,0.0,0.0,0.0,--,--,--,--,--,290.1,0.0,340.5,0.0,376.86561584472656,0.0,0.0,0.0,-49.0,-26.3,7.883049011230469,-13.712766647338867,0.4174633026123047,-5.419258117675781,12.659469604492188,8.300338745117188,4110.72,23.0,62400.0,4110.0,23.0,62300.0,5840.0,7600.0,3.0,0.0
4,0,2020,10,2,-10.0,-999.0,0.0,21100.0,-10.0,-10.0,-10.0,6.754144199192524,28.278124809265137,15.512008666992188,26.90845012664795,10.415950775146484,5837.5966796875,263.1763916015625,233.18728637695312,12.567400932312012,1.765399932861328,3171.24755859375,279.127685546875,268.12371826171875,6.711878776550293,-12.152793884277346,1551.4906005859375,288.7041320800781,274.37478637695307,3.5512561798095703,-6.902423858642577,292.06500244140625,281.59521484375,0.810175895690918,-8.804559707641602,295.5831298828125,282.3317565917969,0.2925128936767578,-12.631271362304688,0.0,0.012262344360351562,0.02484869956970215,101820.0,156.0651626586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6251602172851562,-9.603006362915039,101660.0,13.401504516601562,291.1041259765625,0.0,55.1,0.0,0.0,0.0,0.0,292.1806335449219,290.8190612792969,0.010730000000000002,288.4997863769531,74.9,0.5773582458496094,-2.80745792388916,2.87818649969995,0.5773582458496094,-2.80745792388916,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2391,0.13,-17.0,14.0,42.0,14.0,5.0,0.0,0.0,20.9859202504158,0.0,0.0,0.0,0.0,--,--,--,--,--,288.4000000000001,0.0,332.9000000000001,0.0,374.7840270996094,0.0,0.0,0.0,-40.0,-22.1,8.927740097045898,-13.481483459472654,1.2774810791015625,-4.0827980041503915,13.077142715454102,12.541278839111328,4088.96,25.0,62600.0,4090.0,25.0,62500.0,5830.0,7520.0,4.800000000000002,0.0
5,0,2020,10,2,-10.0,-999.0,0.0,26900.0,-10.0,-10.0,-10.0,7.845645438879727,28.442340850830078,14.769023895263672,26.35508918762207,11.482868194580078,5836.1513671875,263.26109313964844,232.12478637695312,12.234865188598633,2.709169387817384,3169.38623046875,278.988525390625,267.43728637695307,6.9345703125,-11.048257827758787,1550.783447265625,288.41644287109375,274.60220336914057,3.3975505828857417,-5.849458694458008,291.8286437988281,277.63168334960943,-0.7523555755615234,-8.399765014648438,294.7579345703125,278.70309448242193,-0.7529802322387695,-13.352205276489258,0.0,0.0034885406494140625,-0.001613616943359375,101846.0,157.88368225097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30557823181152344,-10.309417724609377,101690.0,13.401504516601562,290.2182312011719,0.0,55.2,0.0,0.0,0.0,0.0,291.2815246582031,289.92108154296875,0.00905,285.8747863769531,66.4,-0.06097602844238281,-2.865198135375977,2.814495428930968,-0.06097602844238281,-2.865198135375977,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2165,0.12,-15.0,17.0,40.0,14.0,8.5,0.0,0.0,18.878550291061398,0.0,0.0,0.0,0.0,--,--,--,--,--,287.5,0.0,323.8,0.0,370.2039489746094,0.0,0.0,0.0,1.0,-2.6,8.562168121337889,-12.951692581176758,1.3533935546875,-3.9248867034912114,13.80388641357422,14.083499908447266,4096.64,23.0,62500.0,4100.0,23.0,62400.0,5840.0,7500.0,6.2,0.0
6,0,2020,10,2,-10.0,-999.0,0.0,29500.0,-10.0,-10.0,-10.0,7.74291193112731,28.28896141052246,14.74155044555664,26.49996566772461,11.925315856933596,5828.95263671875,262.9544677734375,231.68728637695312,12.35740852355957,3.84512710571289,3164.50732421875,278.6073608398437,269.37478637695307,8.212726593017576,-9.905105590820312,1546.79345703125,288.2768249511719,273.36163330078125,3.786632537841797,-4.894269943237305,290.7450256347656,276.40713500976557,-2.5745973587036133,-8.086799621582031,293.61175537109375,277.64715576171875,-1.7809181213378906,-12.91414737701416,0.0,-0.008376598358154297,-0.014365434646606444,101857.0,158.23833465576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8808860778808594,-10.060012817382812,101700.0,13.401504516601562,289.0968933105469,0.0,55.6,0.0,0.0,0.0,0.0,290.0491638183594,288.7045593261719,0.007909999999999999,283.8608703613281,63.2,0.09819221496582033,-2.7063274383544917,2.7538664389867336,0.09819221496582033,-2.7063274383544917,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2165,0.12,-14.0,19.0,51.0,14.0,11.2,0.0,0.0,18.763453483581547,0.0,0.0,0.0,0.0,--,--,--,--,--,284.8,0.0,318.1,0.0,364.3866424560547,0.0,0.0,0.0,44.0,10.9,8.490516662597656,-12.496101379394533,-0.030864715576171875,-3.349916458129884,14.843265533447266,15.319995880126953,4063.68,27.0,62700.0,4060.0,27.0,62600.0,5780.0,7460.0,6.9,0.0
7,0,2020,10,2,-10.0,-999.0,0.0,28700.0,-10.0,-10.0,-10.0,7.148245928809048,28.466642379760746,14.237472534179688,26.763834953308105,11.815345764160154,5824.26123046875,262.90109252929693,230.6909484863281,13.078571319580078,4.528514862060547,3160.9140625,278.36383056640625,270.24978637695307,9.69773769378662,-9.017799377441406,1544.1710205078125,288.18035888671875,270.736572265625,4.460854530334473,-4.111513137817384,289.79718017578125,275.072998046875,-3.2571372985839844,-8.738132476806639,293.0255432128906,277.84664916992193,-3.0584926605224614,-11.687629699707033,0.0,0.018569469451904297,-0.005172491073608398,101870.0,158.9710235595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6542072296142578,-9.29774284362793,101710.0,13.401504516601562,288.1441955566406,0.0,56.0,0.0,0.0,0.0,0.0,289.02691650390625,287.6419372558594,0.0076700000000000015,283.41827392578125,64.7,0.026960372924804688,-2.2663888931274414,2.2521210219711065,0.026960372924804688,-2.2663888931274414,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2165,0.08,-7.0,8.0,54.0,14.0,12.2,0.0,0.0,18.24636834859848,0.0,0.0,0.0,0.0,--,--,--,--,--,283.1,0.0,313.6,0.0,359.74293518066406,0.0,0.0,0.0,53.1,-17.0,8.310401916503906,-12.199186325073242,-0.5471343994140625,-3.750282287597656,16.649436950683597,15.055591583251953,4046.72,29.0,62800.0,4050.0,29.0,62700.0,5770.0,7470.0,8.8,0.0
8,0,2020,10,2,-10.0,-999.0,0.0,26700.0,-10.0,-10.0,-10.0,6.729146555066109,29.03128528594971,16.27242660522461,27.20044708251953,13.035457611083984,5816.3271484375,262.8256072998047,230.87478637695312,14.151583671569824,4.2694969177246085,3154.4443359375,278.21536254882807,269.62478637695307,11.198572158813477,-8.219654083251951,1539.34033203125,287.906982421875,267.06228637695307,5.263148307800293,-4.354415893554688,289.29766845703125,271.99978637695307,-4.322916030883788,-10.117591857910156,292.5929260253906,277.12478637695307,-3.522704124450684,-11.105295181274414,0.0,0.0015087127685546875,0.0023949146270751953,101855.0,157.466064453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6431865692138672,-8.995073318481445,101700.0,13.401504516601562,287.3899230957031,0.0,56.8,0.0,0.0,0.0,0.0,288.28118896484375,286.9096984863281,0.00744,282.9709930419922,66.7,0.2826271057128906,-2.61865234375,2.6276533538475637,0.2826271057128906,-2.61865234375,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2165,0.11,-13.0,15.0,58.0,14.0,13.0,0.0,0.0,16.47699993848801,0.0,0.0,0.0,0.0,--,--,--,--,--,281.8,0.0,306.7,0.0,355.9281463623047,0.0,0.0,0.0,61.0,-43.0,8.45683479309082,-12.473857879638672,-1.2381610870361328,-4.878694534301758,17.870956420898438,14.262287139892578,4020.48,30.0,63000.0,4020.0,30.0,62900.0,5740.0,7430.0,11.1,0.0
9,0,2020,10,2,-10.0,-999.0,0.0,26300.0,-10.0,-10.0,-10.0,6.656386658549309,28.25304889678955,15.921615600585938,26.67312812805176,12.728645324707033,5811.09912109375,263.01593017578125,230.99978637695312,15.145413398742676,3.4654197692871094,3149.262939453125,278.310546875,268.74978637695307,13.247395515441895,-7.972858428955077,1535.5740966796875,287.05267333984375,263.2823028564453,5.875510215759277,-5.314207077026367,288.8160400390625,272.4231414794922,-5.355984687805176,-10.431440353393556,292.5032653808594,276.49978637695307,-3.1400585174560547,-10.963274002075195,0.0,-0.016941070556640625,0.02176475524902344,101844.0,156.52498626708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2659854888916016,-9.121248245239258,101680.0,13.401504516601562,286.745361328125,0.0,57.40000000000001,0.0,0.0,0.0,0.0,287.8290710449219,286.43341064453125,0.007229999999999999,282.4997863769531,66.9,0.6609029769897461,-2.9873065948486333,3.067203690763563,0.6609029769897461,-2.9873065948486333,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2165,0.15,-20.0,19.0,59.0,14.0,13.8,0.0,0.0,15.769152164459227,0.0,0.0,0.0,0.0,--,--,--,--,--,280.7,0.0,303.9000000000001,0.0,352.6475524902344,0.0,0.0,0.0,78.4,-53.5,8.899062156677246,-12.962244033813475,-2.8060836791992188,-5.9381370544433585,18.58876037597656,13.126033782958984,4019.2,31.0,63000.0,4020.0,31.0,62800.0,5760.0,7400.0,13.0,0.0
