Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2020,10,6,-10.0,-999.0,0.0,28800.0,-10.0,-10.0,-10.0,3.809055011719465,21.74352264404297,15.13617706298828,20.404563903808594,14.554473876953125,5870.39794921875,267.395736694336,227.74978637695312,9.54511260986328,6.482467651367188,3161.68701171875,280.45526123046875,268.99978637695307,0.6423377990722656,7.255537033081055,1543.249755859375,288.32830810546875,253.37478637695312,-6.8795738220214835,-2.4512176513671875,290.6851806640625,280.74154663085943,-6.376564025878906,-6.247591018676758,296.8761901855469,285.42626953125,-3.2641887664794917,-3.9937801361083984,0.0,-0.008462905883789062,-0.021938085556030273,101753.0,153.40853118896484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.38374137878418,-4.136674880981444,100770.0,85.65150451660156,293.3930358886719,0.0,17.0,0.0,0.0,0.0,0.0,294.0379638671875,293.39410400390625,0.00995,287.20481872558594,60.8,-0.7507362365722656,-1.7000741958618164,1.8148354806471616,-0.7507362365722656,-1.7000741958618164,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21899999999999997,0.05,-3.0,2.0,65.0,14.0,8.3,0.0,0.0,17.59914553165436,0.0,0.0,0.0,0.0,--,--,--,--,--,296.3,0.0,336.0,0.0,386.3440856933594,0.0,0.0,0.0,131.0,-29.70000000000001,2.64749526977539,-6.287822723388673,-6.526516914367676,-3.5847454071044917,14.66433334350586,11.353046417236328,4971.550625,5.0,56000.0,4970.0,5.0,56000.0,6590.0,8290.0,8.700000000000001,0.0
1,0,2020,10,6,-10.0,-999.0,0.0,24300.0,-10.0,-10.0,-10.0,3.716917516663671,20.016817092895508,15.84908676147461,20.489450454711914,14.610076904296875,5872.0751953125,267.402587890625,227.87478637695312,9.887746810913086,5.825639724731445,3163.288818359375,280.73910522460943,270.12478637695307,2.5650653839111333,7.1335105895996085,1544.0771484375,288.08441162109375,259.43728637695307,-6.2923583984375,-1.394418716430664,290.70037841796875,281.1600341796875,-7.4742164611816415,-5.08026123046875,296.40240478515625,285.94313049316406,-3.1056137084960938,-4.0655012130737305,0.0,-0.002504825592041016,0.010820388793945312,101769.0,154.8669891357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2132797241210938,-4.299118041992188,100790.0,85.65150451660156,292.36676025390625,0.0,20.1,0.0,0.0,0.0,0.0,292.9154052734375,292.287353515625,0.01029,287.7079315185547,67.7,-0.2506599426269531,-1.3500347137451172,1.3784643793478608,-0.2506599426269531,-1.3500347137451172,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.04,-2.0,1.0,92.0,14.0,8.6,0.0,0.0,19.767841339111328,0.0,0.0,0.0,0.0,--,--,--,--,--,293.8,0.0,337.4000000000001,0.0,381.0869140625,0.0,0.0,0.0,134.0,-15.5,2.9414005279541016,-6.2276973724365225,-8.038370132446289,-2.2720909118652344,14.802799224853516,10.60672378540039,4947.915703125,6.0,56200.0,4950.0,6.0,56200.0,6590.0,8340.0,8.6,0.0
2,0,2020,10,6,-10.0,-999.0,0.0,21800.0,-10.0,-10.0,-10.0,3.7329525873065,20.434207916259766,14.131755828857422,22.134981155395508,13.95071029663086,5878.9931640625,267.66815185546875,229.12478637695312,9.167726516723633,6.622100830078125,3169.21240234375,280.99801635742193,272.49978637695307,0.9243087768554688,7.457687377929687,1546.35546875,288.71466064453125,262.93728637695307,-6.301063537597656,0.4021034240722656,290.79425048828125,281.31228637695307,-9.027883529663086,-3.4574565887451167,295.87127685546875,285.6872863769531,-2.628021240234375,-4.076313018798828,0.0,-0.006062507629394531,0.004377126693725586,101797.0,156.73442840576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.665578842163086,-4.331270217895509,100810.0,85.65150451660156,291.91607666015625,0.0,23.9,0.0,0.0,0.0,0.0,292.3421630859375,291.6817321777344,0.01043,287.9372863769531,72.10000000000002,-0.10569572448730467,-1.3771095275878906,1.3798210490494969,-0.10569572448730467,-1.3771095275878906,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.04,-1.0,1.0,66.0,14.0,9.1,0.0,0.0,22.21631121635437,0.0,0.0,0.0,0.0,--,--,--,--,--,291.8,0.0,338.7000000000001,0.0,378.8218688964844,0.0,0.0,0.0,135.0,-12.8,2.4396743774414062,-5.3559417724609375,-10.203205108642578,-1.948934555053711,14.15548324584961,11.100347518920898,4950.73546875,5.0,56200.0,4950.0,5.0,56200.0,6650.0,8360.0,9.4,0.0
3,0,2020,10,6,-10.0,-999.0,0.0,20800.0,-10.0,-10.0,-10.0,3.801159869879484,20.479368209838867,14.79045867919922,22.04576873779297,14.323680877685547,5882.56494140625,267.705810546875,228.37478637695312,9.18069839477539,7.185077667236327,3173.58837890625,280.71621704101557,276.37478637695307,0.5953884124755859,7.672567367553711,1550.0992431640625,288.91009521484375,272.56228637695307,-5.147024154663086,3.39495849609375,290.7575988769531,281.31228637695307,-9.141035079956056,-2.18045425415039,295.4000244140625,286.2497863769531,-3.4924678802490234,-3.669265747070313,0.0,-0.0011930465698242188,0.02646636962890625,101831.0,159.8203392028809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5152988433837886,-3.803874969482422,100850.0,85.65150451660156,291.728515625,0.0,28.6,0.0,0.0,0.0,0.0,292.14349365234375,291.4344177246094,0.010459999999999999,287.9997863769531,74.10000000000002,-0.6775131225585938,-1.3430013656616209,1.5018320457311347,-0.6775131225585938,-1.3430013656616209,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.05,-3.0,3.0,63.0,14.0,9.4,0.0,0.0,26.92415714263916,0.0,0.0,0.0,0.0,--,--,--,--,--,288.1,0.0,345.90000000000015,0.0,377.7103576660156,0.0,0.0,0.0,141.0,-5.4,1.8932037353515625,-4.434471130371094,-9.208589553833008,-0.209014892578125,15.140792846679688,10.58680534362793,4937.428359375,4.0,56300.0,4940.0,4.0,56300.0,6630.0,8290.0,9.1,0.0
4,0,2020,10,6,-10.0,-999.0,0.0,19500.0,-10.0,-10.0,-10.0,4.539309196174145,18.931116104125977,13.584747314453125,20.65589141845703,13.687755584716795,5882.48828125,267.73681640625,217.24978637695312,9.2568359375,7.639333724975586,3172.61279296875,280.54348754882807,278.49978637695307,-0.10081100463867188,7.422380447387695,1548.615966796875,288.8050537109375,279.49978637695307,-3.931114196777344,4.314338684082031,290.8145751953125,278.56228637695307,-9.955530166625977,-1.0896987915039062,295.00799560546875,286.1247863769531,-4.939014434814453,-3.28350830078125,0.0,-0.030968189239501964,-0.003918647766113281,101815.0,158.40493774414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.018789291381836,-3.35647201538086,100830.0,85.65150451660156,291.6575927734375,0.0,33.300000000000004,0.0,0.0,0.0,0.0,292.051025390625,291.38629150390625,0.01068,288.3122863769531,76.5,-1.1227684020996094,-1.2727975845336914,1.6882958100177348,-1.1227684020996094,-1.2727975845336914,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.07,-4.0,6.0,64.0,14.0,9.2,0.0,0.0,28.73649477958679,0.0,0.0,0.0,0.0,--,--,--,--,--,288.6,0.0,348.0,0.0,377.4029235839844,0.0,0.0,0.0,134.0,17.5,1.0893669128417969,-4.037033081054688,-8.826923370361328,1.6730899810791016,16.677116394042972,10.717290878295898,4955.021953125,2.0,56200.0,4950.0,2.0,56200.0,6620.0,8270.0,4.800000000000002,0.0
5,0,2020,10,6,-10.0,-999.0,0.0,20200.0,-10.0,-10.0,-10.0,4.218674816191196,18.967443466186523,13.03338623046875,19.615671157836914,13.800273895263672,5880.82275390625,267.7494964599609,202.68728637695312,8.858267784118652,7.7510948181152335,3170.88134765625,280.379638671875,277.87478637695307,0.3264007568359375,7.4262847900390625,1546.6207275390625,289.1919860839844,282.1247863769531,-1.6202049255371094,5.076444625854492,290.5204772949219,279.49978637695307,-10.067481994628906,1.272624969482422,294.29620361328125,284.8747863769531,-5.509811401367188,-2.804910659790039,0.0,-0.01724863052368164,-0.005420684814453125,101795.0,156.62957763671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.753673553466798,-2.805246353149414,100810.0,85.65150451660156,291.59259033203125,0.0,38.2,0.0,0.0,0.0,0.0,291.8989562988281,291.2679748535156,0.010390000000000002,287.8747863769531,75.4,-1.0644588470458984,-1.1785078048706057,1.627634333446622,-1.0644588470458984,-1.1785078048706057,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,0.06,-3.0,5.0,43.0,14.0,9.9,0.0,0.0,28.60282897949219,2.25,0.0,0.0,2.25,--,--,--,--,--,289.4000000000001,0.0,346.20000000000016,0.0,377.0352630615234,0.0,0.0,0.0,135.0,46.40000000000001,1.224346160888672,-3.383594512939453,-7.529512405395508,3.5685043334960938,16.703323364257812,10.573942184448242,4962.3434375,1.0,56100.0,4960.0,1.0,56100.0,6610.0,8250.0,3.9,0.0
6,0,2020,10,6,-10.0,-999.0,0.0,21400.0,-10.0,-10.0,-10.0,4.167628951370716,18.047460556030273,12.754741668701172,17.980703353881836,14.455718994140625,5878.78857421875,267.6549835205078,214.81228637695312,8.449443817138674,7.586015701293945,3170.6806640625,279.99807739257807,278.18728637695307,0.8142757415771484,6.881027221679688,1546.68896484375,289.4317626953125,282.9997863769531,-0.4102668762207031,4.9723548889160165,290.1466369628906,285.19482421875,-9.43583869934082,2.825756072998047,294.0541076660156,284.3747863769531,-5.5548858642578125,-2.602397918701172,0.0,0.02279949188232422,-0.002879858016967773,101780.0,155.0840072631836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0069007873535165,-2.605701446533203,100790.0,85.65150451660156,291.40289306640625,0.0,42.90000000000001,0.0,0.0,0.0,0.0,291.8887023925781,291.2507629394531,0.010180000000000002,287.5622863769531,73.3,-1.1498432159423828,-1.2235393524169922,1.6894530769204719,-1.1498432159423828,-1.2235393524169922,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,0.07,-4.0,6.0,64.0,14.0,10.1,0.0,0.0,31.51826238632202,0.5,0.0,0.0,0.5,--,--,--,--,--,287.6,0.0,351.90000000000015,0.0,376.1184539794922,0.0,0.0,0.0,132.0,62.7,1.2929153442382812,-3.1151828765869136,-5.9300289154052725,4.762662887573242,16.309032440185547,9.492549896240234,4960.318359375,1.0,56100.0,4960.0,1.0,56100.0,6620.0,8290.0,4.1000000000000005,0.0
7,0,2020,10,6,-10.0,-999.0,0.0,22100.0,-10.0,-10.0,-10.0,3.9235174991190434,17.110576629638672,13.63654327392578,16.891618728637695,15.24748992919922,5875.6572265625,267.4753570556641,226.56228637695312,8.681571006774902,7.383617401123048,3170.216552734375,279.8818359375,277.93728637695307,1.1708869934082031,6.709728240966798,1545.997314453125,289.34881591796875,283.2497863769531,0.1014251708984375,4.281791687011719,290.5201416015625,287.7497863769531,-7.627162933349607,4.512554168701172,294.4407958984375,284.1247863769531,-4.8558692932128915,-2.481040954589844,0.0,-0.011209487915039062,0.02471756935119629,101751.0,152.27980041503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4427642822265625,-2.4725875854492188,100760.0,85.65150451660156,291.4745178222656,0.0,46.40000000000001,0.0,0.0,0.0,0.0,291.966796875,291.3990478515625,0.01009,287.4372863769531,72.2,-0.9820337295532228,-1.397382736206055,1.6900871391408143,-0.9820337295532228,-1.397382736206055,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,0.07,-5.0,8.0,78.0,14.0,9.9,0.0,0.0,34.18870389461517,1.625,0.0,0.0,1.625,--,--,--,--,--,286.2,0.0,357.90000000000015,0.0,376.4274597167969,0.0,0.0,0.0,134.0,86.60000000000002,1.996328353881836,-2.839252471923828,-4.380624771118163,6.8218326568603525,15.729724884033205,8.981853485107422,4934.1059375,1.0,56300.0,4930.0,1.0,56300.0,6620.0,8320.0,4.0,0.0
8,0,2020,10,6,-10.0,-999.0,0.0,21600.0,-10.0,-10.0,-10.0,4.031222099438311,16.150426864624027,14.453010559082033,16.002674102783207,16.214820861816403,5870.638671875,267.1039276123047,230.62478637695312,9.98459243774414,7.749588012695312,3167.68603515625,279.7562255859375,279.06228637695307,0.6927223205566406,7.2362060546875,1543.10595703125,289.34527587890625,283.5622863769531,-0.1417102813720703,3.5542659759521484,291.02606201171875,288.9997863769531,-6.271656036376952,4.694474220275879,294.32708740234375,284.69859313964844,-4.122464179992677,-2.9227161407470703,0.0,-0.005090713500976562,-0.0275571346282959,101699.0,147.75856018066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8654441833496085,-2.9136409759521484,100710.0,85.65150451660156,291.6205749511719,0.0,48.5,0.0,0.0,0.0,0.0,292.1076965332031,291.5484313964844,0.01015,287.4997863769531,72.7,-0.7773456573486328,-1.5465373992919922,1.7547026481479406,-0.7773456573486328,-1.5465373992919922,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,0.09,-7.0,13.0,77.0,14.0,9.4,0.0,0.0,36.772956371307366,0.0,0.0,0.0,0.0,--,--,--,--,--,283.9000000000001,0.0,362.20000000000016,0.0,377.1899871826172,0.0,0.0,0.0,123.8,94.6,2.6930809020996094,-2.681991577148437,-3.418766021728516,6.741447448730469,16.76668930053711,9.892154693603516,4886.985859375001,3.0,56600.0,4890.0,3.0,56600.0,6630.0,8350.0,2.4000000000000004,0.0
9,0,2020,10,6,-10.0,-999.0,0.0,21300.0,-10.0,-10.0,-10.0,4.11103755235672,16.91897201538086,12.915691375732422,15.929701805114744,16.140094757080078,5872.0322265625,266.64382934570307,234.49978637695312,8.979170799255371,7.709972381591798,3169.0888671875,279.85186767578125,278.87478637695307,-0.8046226501464844,6.998512268066406,1544.30224609375,289.5220031738281,283.3747863769531,-2.274708747863769,2.7208709716796875,291.73138427734375,288.8285217285156,-5.560768127441406,4.264822006225587,294.15228271484375,284.8122863769531,-3.6591701507568373,-3.2623090744018555,0.0,-0.002715587615966797,0.0009698867797851562,101690.0,147.2285614013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.359968185424806,-3.3313694000244136,100700.0,85.65150451660156,291.8272399902344,0.0,49.6,0.0,0.0,0.0,0.0,292.25750732421875,291.6329040527344,0.01019,287.5622863769531,73.10000000000002,-0.6196966171264648,-1.6576004028320312,1.7513173997867852,-0.6196966171264648,-1.6576004028320312,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,0.11,-6.0,19.0,74.0,14.0,8.8,0.0,0.0,36.76743578910828,0.0,0.0,0.0,0.0,--,--,--,--,--,283.5,0.0,362.4,0.0,378.3929748535156,0.0,0.0,0.0,110.4,77.80000000000003,2.4776744842529297,-2.8432826995849614,-3.8782920837402335,5.884450912475586,15.086957931518555,9.843551635742188,4897.3825,4.0,56600.0,4900.0,4.0,56500.0,6540.0,8330.0,1.4,0.0
