Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2020,10,7,21.5625,6262.6,0.152,13300.0,-10.0,20.0,2.5,3.034423731267452,6.269319534301758,13.25290298461914,5.019645690917969,11.24911117553711,5892.00634765625,267.8817138671875,265.06228637695307,9.592872619628906,4.413488388061523,3176.53955078125,282.08306884765625,276.68728637695307,1.2734622955322266,1.0528564453125,1542.82275390625,289.3648376464844,287.8122863769531,-5.874946594238281,1.8233842849731443,292.7106628417969,292.58482360839844,-7.613496780395508,-3.788308143615721,296.533447265625,293.8760986328125,-2.155506134033203,-2.688967704772949,0.0,0.016089439392089844,-0.02664375305175781,101582.0,137.47500801086426,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.923208236694336,-2.118812561035156,101020.0,50.49525451660156,296.1315002441406,0.0,59.90000000000001,0.0,0.0,0.0,0.0,296.12921142578125,295.27862548828125,0.016020000000000003,294.72068786621094,91.8,-1.009857177734375,-0.5615234375,1.1276118222158402,-1.009857177734375,-0.5615234375,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2188,0.06,0.0,4.0,-18.0,14.0,-0.1,0.0,0.0,54.67928302288056,38.375,74.625,99.75,99.75,62700.0,4084.862705230713,7883.884304046631,24100.0,10793.585189819336,161.8,0.0,414.8,0.0,401.1748352050781,0.0,0.0,0.0,126.0,-36.5,3.2332248687744136,-6.982746124267577,-7.71009635925293,-2.6037425994873047,11.944747924804688,8.041721343994139,4922.3789453125,84.0,56500.0,4920.0,84.0,56500.0,6670.0,8150.0,-1.7000000000000002,330.0
1,0,2020,10,7,19.375,5564.200000000003,0.16640000000000002,13100.0,-10.0,17.375,-10.0,2.7366765215992928,6.533763885498048,12.09674072265625,2.190269470214844,9.997867584228516,5900.01953125,267.7884063720703,264.31228637695307,8.579208374023438,4.7096519470214835,3182.21435546875,282.54736328125,275.06228637695307,0.1884174346923828,-0.07956314086914062,1546.4876708984375,289.3846435546875,288.8122863769531,-4.630990028381348,2.422687530517578,292.615966796875,292.4372863769531,-7.933067321777344,-3.919745445251465,297.24072265625,294.1846923828125,-2.4961872100830083,-4.104270935058594,0.0,-0.007000446319580078,-0.02660655975341797,101615.0,140.47552490234378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.892822265625,-3.4150066375732417,101040.0,50.49525451660156,295.3515930175781,0.0,60.7,0.0,0.0,0.0,0.0,295.68475341796875,294.797119140625,0.016220000000000002,294.9447021484375,92.2,-0.3942222595214844,-1.2446517944335938,1.3201100677251816,-0.3942222595214844,-1.2446517944335938,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2159,0.035,-1.0,0.0,-1.0,14.0,-0.6000000000000001,30.0,-40.0,54.47484457492829,69.375,51.5,85.0,85.0,93800.0,702.3955917358398,513.2046394348145,25600.0,9913.324630737305,174.0,0.0,431.6,0.0,396.9622802734375,0.0,0.0,0.0,114.0,-20.1,3.8792648315429688,-6.90485954284668,-8.264318466186522,-1.7372455596923828,10.806388854980467,9.378318786621094,4957.067578125,88.0,56300.0,4960.0,87.0,56300.0,6770.0,8160.0,-1.8,320.0
2,0,2020,10,7,-10.0,-999.0,0.0,12600.0,-10.0,-10.0,-10.0,3.525416696444154,6.853654861450195,13.81427764892578,0.4040946960449219,8.552780151367188,5905.33203125,267.41244506835943,264.99978637695307,5.622747421264648,4.813884735107422,3186.99365234375,283.19696044921875,271.12478637695307,0.2679634094238281,-0.5806007385253906,1548.9337158203125,289.93951416015625,287.8122863769531,-3.137367248535156,2.7803325653076167,292.5372009277344,291.5622863769531,-8.085372924804688,-3.2156295776367188,296.7861328125,293.6635437011719,-2.769006729125977,-4.895357131958008,0.0,-0.02544689178466797,0.005611181259155274,101655.0,143.6453590393066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0772743225097656,-4.316171646118163,101080.0,50.49525451660156,295.3238830566406,0.0,61.40000000000001,0.0,0.0,0.0,0.0,295.5959167480469,294.72772216796875,0.016069999999999997,294.8122863769531,93.8,-0.4187450408935547,-1.6540756225585938,1.692239971831441,-0.4187450408935547,-1.6540756225585938,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2159,0.09,-4.0,1.0,32.0,14.0,-0.6000000000000001,0.0,0.0,50.942979097366326,20.375,25.125,12.0,25.125,--,--,--,--,--,270.0,0.0,389.3,0.0,396.721923828125,0.0,0.0,0.0,108.0,10.4,4.074119567871094,-6.045991897583008,-7.5074520111083975,0.2518806457519531,8.586326599121094,9.206562042236328,4927.600117187501,88.0,56500.0,4930.0,88.0,56500.0,6660.0,8200.0,-0.9,10.0
3,0,2020,10,7,-10.0,-999.0,0.0,12400.0,-10.0,-10.0,-10.0,4.3098460361361495,8.493066787719728,15.604568481445312,1.3978767395019531,7.865470886230469,5912.6171875,268.1671142578125,263.87478637695307,4.688579559326172,3.657123565673828,3189.900390625,283.7677307128906,271.31228637695307,0.6039524078369141,-1.0472068786621094,1550.3037109375,290.1136474609375,288.5622863769531,-2.506549835205078,2.585916519165039,293.15582275390625,291.1247863769531,-7.302700042724607,-2.3385448455810547,296.745849609375,293.7497863769531,-3.742485046386719,-5.327128410339356,0.0,-0.013844490051269531,0.02843785285949707,101650.0,143.45047473907468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.908775329589844,-5.088390350341797,101070.0,50.49525451660156,294.661865234375,0.0,61.90000000000001,0.0,0.0,0.0,0.0,295.01995849609375,294.1412658691406,0.015700000000000002,294.4372863769531,94.0,-0.11462116241455078,-1.641704559326172,1.6891895433655009,-0.11462116241455078,-1.641704559326172,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2159,0.07,-3.0,-2.0,27.0,14.0,0.8,0.0,0.0,52.331584095954895,9.125,16.75,39.875,39.875,--,--,9269.729351043701,--,9624.830673217773,269.7,0.0,390.1,0.0,393.1440734863281,0.0,0.0,0.0,105.3,33.4,3.4248828887939453,-6.4113101959228525,-6.3997249603271475,2.095077514648437,8.933032989501953,8.520374298095701,4987.28609375,85.0,56200.0,4990.0,85.0,56200.0,6720.0,8180.0,-0.9,90.0
4,0,2020,10,7,-10.0,-999.0,0.0,12600.0,-10.0,-10.0,-10.0,4.118766516447066,8.555908203125,15.27597427368164,2.8968181610107417,7.249885559082031,5913.2919921875,268.39247131347656,263.37478637695307,3.3493022918701167,3.432313919067384,3189.85302734375,283.9066162109375,270.31228637695307,-0.6480178833007812,-0.9601593017578124,1550.574951171875,289.89166259765625,288.3747863769531,-3.7967605590820312,1.2854232788085938,293.03363037109375,291.7124938964844,-7.542926788330077,-1.1003456115722656,296.7312927246094,294.0276336669922,-4.8305511474609375,-4.8638916015625,0.0,-0.021897315979003903,-0.0149993896484375,101665.0,144.6115303039551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8121356964111333,-4.584012985229492,101090.0,50.49525451660156,294.399169921875,0.0,62.40000000000001,0.0,0.0,0.0,0.0,294.7110900878906,293.8671875,0.0154,294.1247863769531,93.2,-0.3849630355834961,-1.3836002349853516,1.4411507660988718,-0.3849630355834961,-1.3836002349853516,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2159,0.05,-2.0,-1.0,27.0,14.0,1.5,0.0,0.0,52.32358729839325,0.0,0.0,0.0,0.0,--,--,--,--,--,269.6,0.0,390.1,0.0,391.7882690429688,0.0,0.0,0.0,80.9,39.5,2.391988754272461,-6.442312240600586,-6.344331741333008,2.4356765747070312,8.532890319824219,8.312225341796875,5006.18875,81.0,56000.0,5010.0,81.0,56000.0,6720.0,8160.0,-0.5,50.0
5,0,2020,10,7,-10.0,-999.0,0.0,12400.0,-10.0,-10.0,-10.0,3.068544015288353,10.648962020874023,12.5792236328125,4.8517494201660165,7.785667419433594,5905.8916015625,268.033920288086,263.87478637695307,2.5306472778320312,2.238319396972656,3185.5654296875,283.86444091796875,269.62478637695307,-1.699260711669922,0.4103507995605469,1549.650146484375,289.34783935546875,288.1872863769531,-5.0875282287597665,1.1885261535644531,292.7737731933594,292.1019287109375,-7.075307846069336,0.5920982360839844,296.30157470703125,293.90419006347656,-4.5521278381347665,-4.026430130004884,0.0,-0.03098583221435547,0.0009527206420898438,101672.0,145.44073486328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.278131484985352,-3.6102886199951167,101100.0,50.49525451660156,294.0929260253906,0.0,62.7,0.0,0.0,0.0,0.0,294.3338928222656,293.44317626953125,0.015119999999999996,293.82891845703125,93.8,-0.03666973114013672,-1.2853918075561523,1.3137202253565192,-0.03666973114013672,-1.2853918075561523,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1809,0.04,-1.0,-1.0,20.0,14.0,1.7000000000000002,0.0,0.0,51.78451120853424,6.75,0.0,0.0,6.75,--,--,--,--,--,268.7,0.0,387.4,0.0,390.2034912109375,0.0,0.0,0.0,60.3,36.8,1.2856826782226562,-6.3489627838134775,-6.514148712158202,3.25076675415039,7.530464172363281,6.167526245117188,4910.88,87.0,56700.0,4910.0,87.0,56700.0,6700.0,8150.0,-1.3,220.0
6,0,2020,10,7,-10.0,-999.0,0.0,12600.0,-10.0,-10.0,-10.0,3.154798874631524,12.49891471862793,9.673851013183594,5.4726905822753915,7.045829772949219,5903.4990234375,267.9638671875,263.931396484375,2.169830322265625,2.179529190063477,3182.425048828125,283.99957275390625,268.99978637695307,-2.017284393310547,1.318803787231445,1546.494384765625,289.685546875,287.9372863769531,-5.791887283325195,0.8659267425537109,292.8572998046875,292.28465270996094,-7.2135963439941415,1.1100940704345703,296.19989013671875,293.5478820800781,-4.742888450622559,-3.7455720901489262,0.0,-0.0022711753845214844,0.025992155075073242,101628.0,141.60318756103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4891586303710938,-3.424957275390625,101060.0,50.49525451660156,294.2400207519531,0.0,63.0,0.0,0.0,0.0,0.0,294.4949035644531,293.65594482421875,0.01513,293.8122863769531,93.7,-0.4150466918945313,-1.1528787612915041,1.251100813737139,-0.4150466918945313,-1.1528787612915041,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1809,0.04,-1.0,0.0,21.0,14.0,1.7000000000000002,0.0,0.0,51.77712821960449,0.0,0.0,0.0,0.0,--,--,--,--,--,269.1,0.0,387.20000000000016,0.0,391.0929870605469,0.0,0.0,0.0,55.5,28.9,0.5488910675048828,-6.2687931060791025,-6.6601295471191415,2.805126190185547,7.5276851654052725,5.782596588134768,4904.480000000001,88.0,56700.0,4909.214000701904,88.0,56700.0,6690.0,8200.0,-1.3,180.0
7,0,2020,10,7,-10.0,-999.0,0.0,12300.0,-10.0,-10.0,-10.0,3.2255542613565917,13.296663284301758,8.938159942626953,5.963695526123048,6.2551231384277335,5897.2705078125,268.088623046875,263.43728637695307,2.8384723663330083,1.4235572814941406,3176.841552734375,283.423583984375,269.99978637695307,-1.7231979370117188,1.5345382690429688,1542.719482421875,290.08984375,287.9372863769531,-6.196037292480469,1.864116668701172,293.0882263183594,291.6706085205078,-7.1900577545166025,1.870767593383789,296.14013671875,293.14776611328125,-4.880134582519531,-3.3285226821899414,0.0,0.0141754150390625,0.01815509796142578,101573.0,136.64563751220706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.897912979125977,-3.152206420898437,101000.0,50.49525451660156,294.2258605957031,0.0,63.2,0.0,0.0,0.0,0.0,294.4991455078125,293.68658447265625,0.01522,293.9372863769531,94.7,-0.6684150695800781,-1.1559734344482422,1.3165378142148256,-0.6684150695800781,-1.1559734344482422,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1809,0.05,-2.0,0.0,25.0,14.0,1.7000000000000002,0.0,0.0,50.03272223472595,5.625,0.0,0.0,5.625,--,--,--,--,--,269.90000000000003,0.0,385.0,0.0,391.1034393310547,0.0,0.0,0.0,58.40000000000001,21.8,-0.8751277923583984,-6.554241180419923,-6.4247684478759775,3.0121555328369136,8.491003036499022,4.345619201660156,4905.92,85.0,56600.0,4910.0,85.0,56600.0,6760.0,8220.0,-0.8,60.0
8,0,2020,10,7,-10.0,-999.0,0.0,12600.0,-10.0,-10.0,-10.0,3.61238594353199,13.62552261352539,10.278160095214844,6.940031051635742,4.692184448242188,5891.6044921875,267.93865966796875,263.48915100097656,2.219955444335937,0.5598258972167969,3172.390625,283.2523193359375,271.06228637695307,-1.6666755676269531,1.5073623657226562,1538.1842041015625,290.3280944824219,287.6872863769531,-5.9141197204589835,1.7726554870605469,293.399169921875,291.32383728027344,-6.785215377807617,1.338923454284668,296.0030517578125,292.6783752441406,-4.762125015258789,-3.5848064422607417,0.0,0.01127910614013672,0.029294967651367188,101514.0,131.33509063720706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.940608978271485,-3.5743808746337886,100940.0,50.49525451660156,293.9022216796875,0.0,63.6,0.0,0.0,0.0,0.0,294.22637939453125,293.42724609375,0.01483,293.4997863769531,93.8,-0.5496397018432617,-1.3323307037353516,1.4423573100939393,-0.5496397018432617,-1.3323307037353516,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1809,0.06,-2.0,0.0,28.0,14.0,2.2,0.0,0.0,50.63847959041596,0.0,0.0,0.0,0.0,--,--,--,--,--,269.5,0.0,384.5,0.0,389.32398986816406,0.0,0.0,0.0,57.90000000000001,12.9,-1.4452457427978516,-6.8588409423828125,-6.3647708892822275,2.682971954345703,7.7596797943115225,3.190643310546875,4856.32,92.0,56900.0,4860.0,92.0,56900.0,6760.0,8220.0,-0.4,20.0
9,0,2020,10,7,-10.0,-999.0,0.0,13100.0,-10.0,-10.0,-10.0,3.4811478592455387,13.727733612060547,6.583808898925781,6.6067657470703125,3.581249237060547,5895.9326171875,268.00897216796875,263.2763061523437,1.5300960540771484,1.5319557189941406,3175.873291015625,283.40789794921875,269.0704498291016,0.13422584533691406,0.9138069152832032,1540.87841796875,290.6481018066406,286.8122863769531,-4.069154739379884,2.2193336486816406,294.22540283203125,290.1872863769531,-6.1937904357910165,1.296173095703125,296.203369140625,292.4737701416016,-4.339698791503906,-3.441503524780273,0.0,0.007884979248046875,-0.02981877326965332,101515.0,131.46967315673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5389442443847656,-3.49966812133789,100940.0,50.49525451660156,293.6602478027344,0.0,63.8,0.0,0.0,0.0,0.0,293.9642028808594,293.2392883300781,0.01454,293.1872863769531,92.2,-0.4058494567871094,-1.2196712493896484,1.2522576437331736,-0.4058494567871094,-1.2196712493896484,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1809,0.04,-2.0,0.0,37.0,14.0,2.7,0.0,0.0,49.242236375808716,0.625,0.0,0.0,0.625,--,--,--,--,--,269.40000000000003,0.0,383.4,0.0,388.0184020996094,0.0,0.0,0.0,71.7,20.9,0.2653045654296875,-6.0045013427734375,-5.481424331665039,2.6591663360595703,6.676734924316406,3.750255584716797,4866.08,95.0,56900.0,4870.0,95.0,56900.0,6780.0,8210.0,0.2,0.0
