Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2020,11,1,-10.0,-999.0,0.0,29100.0,-10.0,-10.0,-10.0,2.7412608712911606,46.26628398895264,1.437164306640625,41.693539619445794,1.240081787109375,5776.970703125,260.89212036132807,240.99978637695312,20.797164916992188,4.737541198730469,3126.58056640625,275.87803649902344,258.87478637695307,11.609682083129885,6.150407791137695,1545.4296875,280.4237060546875,267.81228637695307,4.7666053771972665,7.656562805175781,283.77752685546875,274.24978637695307,0.8416061401367188,7.915580749511719,287.958984375,275.43728637695307,-0.8244667053222656,1.1519241333007812,0.0,0.024027347564697262,0.005194664001464844,102210.0,189.3662414550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.084136962890625,3.7468509674072266,99120.0,266.4952545166016,282.8514862060547,0.0,50.40000000000001,0.0,0.0,0.0,0.0,283.50152587890625,284.21759033203125,0.0054,277.93728637695307,63.6,-0.6143007278442383,1.3321647644042969,1.5028698961250484,-0.6143007278442383,1.3321647644042969,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2048,0.04,-2.0,2.0,60.0,14.0,16.6,0.0,0.0,12.257711708545685,0.0,0.0,0.0,0.0,--,--,--,--,--,254.4,0.0,278.3,0.0,333.7931671142578,0.0,0.0,0.0,182.0,92.1,6.759677886962893,-1.3346443176269531,4.778888702392578,6.308704376220702,22.26931381225586,-0.2343406677246093,3746.56,27.0,64900.0,3750.0,27.0,64800.0,5420.0,6790.0,13.9,0.0
1,0,2020,11,1,-10.0,-999.0,0.0,24900.0,-10.0,-10.0,-10.0,3.215641574934125,47.74855899810791,3.417804718017578,41.9890079498291,3.902633666992188,5778.79345703125,260.85501098632807,241.49978637695312,20.214954376220703,6.3354034423828125,3129.00146484375,276.03530883789057,259.87478637695307,12.006980895996096,5.5367088317871085,1546.0498046875,280.98190307617193,269.43728637695307,4.7828025817871085,8.506349563598633,284.33953857421875,275.37478637695307,1.8505401611328125,9.285619735717773,287.2179260253906,276.06228637695307,-0.9879426956176758,1.2592411041259766,0.0,0.02593517303466797,-0.031206846237182617,102195.0,188.2051544189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7220935821533203,4.4731101989746085,99100.0,266.4952545166016,281.6792449951172,0.0,51.40000000000001,0.0,0.0,0.0,0.0,282.270751953125,283.05401611328125,0.005410000000000001,277.93728637695307,69.0,-0.9546241760253906,1.3678474426269531,1.6903071824926883,-0.9546241760253906,1.3678474426269531,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2042,0.04,-2.0,2.0,56.0,14.0,17.3,0.0,0.0,13.22039008140564,0.0,0.0,0.0,0.0,--,--,--,--,--,252.8,0.0,279.0,0.0,328.32167053222656,0.0,0.0,0.0,193.0,113.1,7.079324722290039,-0.7032451629638672,5.194780349731445,7.049400329589844,21.70156478881836,0.5930709838867188,3745.92,27.0,64900.0,3750.0,27.0,64800.0,5420.0,6800.0,12.7,0.0
2,0,2020,11,1,-10.0,-999.0,0.0,22000.0,-10.0,-10.0,-10.0,3.862957030534744,47.79601192474365,7.956794738769531,41.92398643493652,7.8772125244140625,5774.7890625,260.99099731445307,240.93728637695312,20.843412399291992,7.6173057556152335,3124.04833984375,276.36656188964844,260.49978637695307,12.186271667480467,6.3026123046875,1539.447998046875,281.1705322265625,269.87478637695307,4.621623992919922,11.376035690307615,284.4670104980469,275.68728637695307,1.9775123596191408,10.845521926879883,286.601806640625,276.81228637695307,-0.8913116455078125,1.476125717163086,0.0,0.021097183227539062,-0.0182645320892334,102110.0,181.1972198486328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8309307098388672,5.570972442626953,99020.0,266.4952545166016,281.12852478027344,0.0,52.3,0.0,0.0,0.0,0.0,281.70684814453125,282.5075378417969,0.0054399999999999995,277.99978637695307,73.4,-0.952092170715332,1.527109146118164,1.8142871116288009,-0.952092170715332,1.527109146118164,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2042,0.06,-3.0,2.0,50.0,14.0,17.8,0.0,0.0,13.664082527160645,0.0,16.5,95.875,95.875,--,--,8242.060501098633,--,10460.310913085938,242.5,0.0,283.5,0.0,325.6878356933594,0.0,0.0,0.0,209.0,129.9,7.467113494873048,0.5632858276367188,4.696866989135742,9.89430046081543,22.28599548339844,1.0626907348632812,3763.04,25.0,64800.0,3760.0,25.0,64600.0,5450.0,6820.0,12.6,0.0
3,0,2020,11,1,-10.0,-999.0,0.0,22600.0,-10.0,-10.0,-10.0,4.341878540813924,47.39414405822754,10.936023712158203,41.83428001403809,11.27741241455078,5766.25,260.42633056640625,240.68728637695312,21.287242889404297,9.605880737304688,3121.076416015625,275.7177124023437,261.2065277099609,12.654092788696287,7.287935256958008,1536.4658203125,281.00216674804693,271.31228637695307,6.614328384399414,13.782285690307615,284.553466796875,275.87478637695307,5.140251159667969,12.99030303955078,286.58453369140625,277.37478637695307,-0.5582027435302734,1.7114219665527344,0.0,-0.011423110961914062,-0.029908657073974613,102088.0,178.86770248413086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5843086242675781,7.5409584045410165,98990.0,266.4952545166016,280.4362945556641,0.0,53.2,0.0,0.0,0.0,0.0,281.30438232421875,282.1501770019531,0.005430000000000001,277.99978637695307,72.10000000000002,-0.6621980667114258,1.4630489349365234,1.6299071959219873,-0.6621980667114258,1.4630489349365234,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2042,0.04,-3.0,1.0,50.0,14.0,17.0,0.0,0.0,14.46575677394867,0.0,0.0,90.25,90.25,--,--,8790.270385742188,--,10643.548843383789,251.2,0.0,280.7,0.0,322.6988525390625,0.0,0.0,0.0,226.0,176.70000000000005,9.279741287231444,2.192071914672852,6.966156005859375,12.707586288452148,21.286296844482425,1.605632781982422,3652.8,27.0,65600.0,3650.0,27.0,65500.0,5350.0,6770.0,11.8,0.0
4,0,2020,11,1,-10.0,-999.0,0.0,21600.0,-10.0,-10.0,-10.0,4.426241435110568,48.08549308776856,11.807205200195312,42.699607849121094,13.50360107421875,5757.85546875,259.9731292724609,241.06228637695312,21.85212516784668,12.205379486083984,3118.45654296875,275.1809844970703,261.9472045898437,13.629798889160154,8.017894744873049,1534.083740234375,280.8468017578125,272.7407989501953,9.332914352416992,14.401477813720705,284.7051696777344,276.0231475830078,7.893043518066406,14.486072540283205,286.3818359375,277.99978637695307,-0.3356037139892578,1.6302013397216797,0.0,-0.025655746459960938,-0.016219139099121094,102064.0,176.52174377441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3772239685058594,7.828338623046875,98970.0,266.4952545166016,280.0956573486328,0.0,54.1,0.0,0.0,0.0,0.0,281.0404663085937,281.9106750488281,0.0055000000000000005,278.18728637695307,73.5,-0.4381828308105469,1.309587478637695,1.3766707760514691,-0.4381828308105469,1.309587478637695,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2042,0.04,-3.0,1.0,60.0,14.0,16.400000000000002,0.0,0.0,15.040445566177368,0.0,0.0,58.5,58.5,--,--,9047.927494049072,--,9541.514442443848,250.8,0.0,281.8,0.0,321.1314849853516,0.0,0.0,0.0,251.0,217.4,11.524166107177734,3.372655868530273,9.598468780517578,13.587942123413086,20.60449409484864,3.649211883544922,3522.4,31.0,66700.0,3520.0,31.0,66600.0,5250.0,6730.0,11.0,0.0
5,0,2020,11,1,-10.0,-999.0,0.0,21300.0,-10.0,-10.0,-10.0,5.0110510885715485,48.36491775512695,13.62250518798828,43.20369243621826,15.293807983398438,5748.814453125,259.53668212890625,241.06228637695312,22.765026092529297,14.882598876953125,3113.83837890625,274.65652465820307,261.86688232421875,14.81488800048828,8.568689346313478,1530.0723876953125,280.86590576171875,273.54595947265625,12.366003036499025,14.529386520385742,284.55303955078125,276.43728637695307,9.271087646484377,15.661775588989258,286.43902587890625,278.384017944336,-0.0765981674194336,2.359195709228516,0.0,0.02500438690185547,0.013591766357421877,102025.0,172.820556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2436447143554688,8.260713577270508,98930.0,266.4952545166016,279.99996948242193,0.0,54.8,0.0,0.0,0.0,0.0,281.11282348632807,282.0110778808594,0.00561,278.43728637695307,73.60000000000002,-0.3750419616699219,2.0682029724121094,2.1262018904089928,-0.3750419616699219,2.0682029724121094,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2004,0.06,-5.0,1.0,60.0,14.0,15.4,0.0,0.0,15.20823222398758,0.0,0.0,2.0,2.0,--,--,--,--,--,250.9,0.0,282.6,0.0,320.75318908691406,0.0,0.0,0.0,280.6,245.8,13.414175033569336,4.398944854736328,11.963943481445312,12.811178207397461,20.961875915527344,5.4028663635253915,3406.24,34.0,67600.0,3410.0,34.0,67500.0,5180.0,6700.0,10.1,0.0
6,0,2020,11,1,-10.0,-999.0,0.0,21400.0,-10.0,-10.0,-10.0,5.295612212270498,49.33287239074707,16.763740539550778,45.04581260681152,18.15163803100586,5735.77197265625,259.35205078125,241.06228637695312,23.48731231689453,18.206871032714844,3106.28125,273.59933471679693,261.81228637695307,14.181943893432615,9.088354110717773,1525.383056640625,280.81964111328125,274.51785278320307,14.346540451049805,14.360050201416016,284.48394775390625,277.07798767089844,11.239015579223633,16.347625732421875,286.2482604980469,278.86624145507807,-0.038604736328125,2.340858459472656,0.0,-0.02433490753173828,-0.015638351440429688,101988.0,168.9804267883301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2993736267089844,8.480722427368164,98880.0,266.4952545166016,280.0383453369141,0.0,55.5,0.0,0.0,0.0,0.0,281.22286987304693,282.1588134765625,0.005679999999999999,278.5975952148437,73.4,-0.5844621658325195,1.9910755157470703,2.127448306651786,-0.5844621658325195,1.9910755157470703,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2004,0.05,-6.0,1.0,50.0,14.0,14.9,0.0,0.0,15.619849562644957,0.0,0.0,32.625,32.625,--,--,--,--,--,251.1,0.0,283.9000000000001,0.0,320.67784118652344,0.0,0.0,0.0,274.3,263.90000000000003,15.106124877929688,5.570493698120117,14.41690444946289,12.533941268920898,20.45081329345703,8.156620025634767,3190.08,40.0,69400.0,3190.0,40.0,69300.0,5130.0,6670.0,9.0,0.0
7,0,2020,11,1,-10.0,-999.0,0.0,20200.0,-10.0,-10.0,-10.0,6.792223524302244,50.27221298217773,17.008533477783207,45.040345191955566,18.92844009399414,5723.8232421875,259.1971435546875,241.43728637695312,24.1041202545166,20.40143585205078,3099.56982421875,272.7037353515625,262.09849548339844,13.405192375183105,9.645599365234377,1522.226318359375,280.3212280273437,276.490249633789,16.808849334716793,13.625347137451172,284.62957763671875,279.35992431640625,13.422107696533205,17.79010009765625,286.10296630859375,279.7019195556641,0.3555889129638672,2.401418685913086,0.0,0.017081260681152344,0.010107994079589844,101962.0,166.09298706054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6048870086669917,9.08198356628418,98840.0,266.4952545166016,280.0286102294922,0.0,56.1,0.0,0.0,0.0,0.0,281.3072509765625,282.2696228027344,0.00589,279.13088989257807,75.3,0.029066085815429688,2.3301925659179688,2.3144283381989226,0.029066085815429688,2.3301925659179688,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2004,0.06,-6.0,0.0,50.0,14.0,14.2,0.0,0.0,17.451221644878387,18.375,0.0,73.75,73.75,--,--,8223.720840454102,--,9024.087982177734,250.6,0.0,288.7,0.0,320.87445068359375,0.0,0.0,0.0,289.9000000000001,287.7,16.596366882324222,6.599533081054688,16.61503028869629,12.315162658691404,19.648679733276367,9.313835144042967,3028.8,45.0,70700.0,3030.0,45.0,70600.0,5060.0,6630.0,6.6000000000000005,0.0
8,0,2020,11,1,-10.0,-999.0,0.0,18800.0,-10.0,-10.0,-10.0,7.291649594902992,51.21680927276611,18.60509490966797,45.6666316986084,20.83306884765625,5711.5244140625,258.90725708007807,242.06228637695312,26.525269508361816,21.18499755859375,3091.210693359375,272.1851348876953,261.18585205078125,12.698223114013672,10.860015869140623,1517.9276123046875,279.54266357421875,277.6238555908203,20.124950408935547,13.639503479003904,284.6412353515625,280.62478637695307,15.939855575561525,18.48444938659668,285.9953308105469,280.4644927978516,0.4655990600585938,2.4688377380371094,0.0,-0.016057968139648438,0.0004146099090576172,101924.0,162.4379425048828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9915847778320312,9.200174331665039,98790.0,266.4952545166016,280.4757843017578,0.0,56.6,0.0,0.0,0.0,0.0,281.48095703125,282.4515686035156,0.006070000000000001,279.552261352539,78.2,0.21282196044921875,2.167154312133789,2.126826861873269,0.21282196044921875,2.167154312133789,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2004,0.06,-5.0,0.0,40.0,14.0,13.7,0.0,0.0,18.20173001289368,5.0,0.0,0.0,5.0,--,--,--,--,--,250.9,0.0,290.6,0.0,322.6568298339844,0.0,0.0,0.0,352.90000000000015,344.40000000000015,18.011066436767578,7.0227928161621085,20.22001075744629,12.78654670715332,21.234294891357425,9.754913330078123,2939.200000000001,43.0,71400.0,2940.0,43.0,71300.0,4990.0,6560.0,6.2,0.0
9,0,2020,11,1,-10.0,-999.0,0.0,17200.0,-10.0,-10.0,-10.0,8.71794805303216,51.4583683013916,20.30606460571289,47.896220207214355,22.755794525146484,5697.55419921875,258.02978515625,243.62478637695312,28.68805885314941,21.29440689086914,3081.7431640625,271.9762725830078,259.93728637695307,13.445962905883787,12.390186309814453,1511.013916015625,279.24514770507807,276.9327850341797,22.50163078308105,13.735603332519533,284.14239501953125,281.8747863769531,18.51670265197754,17.120826721191403,286.53997802734375,281.92628479003906,1.9174261093139648,3.4454593658447266,0.0,-0.02897357940673828,-0.017677783966064453,101855.0,156.4359550476074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.454235076904297,9.673933029174805,98720.0,266.4952545166016,281.5286865234375,0.0,57.1,0.0,0.0,0.0,0.0,282.881103515625,283.89501953125,0.006710000000000001,281.01258850097656,81.4,1.3320579528808594,2.70758056640625,3.0030198071617638,1.3320579528808594,2.70758056640625,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2004,0.13,-21.0,1.0,20.0,14.0,10.8,0.0,0.0,18.30999964475632,37.25,0.0,0.0,37.25,--,--,--,--,--,253.2,0.0,293.1,0.0,327.59222412109375,0.0,0.0,0.0,351.0,331.7000000000001,19.923751831054688,7.227567672729492,21.00177383422852,12.205085754394533,21.41999053955078,9.863800048828123,2886.4,41.0,71800.0,2890.0,40.0,71700.0,4870.0,6400.0,4.800000000000002,10.0
