Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2020,11,30,7.9375,-999.0,0.0264,26800.0,-10.0,6.8125,6.8125,1.9251493811607359,36.05046081542969,40.46433639526367,33.328527450561516,37.64739608764648,5638.3779296875,257.9613037109375,256.37478637695307,11.04672145843506,13.40435028076172,3027.93896484375,273.8028564453125,243.43728637695312,1.5612363815307615,14.112953186035154,1461.259765625,279.07373046875,269.81228637695307,2.1154890060424805,8.425939559936522,283.94781494140625,274.43728637695307,-0.7975711822509766,6.1579551696777335,287.5413818359375,278.12478637695307,-1.147146224975586,0.14702129364013672,0.0,-0.007801055908203125,-0.005712032318115234,101249.0,106.37176704406738,0.0,11.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4471435546875,0.7896308898925781,98390.0,246.7765045166016,282.91676330566406,0.0,18.9,0.0,0.0,0.0,0.0,283.6450500488281,285.0132751464844,0.0056300000000000005,278.43728637695307,64.0,-0.9345741271972656,0.13319969177246094,0.9392868315335364,-0.9345741271972656,0.13319969177246094,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977,0.02,-2.0,0.0,30.0,14.0,12.0,0.0,0.0,14.95038665831089,0.0,100.0,100.0,100.0,61700.0,4034.205249786377,4669.869831085205,27300.0,10353.629600524902,165.60000000000005,0.0,332.5,0.0,334.30772399902344,0.0,0.0,0.0,112.0,77.30000000000003,7.4632320404052725,3.3250732421875,2.6302032470703125,7.687265396118164,11.834672927856445,11.41875457763672,3127.200000000001,10.0,69200.0,3130.0,10.0,69100.0,4500.0,6480.0,11.0,0.0
1,0,2020,11,30,-0.8125,-999.0,0.008,24300.0,-10.0,-0.8125,-0.8125,0.6778015233576298,32.212895393371575,43.8955192565918,34.089083671569824,37.11497497558594,5629.1650390625,257.93524169921875,255.87478637695312,11.402717590332033,12.1146240234375,3020.919677734375,272.71017456054693,237.99978637695312,5.082725524902344,15.675182342529295,1457.6314697265625,278.71630859375,271.74978637695307,3.8308811187744136,9.286376953125,284.2957763671875,273.81228637695307,1.2960433959960938,6.6513004302978525,287.3876647949219,278.18728637695307,-0.33457183837890625,-0.07082748413085938,0.0,0.007199287414550781,-0.021720409393310547,101220.0,103.3471622467041,0.0,4.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9117393493652344,0.3932533264160156,98340.0,246.7765045166016,282.40850830078125,0.0,19.8,0.0,0.0,0.0,0.0,283.1001281738281,284.4595031738281,0.005710000000000001,278.62478637695307,67.9,-0.3676586151123047,-0.4864397048950195,0.6275171407032758,-0.3676586151123047,-0.4864397048950195,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977,0.02,-1.0,0.0,40.0,14.0,12.2,0.0,0.0,14.880359500646591,4.75,100.0,100.0,100.0,61600.0,4027.158847808838,6412.424263000488,27300.0,10343.282913208008,184.2,0.0,308.5,0.0,331.8621826171875,0.0,0.0,0.0,115.0,76.0,8.01700496673584,2.798847198486328,3.8820781707763667,8.944723129272461,11.665252685546875,8.761829376220701,2831.36,12.0,71800.0,2830.0,12.0,71700.0,4540.0,6380.0,11.1,0.0
2,0,2020,11,30,6.5625,-999.0,0.024,23600.0,-10.0,6.5625,4.4375,1.971073400229216,32.45931339263916,46.04936981201172,29.075344562530518,40.437049865722656,5623.8349609375,257.88442993164057,256.24978637695307,7.981194019317628,15.046382904052734,3010.78271484375,271.8123016357422,255.43728637695312,3.996299743652344,17.408416748046875,1448.65869140625,278.7748413085937,271.12478637695307,4.2672977447509775,8.279796600341799,284.7403564453125,272.99978637695307,1.193084716796875,4.8493080139160165,287.8647155761719,278.18728637695307,-0.9651994705200196,-1.6213979721069336,0.0,0.0071659088134765625,0.018161535263061523,101111.0,93.86454010009766,0.0,11.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1144351959228516,-1.617666244506836,98220.0,246.7765045166016,282.1392364501953,0.0,20.700000000000006,0.0,0.0,0.0,0.0,282.9729919433594,284.43601989746094,0.005860000000000001,278.93728637695307,69.10000000000001,-0.6786460876464844,-1.7329130172729492,1.8764948707539588,-0.6786460876464844,-1.7329130172729492,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977,0.05,-4.0,0.0,40.0,14.0,11.8,0.0,0.0,16.920108824968338,1.625,100.0,100.0,100.0,66000.0,3477.7592430114746,4132.2675704956055,24100.0,11487.552597045898,152.9,0.0,332.0,0.0,330.5365295410156,0.0,0.0,0.0,68.0,77.0,9.469518661499023,4.773223876953125,4.3492584228515625,9.022209167480467,8.803855895996094,13.644184112548828,2627.36,34.0,73500.0,2630.0,34.0,73400.0,4780.0,6260.0,10.9,0.0
3,0,2020,11,30,14.5625,-999.0,0.064,21100.0,-10.0,14.5625,10.5,2.4209739640355106,29.164883613586426,48.66844940185547,26.763648509979248,45.69262313842773,5617.75,257.70071411132807,256.12478637695307,10.487977981567383,14.455215454101562,3003.34375,270.8274078369141,261.99978637695307,0.08392810821533203,19.44741439819336,1440.6756591796875,278.385498046875,272.62478637695307,4.755487442016602,6.4962406158447275,284.88592529296875,273.18728637695307,1.282562255859375,4.379528045654297,287.57904052734375,278.43728637695307,-1.375347137451172,-0.8143310546875,0.0,0.013188362121582031,0.013275146484375,101024.0,86.25228881835938,0.0,18.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6089859008789062,-1.5909538269042969,98130.0,246.7765045166016,281.82554626464844,0.0,21.6,0.0,0.0,0.0,0.0,282.5048065185547,284.0483093261719,0.005960000000000001,279.18728637695307,73.5,-1.2728195190429688,-0.3983907699584961,1.3142372220754623,-1.2728195190429688,-0.3983907699584961,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977,0.03,-2.0,0.0,40.0,14.0,11.8,0.0,0.0,19.268032938241962,11.125,100.0,100.0,100.0,70100.0,2995.956123352051,3776.6082763671875,25600.0,11037.26286315918,151.9,0.0,343.5,0.0,329.0722351074219,0.0,0.0,0.0,-5.0,61.0,8.287368774414062,3.415313720703125,6.287162780761719,6.643028259277344,13.887920379638672,13.319190979003904,2612.08,54.0,73600.0,2610.0,54.0,73500.0,4850.0,6240.0,10.1,0.0
4,0,2020,11,30,24.5625,4222.4000000000015,0.184,20500.0,22.4375,3.1875,1.125,3.284874115139246,26.58074378967285,48.20270919799805,26.029125690460205,45.8639030456543,5603.009765625,258.4906463623047,257.12478637695307,5.477381229400635,14.003162384033205,2983.82080078125,270.254150390625,269.31228637695307,-0.0809793472290039,19.934112548828125,1426.347900390625,277.59646606445307,273.68728637695307,2.4540252685546875,4.263389587402344,283.9885559082031,273.43728637695307,0.04805755615234375,1.88711166381836,286.521240234375,278.68728637695307,-1.2582263946533203,-0.9390792846679688,0.0,0.004277229309082031,-0.02300500869750977,100901.0,75.72397994995117,0.0,7.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3807430267333984,-3.1876144409179688,97980.0,246.7765045166016,281.89971923828125,0.0,23.4,0.0,0.0,0.0,0.0,282.3787841796875,284.0225830078125,0.00587,278.93728637695307,74.8,-0.7197380065917969,-1.0838661193847656,1.3164121173322199,-0.7197380065917969,-1.0838661193847656,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977,0.03,-1.0,0.0,30.0,14.0,13.2,0.0,0.0,22.274817675352093,97.5,100.0,100.0,100.0,83600.0,1556.7911281585693,3224.244728088379,41300.0,10681.134979248047,200.3,0.0,349.3,0.0,329.40625,0.0,0.0,0.0,86.0,37.2,8.790863037109375,5.0109214782714835,3.3148231506347656,4.8465538024902335,6.751911163330077,15.509315490722654,2260.88,95.0,76700.0,2260.0,95.0,76600.0,4870.0,6410.0,9.9,0.0
5,0,2020,11,30,28.6875,4390.8,0.272,17100.0,24.0625,8.0,3.25,4.980546701699495,23.92434883117676,46.24747085571289,26.32029676437378,46.00417709350586,5591.3818359375,258.24203491210943,256.68728637695307,3.1289167404174805,16.687034606933597,2975.1064453125,270.40069580078125,270.31228637695307,-2.095788955688477,20.11339569091797,1416.0771484375,276.98495483398443,275.49978637695307,-2.2477035522460938,2.975860595703125,282.4369812011719,278.12478637695307,-3.188831329345703,1.605268478393555,285.1040954589844,279.74978637695307,-1.6256256103515625,0.007709503173828125,0.0,-0.01892852783203125,0.02175617218017578,100813.0,68.40271949768065,14.1875,11.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026100000000000003,0.0,0.0,0.0,-6.489391326904298,-1.854990005493164,97930.0,246.7765045166016,282.1222686767578,0.0,46.2,0.0,0.0,0.0,0.0,282.3858337402344,284.0875244140625,0.00642,280.24978637695307,84.0,-1.4813346862792969,0.228485107421875,1.5046113319694996,-1.4813346862792969,0.228485107421875,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977,0.05,-2.0,2.0,10.0,14.0,12.4,0.0,0.0,24.36352208256721,22.25,63.25,11.625,63.25,86300.0,1292.8776149749754,--,41300.0,--,197.9,0.0,352.1,0.0,330.29217529296875,0.0,0.0,0.0,114.0,30.9,6.239173889160156,5.790298461914063,-0.6879520416259766,2.1649036407470703,6.768989562988281,18.496810913085934,2369.76,100.0,75600.0,2370.0,100.0,75500.0,4790.0,6340.0,9.4,10.0
6,0,2020,11,30,20.8125,2638.4,0.1232,14900.0,20.25,4.9375,1.9375,5.762250795960426,24.56622886657715,41.79376220703125,25.05440807342529,47.55729675292969,5571.98046875,257.8671722412109,256.31228637695307,4.901725769042969,17.51885986328125,2959.38330078125,270.23741149902344,270.12478637695307,-1.5554580688476562,21.04340362548828,1400.1702880859375,277.11199951171875,276.62478637695307,-2.734413146972656,2.7742061614990234,281.98919677734375,278.52964782714844,-4.8298683166503915,-0.5602779388427734,283.98834228515625,280.866943359375,-1.0664386749267578,-1.1468391418457031,0.0,-0.03635215759277344,0.018973588943481445,100672.0,56.58490943908691,13.125,9.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,-5.038373947143555,-2.610097885131836,97770.0,246.7765045166016,281.9570007324219,0.0,61.7,0.0,0.0,0.0,0.0,281.953857421875,283.8071594238281,0.006540000000000001,280.48797607421875,90.0,-0.05756187438964844,-0.9922504425048828,1.0003998861648142,-0.05756187438964844,-0.9922504425048828,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977,0.04,0.0,3.0,0.0,14.0,12.3,0.0,0.0,24.447024881839752,77.5,54.25,0.0,77.5,86200.0,1289.419038772583,1067.859058380127,38300.0,7620.399940490723,189.5,0.0,349.5,0.0,329.5643310546875,0.0,0.0,0.0,197.0,60.0,5.667093276977539,5.001161575317383,-3.540637969970703,3.069873809814453,10.232402801513672,20.369140625,2273.36,100.0,76400.0,2270.0,100.0,76300.0,4730.0,6210.0,7.7,0.0
7,0,2020,11,30,16.5,-999.0,0.0752,13600.0,15.9375,-10.0,-10.0,3.8417713865637775,21.798486709594727,39.565025329589844,20.566965103149414,41.9868392944336,5564.087890625,257.9523468017578,256.12478637695307,11.819294929504395,24.14108657836914,2951.072021484375,271.1422119140625,271.12478637695307,3.36343765258789,18.608741760253906,1388.000244140625,276.98233032226557,276.87478637695307,-3.836841583251953,0.5103645324707031,281.44244384765625,279.49978637695307,-5.8648109436035165,-0.6232986450195312,283.3523254394531,281.8293914794922,-0.4280948638916016,-1.4535598754882812,0.0,-0.03397369384765625,-0.02741098403930664,100522.0,44.12284469604492,17.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043100000000000005,0.0,0.02,0.0,-2.867149353027344,-2.398031234741211,97640.0,246.7765045166016,281.851806640625,0.0,56.0,0.0,0.0,0.0,0.0,281.80621337890625,283.72254943847656,0.006600000000000001,280.5762939453125,91.9,0.5232563018798828,-1.6261482238769531,1.6903358306735754,0.5232563018798828,-1.6261482238769531,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977,0.11,0.0,8.0,0.0,14.0,12.1,0.0,0.0,24.819197416305546,100.0,32.0,0.0,100.0,86000.0,1288.8175888061526,1066.7687225341797,61300.0,4008.340461730957,223.6,0.0,349.6,0.0,329.18963623046875,0.0,0.0,0.0,231.0,44.2,7.386808395385742,4.6181678771972665,-5.149826049804688,1.0055179595947266,15.668699264526367,27.276878356933594,2587.28,100.0,73400.0,2590.0,100.0,73300.0,4710.0,6190.0,7.6,10.0
8,0,2020,11,30,16.5625,-999.0,0.0604,12900.0,14.125,-10.0,-10.0,3.1663879007101063,21.73145866394043,32.93114471435547,17.991424560546875,37.94180679321289,5552.93359375,256.94992065429693,253.18728637695312,9.436898231506348,26.9843864440918,2939.44140625,271.3590087890625,271.24395751953125,2.2440109252929688,14.92385482788086,1376.53466796875,276.86309814453125,276.74978637695307,-4.4954681396484375,-1.1811370849609375,280.7586669921875,280.7388458251953,-3.995647430419922,-1.232685089111328,282.59893798828125,281.5622863769531,-0.24835872650146484,-2.3874950408935547,0.0,-0.015974998474121094,-0.016841411590576172,100405.0,34.350069046020515,22.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028899999999999998,0.0,0.0,0.0,-0.3792858123779297,-3.1481723785400386,97530.0,246.7765045166016,281.58384704589844,0.0,60.5,0.0,0.0,0.0,0.0,281.27569580078125,283.32293701171875,0.006410000000000001,280.12478637695307,93.2,0.2501811981201172,-2.672842025756836,2.6915566101670265,0.2501811981201172,-2.672842025756836,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977,0.19,8.0,17.0,0.0,14.0,11.9,0.0,0.0,24.47441205382347,99.125,22.875,0.0,99.125,94400.0,518.6172256469727,411.8552131652832,65600.0,4001.420211791992,229.2,0.0,353.70000000000016,0.0,327.98072814941406,0.0,0.0,0.0,183.0,38.7,8.163307189941406,4.469480514526367,-5.4451751708984375,0.7284049987792969,11.278514862060547,30.068012237548828,2621.12,100.0,72900.0,2620.0,100.0,72800.0,4660.0,6060.0,7.2,0.0
9,0,2020,11,30,23.6875,6769.6,0.3136,7400.0,23.0,18.875,18.875,5.3826980367302895,23.55247592926025,31.46401214599609,15.876981258392336,39.20976257324219,5536.3330078125,256.50613403320307,254.81228637695312,7.851132392883301,23.73119354248047,2923.51513671875,271.6239624023437,271.5985870361328,0.3344440460205078,14.425750732421875,1361.45361328125,276.82962036132807,276.74978637695307,-5.70265007019043,-1.5164260864257812,280.05841064453125,280.12478637695307,-0.5515804290771484,-4.0583839416503915,282.10858154296875,281.5788879394531,0.4820690155029297,-2.422672271728516,0.0,-0.024338722229003903,-0.02805328369140625,100241.0,20.562328338623047,28.5,24.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,0.5038871765136719,-4.464071273803711,97390.0,246.7765045166016,281.1739044189453,0.0,72.3,0.1,0.0,0.0,0.0,280.787353515625,282.97755432128906,0.00644,280.1931610107422,96.5,0.7060909271240234,-2.7076244354248047,2.816790501121432,0.7060909271240234,-2.7076244354248047,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3977,0.19,9.0,14.0,0.0,14.0,11.6,0.0,0.0,24.431454598903656,100.0,64.375,0.0,100.0,94200.0,517.6001319885254,332.22801208496094,41200.0,5795.428047180176,183.1,0.0,350.20000000000016,0.0,325.8858947753906,0.0,0.0,0.0,260.0,55.0,8.009951591491701,4.2159385681152335,-6.8309688568115225,-0.10009384155273438,5.940460205078125,27.588512420654297,2593.84,100.0,73000.0,2590.0,100.0,72900.0,4600.0,5960.0,7.2,0.0
