Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2020,11,30,26.5625,6895.200000000003,0.4888,12200.0,25.5625,20.6875,16.375,15.237649381160734,26.36296081542969,27.651836395263672,22.266027450561523,24.147396087646484,5746.0654296875,261.7113037109375,260.68728637695307,18.92172145843506,13.21685028076172,3084.00146484375,277.8653564453125,276.12478637695307,19.18623638153076,12.925453186035154,1468.978515625,286.82373046875,282.3747863769531,12.55298900604248,21.675939559936523,289.38531494140625,289.5622863769531,0.5774288177490234,23.15795516967773,291.2913818359375,290.5622863769531,-3.3346462249755864,6.459521293640138,0.0,-0.007801055908203125,-0.005712032318115234,100996.0,84.34051704406737,15.8125,23.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00193,0.0,0.0,0.0,-5.8221435546875,11.977130889892578,100010.0,79.24525451660156,290.85426330566406,0.0,96.5,0.2,0.0,0.0,0.0,291.2700500488281,291.2632751464844,0.01244,290.5622863769531,94.7,-3.3720741271972656,7.883199691772461,8.564286831533536,-3.3720741271972656,7.883199691772461,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.58,-26.0,0.0,-20.0,14.0,0.7000000000000001,0.0,0.0,43.20038665831089,100.0,92.75,100.0,100.0,96800.0,363.20524978637695,168.74483108520508,25600.0,11701.879600524902,148.0,0.0,405.8,0.0,373.3077239990234,0.0,0.0,0.0,707.0,460.0,8.775732040405272,8.0750732421875,12.067703247070312,16.499765396118164,23.834672927856445,-0.9562454223632812,3892.56,96.0,63400.0,3890.0,96.0,63300.0,5500.0,7080.0,-2.7,370.0
1,0,2020,11,30,29.6875,5707.400000000002,0.5584,8800.0,27.0,20.5,7.1875,11.74030152335763,26.712895393371586,26.0205192565918,26.776583671569824,18.239974975585934,5749.9775390625,263.18524169921875,261.12478637695307,22.27771759033203,21.6146240234375,3085.200927734375,276.33517456054693,275.62478637695307,20.082725524902344,10.862682342529297,1476.7252197265625,286.96630859375,283.5622863769531,9.643381118774414,17.411376953125,290.6082763671875,290.4997863769531,3.9835433959960938,19.27630043029785,291.7001647949219,290.8122863769531,-1.6470718383789062,4.8666725158691415,0.0,0.007199287414550781,-0.021720409393310547,101005.0,87.3784122467041,26.8125,16.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026100000000000003,0.0,0.0,0.0,-2.6617393493652344,8.518253326416017,100110.0,79.24525451660156,291.15850830078125,0.0,99.4,0.2,0.0,0.0,0.0,291.3501281738281,291.2720031738281,0.01266,290.8747863769531,96.0,-1.680158615112305,5.2010602951049805,5.4400171407032785,-1.680158615112305,5.2010602951049805,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.37,-10.0,0.0,-10.0,14.0,1.8,70.0,-104.0,45.00535950064659,100.0,100.0,100.0,100.0,98200.0,242.0338478088379,168.92426300048828,25600.0,11675.657913208008,154.10000000000005,0.0,408.4,0.0,374.7371826171875,0.0,0.0,0.0,345.0,328.0,13.76700496673584,7.986347198486327,9.132078170776367,13.757223129272461,22.790252685546875,11.261829376220705,3640.16,99.0,65400.0,3640.0,99.0,65300.0,5740.0,7190.0,-2.8000000000000003,960.0
2,0,2020,11,30,20.4375,6063.8,0.104,12200.0,8.375,-1.8125,14.9375,11.471073400229216,18.95931339263916,24.29936981201172,18.63784456253052,23.437049865722656,5739.5537109375,262.38442993164057,261.37478637695307,20.23119401931763,20.671382904052734,3080.06396484375,277.3748016357422,273.37478637695307,18.683799743652344,14.783416748046875,1467.12744140625,286.83734130859375,284.7497863769531,9.017297744750977,20.4672966003418,290.3653564453125,289.8747863769531,4.193084716796875,17.036808013916016,292.2397155761719,292.0622863769531,-2.0276994705200195,4.253602027893066,0.0,0.0071659088134765625,0.018161535263061523,100906.0,77.70829010009766,0.6875,17.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.551935195922852,7.819833755493164,99990.0,79.24525451660156,291.8267364501953,0.0,100.0,0.2,0.0,0.0,0.0,292.0354919433594,292.06101989746094,0.01347,291.8122863769531,97.6,-1.9911460876464844,4.142086982727052,4.563994870753959,-1.9911460876464844,4.142086982727052,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.31,-10.0,-26.0,-10.0,14.0,-0.8,140.0,-59.0,42.170108824968345,78.625,74.625,100.0,100.0,96700.0,364.6342430114746,252.39257049560547,27300.0,11297.802597045898,172.0,0.0,408.0,0.0,378.1615295410156,0.0,0.0,0.0,435.0,304.0,12.344518661499025,8.148223876953125,9.724258422851562,14.459709167480467,20.991355895996094,8.894184112548828,3746.48,80.0,64600.0,3750.0,79.0,64400.0,5580.0,7220.0,-2.5,650.0
3,0,2020,11,30,17.5,-999.0,0.136,12200.0,12.4375,17.5,12.4375,12.420973964035511,21.602383613586426,29.23094940185547,18.263648509979244,27.69262313842773,5731.46875,261.76321411132807,260.43728637695307,23.550477981567386,22.33021545410156,3071.5625,277.3274078369141,272.62478637695307,17.083928108215332,13.57241439819336,1459.2694091796875,286.885498046875,284.8122863769531,10.755487442016602,18.371240615844727,290.38592529296875,290.1247863769531,6.345062255859375,17.879528045654297,292.89154052734375,292.3747863769531,-1.000347137451172,4.4356689453125,0.0,0.013188362121582031,0.013275146484375,100796.0,69.03353881835939,0.0625,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004770000000000001,0.0,0.1,0.0,-1.1089859008789062,8.034046173095701,99910.0,79.24525451660156,292.26304626464844,0.0,97.7,0.30000000000000004,0.0,0.0,0.0,292.6298065185547,292.7358093261719,0.013710000000000002,292.0622863769531,95.5,-0.4603195190429688,4.351609230041504,4.3767372220754615,-0.4603195190429688,4.351609230041504,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.29,-13.0,-8.0,-20.0,14.0,-1.9,430.0,-21.0,41.64303293824196,70.5,86.125,92.25,92.25,96600.0,365.0811233520508,252.7332763671875,27300.0,10488.63786315918,153.1,0.0,412.70000000000016,0.0,380.6972351074219,0.0,0.0,0.0,368.0,292.0,13.912368774414062,8.352813720703125,10.28716278076172,15.080528259277346,22.575420379638672,11.944190979003904,3693.92,80.0,64900.0,3690.0,80.0,64800.0,5550.0,6940.0,-3.3000000000000003,890.0
4,0,2020,11,30,-10.0,-999.0,0.0,12200.0,-10.0,-10.0,-10.0,12.097374115139244,28.64324378967285,32.390209197998054,13.529125690460205,33.238903045654304,5721.228515625,260.9281463623047,258.93728637695307,28.289881229400635,22.378162384033203,3059.25830078125,278.066650390625,272.99978637695307,15.856520652770994,15.809112548828125,1449.066650390625,285.9089660644531,285.6872863769531,10.579025268554688,19.450889587402344,289.4260559082031,289.1247863769531,6.173057556152344,17.94961166381836,293.021240234375,292.4997863769531,-0.3832263946533203,4.185920715332031,0.0,0.004277229309082031,-0.02300500869750977,100718.0,62.44272994995117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7557430267333984,7.937385559082031,99810.0,79.24525451660156,292.58721923828125,0.0,94.7,0.30000000000000004,0.0,0.0,0.0,292.6912841796875,292.8975830078125,0.01381,292.1872863769531,96.1,-0.4697380065917969,4.2286338806152335,4.25391211733222,-0.4697380065917969,4.2286338806152335,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.29,-6.0,2.0,-10.0,14.0,-3.0,460.0,-2.0,42.27481767535209,93.875,23.125,5.0,93.875,96600.0,365.29112815856934,252.7447280883789,87800.0,1452.7599792480469,254.1,0.0,413.0,0.0,382.15625,0.0,0.0,0.0,307.0,241.8,14.290863037109375,9.198421478271484,8.502323150634767,15.096553802490234,27.314411163330078,12.009315490722654,3951.92,63.0,62800.0,3950.0,63.0,62700.0,5380.0,6920.0,-3.7,680.0
5,0,2020,11,30,19.875,7655.0,0.2032,12200.0,5.125,17.8125,16.875,13.480546701699495,29.17434883117676,27.68497085571289,26.88279676437378,35.69167709350586,5708.5068359375,260.55453491210943,257.49978637695307,30.81641674041748,23.374534606933594,3051.6064453125,277.33819580078125,277.18728637695307,17.904211044311523,15.988395690917967,1441.9521484375,286.7974548339844,285.2497863769531,11.752296447753904,16.663360595703125,290.1869812011719,290.1247863769531,4.498668670654297,18.667768478393555,293.6040954589844,292.9372863769531,-0.5631256103515625,4.257709503173828,0.0,-0.01892852783203125,0.02175617218017578,100604.0,51.93396949768066,19.8125,23.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035299999999999997,0.0,0.0,0.0,-0.9893913269042968,8.270009994506836,99670.0,79.24525451660156,292.8097686767578,0.0,94.9,0.30000000000000004,0.0,0.0,0.0,293.1983337402344,293.5250244140625,0.014180000000000003,292.5622863769531,94.9,-0.7313346862792969,4.665985107421875,4.6921113319695005,-0.7313346862792969,4.665985107421875,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.31,-15.0,-7.0,-20.0,14.0,-4.2,920.0,0.0,44.113522082567215,78.625,47.375,0.0,78.625,94600.0,525.2526149749756,253.05482864379883,38500.0,4646.722671508789,186.0,0.0,413.9,0.0,383.5421752929688,0.0,0.0,0.0,331.0,262.2,14.926673889160154,8.727798461914062,9.812047958374023,12.28990364074707,29.51898956298828,13.684310913085938,3777.36,100.0,64100.0,3780.0,100.0,64000.0,5330.0,6880.0,-4.6000000000000005,1030.0
6,0,2020,11,30,9.4375,-999.0,0.0048,12200.0,-10.0,-10.0,-10.0,17.449750795960426,31.44122886657715,27.16876220703125,31.61690807342529,30.80729675292969,5696.91796875,260.1796722412109,254.62478637695312,28.71422576904297,24.89385986328125,3039.72705078125,277.61241149902344,272.81228637695307,18.319541931152344,17.60590362548828,1432.8265380859375,285.79949951171875,285.8747863769531,16.015586853027347,14.961706161499025,289.67669677734375,289.52964782714844,14.73263168334961,16.064722061157227,293.67584228515625,292.991943359375,2.9335613250732417,5.103160858154297,0.0,0.02614784240722656,0.018973588943481445,100525.0,45.42865943908691,22.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.711626052856445,9.889902114868164,99600.0,79.24525451660156,292.9570007324219,0.0,100.0,0.4,0.0,0.0,0.0,293.328857421875,293.6821594238281,0.014140000000000003,292.48797607421875,94.2,3.317438125610352,5.507749557495117,6.437899886164813,3.317438125610352,5.507749557495117,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.44,-18.0,7.0,-10.0,14.0,-4.5,1130.0,0.0,39.07202488183975,93.375,1.875,0.0,93.375,94600.0,525.794038772583,374.98405838012695,90200.0,2506.8999404907227,262.2,0.0,413.70000000000016,0.0,384.1893310546875,0.0,0.0,0.0,220.0,182.0,20.04209327697754,9.938661575317383,13.209362030029295,8.257373809814451,20.419902801513672,13.494140625,3900.88,35.0,63000.0,3900.0,35.0,62900.0,5260.0,6690.0,-4.800000000000002,1200.0
7,0,2020,11,30,14.125,-999.0,0.008,9700.0,-10.0,-10.0,-10.0,16.966771386563778,34.048486709594734,25.752525329589844,32.19196510314941,26.111839294433594,5687.525390625,260.2023468017578,242.74978637695312,30.069294929504395,23.89108657836914,3028.040771484375,277.8922119140625,265.87478637695307,16.80093765258789,19.358741760253906,1425.000244140625,284.3573303222656,284.2497863769531,11.413158416748047,11.135364532470703,285.00494384765625,284.8122863769531,19.197689056396484,-2.3107986450195312,290.1023254394531,287.9543914794922,9.071905136108398,-0.9535598754882812,0.0,0.02852630615234375,-0.02741098403930664,100661.0,57.43534469604492,25.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.007850646972654,-2.085531234741211,99760.0,79.24525451660156,290.289306640625,0.0,100.0,0.4,0.0,0.0,0.0,290.11871337890625,290.34754943847656,0.01072,288.2012939453125,88.5,9.210756301879883,-1.5011482238769531,9.315335830673577,9.210756301879883,-1.5011482238769531,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.64,11.0,139.0,90.0,14.0,2.9000000000000004,20.0,0.0,28.944197416305546,84.375,0.0,0.0,84.375,94700.0,517.5675888061523,370.0187225341797,81900.0,2092.090461730957,265.8,0.0,391.70000000000016,0.0,370.4396362304688,0.0,0.0,0.0,242.0,-53.6,24.074308395385746,5.3056678771972665,6.5376739501953125,2.5680179595947266,15.668699264526367,26.214378356933594,3992.08,15.0,62200.0,3990.0,14.0,62100.0,5300.0,6600.0,0.2,10.0
8,0,2020,11,30,-6.0,-999.0,0.0004,17300.0,-10.0,-10.0,-10.0,16.728887900710106,36.04395866394043,25.43114471435547,33.116424560546875,22.94180679321289,5684.37109375,260.32492065429693,200.74978637695312,29.18689823150635,20.0468864440918,3024.00390625,278.4215087890625,246.86895751953125,18.18151092529297,22.04885482788086,1428.12841796875,282.80059814453125,282.3747863769531,16.692031860351562,6.443862915039063,283.1961669921875,283.1138458251953,19.441852569580078,-7.607685089111327,287.84893798828125,284.6247863769531,8.001641273498535,-1.762495040893555,0.0,-0.015974998474121094,-0.016841411590576172,100810.0,69.88131904602051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.68321418762207,-3.1481723785400386,99900.0,79.24525451660156,287.64634704589844,0.0,100.0,0.4,0.0,0.0,0.0,287.77569580078125,287.88543701171875,0.008759999999999999,285.1247863769531,83.7,7.937681198120117,-1.797842025756836,8.129056610167028,7.937681198120117,-1.797842025756836,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.55,-8.0,134.0,100.0,14.0,7.9,0.0,0.0,20.599412053823468,93.375,0.0,0.0,93.375,94900.0,513.7422256469727,367.3552131652832,82000.0,2079.545211791992,275.8,0.0,379.70000000000016,0.0,357.23072814941406,0.0,0.0,0.0,171.0,-114.2,24.60080718994141,2.9694805145263667,11.117324829101562,-1.3340950012207031,15.716014862060547,24.318012237548828,4016.88,3.0,62000.0,4020.0,3.0,61900.0,5330.0,6560.0,3.1,0.0
9,0,2020,11,30,-10.0,-999.0,0.0,17800.0,-10.0,-10.0,-10.0,16.00769803673029,37.05247592926026,26.65151214599609,33.62698125839233,21.147262573242188,5676.8955078125,260.31863403320307,216.68728637695312,27.8511323928833,15.668693542480467,3016.51513671875,278.3739624023437,233.5985870361328,22.70944404602051,18.925750732421875,1427.07861328125,281.01712036132807,277.06228637695307,16.85984992980957,0.4835739135742188,280.87091064453125,280.81228637695307,17.69841957092285,-8.370883941650389,285.92108154296875,282.4538879394531,7.60706901550293,-2.172672271728516,0.0,-0.024338722229003903,-0.02805328369140625,100917.0,79.18732833862305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.941387176513672,-4.026571273803712,100000.0,79.24525451660156,285.6739044189453,0.0,100.0,0.4,0.0,0.0,0.0,285.849853515625,285.85255432128906,0.00763,283.0681610107422,82.60000000000002,7.4560909271240225,-2.3951244354248047,7.8792905011214325,7.4560909271240225,-2.3951244354248047,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.53,-12.0,121.0,110.0,14.0,11.2,0.0,-3.0,14.806454598903654,98.625,0.0,0.0,98.625,92900.0,696.6001319885254,517.6030120849609,90500.0,1144.8030471801758,277.40000000000003,0.0,363.20000000000016,0.0,347.3858947753906,0.0,0.0,0.0,192.0,-100.0,24.6974515914917,0.15343856811523438,10.356531143188477,-2.9750938415527344,15.315460205078125,20.276012420654297,4015.44,3.0,62000.0,4020.0,3.0,61800.0,5320.0,6550.0,8.8,0.0
