Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2020,12,4,29.1875,2598.28,0.3304,0.1216,33800.0,19.5625,-10.0,-10.0,3.109852787107229,31.41619873046875,21.284034729003906,33.07584381103516,24.42009735107422,5665.1474609375,255.13650512695312,230.24978637695312,23.56698799133301,22.237335205078125,3072.3642578125,270.42645263671875,270.37478637695307,0.000705718994140625,16.936248779296875,14.493806838989258,1508.3145751953125,277.29690551757807,274.93728637695307,3.180065155029297,14.865089416503904,279.53631591796875,265.5171356201172,-1.7652740478515625,9.62906265258789,282.8577575683594,273.37478637695307,-1.5772714614868164,1.2435684204101562,0.0,-0.007300853729248047,-0.012102127075195312,102088.0,175.49761390686038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.159736633300781,3.7002391815185534,100040.0,173.01338958740234,280.65243530273443,0.0,28.3,0.0,0.0,0.0,0.0,281.0640411376953,281.00729370117193,0.00397,273.74978637695307,56.7,9.007243329016771e-17,-1.8953876495361328,1.847799301147461,2.6253980244218846,-1.8953876495361328,1.847799301147461,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267,0.15,-13.0,12.0,31.5,22.5,90.0,0.625,0.0,12.0,16.0,0.0,0.0,16.888017654418945,0.0,6.000000000000002e-07,0.266,8.000000000000001e-06,0.0,100.0,8.0,0.0,100.0,2141.8944091796875,1353.8227233886719,86700.0,66700.0,4020.8841705322266,228.3,0.0,345.5,0.0,328.7921905517578,0.0,0.0,0.0,0.0,350.0,132.4
1,0,2020,12,4,-9.75,-999.0,2.1966004020821525e-34,0.0,28800.0,-10.0,-10.0,-10.0,3.925646785646677,34.249698638916016,21.633182525634766,34.04309844970703,22.41925048828125,5660.2041015625,254.731201171875,244.74978637695312,22.02815055847168,18.31851959228516,3071.52490234375,270.7684326171875,270.87478637695307,0.011687994003295898,15.646099090576172,13.81692886352539,1506.9755859375,277.55303955078125,274.18728637695307,8.110780715942383,11.722589492797852,279.33416748046875,272.56228637695307,-3.3008937835693364,12.038219451904295,282.792236328125,271.3592987060547,-1.397918701171875,1.4236373901367188,0.0,0.003770112991333008,-0.007234096527099609,102061.0,173.1275863647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9380874633789062,5.405767440795898,100000.0,173.01338958740234,280.84396362304693,0.0,29.3,0.0,0.0,0.0,0.0,281.134765625,281.14608764648443,0.004379999999999999,275.12478637695307,62.90000000000001,0.08000000000000007,-1.0964927673339844,1.8574333190917969,2.190040534827858,-1.0964927673339844,1.8574333190917969,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267,0.13,-9.0,10.0,31.5,22.5,90.0,0.625,20.0,12.0,14.9,0.0,0.0,19.84352889657021,0.0,4.200000000000029e-07,0.1854,0.00019920000000000004,100.0,100.0,99.0,0.0,100.0,998.2362785339355,1083.4745788574219,89600.0,66700.0,4021.2913513183594,218.4,0.0,348.40000000000015,0.0,329.8120574951172,0.0,0.0,0.0,0.0,201.0,150.20000000000005
2,0,2020,12,4,25.0625,5398.6,1.55632,0.26544,27400.0,23.9375,15.875,15.875,2.9015065040439367,36.87266159057617,19.12594985961914,35.918251037597656,18.943138122558594,5664.677734375,254.66665649414062,238.18728637695312,24.1298828125,16.094039916992188,3073.76220703125,270.73031616210943,270.74978637695307,-0.014904022216796875,14.607147216796875,12.37484359741211,1509.4814453125,277.30117797851557,277.06228637695307,10.685306549072266,12.051593780517578,280.365966796875,272.3949737548828,-0.5782241821289062,11.506500244140625,282.8309326171875,275.33287048339844,0.6581058502197266,0.6983261108398438,0.0,-0.0215754508972168,0.01663815975189209,102052.0,172.58538436889648,0.0,22.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.077348709106445,5.1864585876464835,100010.0,173.01338958740234,281.15817260742193,0.0,29.9,0.0,0.0,0.0,0.0,281.36276245117193,281.3555908203125,0.00455,275.62478637695307,65.0,0.14400000000000013,1.951740264892578,0.5112133026123047,2.000182797666639,1.951740264892578,0.5112133026123047,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267,0.12,-7.0,11.0,31.5,22.5,90.0,0.625,20.0,12.0,14.4,0.0,0.0,20.722667440772053,0.0,4.200000000000029e-07,0.6578,0.00013920000000000002,4.0,100.0,12.0,19.0,100.0,1000.7771415710449,1085.2117309570312,89600.0,52600.0,4018.303367614746,207.5,0.0,351.0,0.0,331.20094299316406,0.0,0.0,0.0,0.0,282.0,190.7
3,0,2020,12,4,-10.0,-999.0,2.2000421366939027e-34,0.0,26500.0,-10.0,-10.0,-10.0,3.681627672165632,37.02392578125,20.32221984863281,37.42001724243164,20.957950592041016,5663.2548828125,254.4917907714844,241.93728637695312,26.69346618652344,15.243221282958984,3072.7958984375,270.62008666992193,268.93728637695307,-0.002482414245605469,17.631742477416992,15.597118377685547,1507.680419921875,277.19741821289057,277.06228637695307,9.14169692993164,10.495649337768556,279.3909912109375,269.6421661376953,1.517620086669922,12.185831069946287,282.24444580078125,275.8856964111328,0.1067485809326172,1.277385711669922,0.0,-0.011621475219726562,-0.01134657859802246,102068.0,174.19299697875977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7768135070800781,5.176788330078125,100020.0,173.01338958740234,281.13925170898443,0.0,55.2,0.0,0.0,0.0,0.0,281.3283233642578,281.35806274414057,0.0047,276.04830932617193,67.10000000000001,0.1040000000000001,-0.17282676696777344,1.7121238708496094,1.7520824174862355,-0.17282676696777344,1.7121238708496094,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267,0.08,-4.0,12.0,31.5,22.5,90.0,0.625,0.0,12.0,14.1,0.0,0.0,19.164185136556625,0.0,4.800000000000028e-07,0.1779,0.00014400000000000006,3.0,100.0,0.0,35.0,100.0,997.6876335144043,1082.0683059692383,89600.0,82100.0,2143.5147705078125,237.8,0.0,348.90000000000015,0.0,331.0472869873047,0.0,0.0,0.0,0.0,255.0,181.6
4,0,2020,12,4,-10.0,-999.0,2.2007951301631743e-34,0.0,21200.0,-10.0,-10.0,-10.0,5.215989703312517,35.65821075439453,18.202098846435547,34.300460815429695,20.369007110595703,5665.76123046875,254.53384399414062,244.74978637695312,28.729351043701172,18.604393005371094,3072.05517578125,271.3798217773437,267.74978637695307,0.007117748260498047,17.877378463745114,16.499635696411133,1504.305908203125,276.16815185546875,275.84234619140625,8.706087112426758,8.090347290039062,278.65200805664057,277.74978637695307,4.0351505279541025,13.409921646118164,281.59954833984375,277.06228637695307,0.6824569702148438,1.95949935913086,0.0,-0.016916275024414062,-0.008795738220214844,102060.0,173.80093002319336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.756298065185547,4.427156448364258,100010.0,173.01338958740234,280.6557464599609,0.0,53.2,0.0,0.0,0.0,0.0,280.8681030273437,280.84634399414057,0.00517,277.43728637695307,76.2,0.0720000000000001,0.9325180053710938,1.832550048828125,2.0653856683056797,0.9325180053710938,1.832550048828125,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267,0.12,-6.0,14.0,31.5,22.5,90.0,0.625,20.0,12.0,13.6,0.0,0.0,19.567443072795868,0.0,4.800000000000028e-07,0.2883,4.8000000000000015e-06,100.0,100.0,0.0,6.0,100.0,789.4197158813477,847.6277770996094,92200.0,85200.0,1796.7397994995117,240.4,0.0,348.0,0.0,328.7957458496094,0.0,0.0,0.0,0.0,170.0,141.5
5,0,2020,12,4,-10.0,-999.0,2.2008163831010383e-34,0.0,18900.0,-10.0,-10.0,-10.0,7.70589361153543,36.689002990722656,18.29613494873047,35.967041015625,19.33011245727539,5661.33056640625,254.05795288085938,247.93728637695312,28.063350677490234,20.15289306640625,3069.9873046875,271.01890563964844,268.81228637695307,0.006179332733154297,17.74004364013672,15.306713104248047,1503.3824462890625,276.34771728515625,276.12478637695307,7.1561279296875,10.248302459716797,278.46759033203125,278.39419555664057,7.954601287841798,13.862627029418945,280.8935546875,277.53428649902344,0.4674129486083984,3.472010612487793,0.0,-0.0017883777618408203,0.017804503440856934,102073.0,174.81937789916992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7597503662109375,6.923452377319336,100010.0,173.01338958740234,280.630615234375,0.0,52.1,0.0,0.0,0.0,0.0,280.77305603027344,280.76370239257807,0.0053,277.81655883789057,79.5,0.2000000000000001,-0.5380573272705078,3.879703521728516,3.9397754473611712,-0.5380573272705078,3.879703521728516,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267,0.27,-11.0,29.0,31.5,22.5,90.0,0.625,10.0,12.0,12.8,0.0,0.0,20.860177099704746,0.0,3.700000000000001e-07,0.2215,3.0400000000000014e-05,100.0,100.0,98.0,0.0,100.0,605.91748046875,649.91748046875,94500.0,57300.0,5265.977478027344,211.7,0.0,346.3,0.0,328.91424560546875,0.0,0.0,0.0,0.0,200.0,152.20000000000005
6,0,2020,12,4,-10.0,-999.0,2.201449118796244e-34,0.0,14000.0,-10.0,-10.0,-10.0,7.245031654834747,38.6528549194336,18.377689361572266,38.46467590332031,20.53799057006836,5654.337890625,254.1644744873047,247.74978637695312,27.485265731811523,21.234718322753906,3064.05322265625,270.48736572265625,269.12478637695307,0.01321697235107422,19.89805603027344,12.673957824707033,1497.160888671875,278.46807861328125,273.18728637695307,8.267404556274414,9.939008712768556,278.4066162109375,278.3910980224609,8.390392303466799,14.390878677368164,280.22625732421875,278.49205017089844,1.2444486618041992,2.260716438293457,0.0,0.02168416976928711,0.015712380409240726,102003.0,168.9576549530029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.540390014648437,4.936004638671875,99960.0,173.01338958740234,280.3445281982422,0.0,50.8,0.0,0.0,0.0,0.0,280.0067596435547,280.08700561523443,0.005580000000000001,278.5001220703125,90.4,0.1360000000000001,1.6695594787597656,2.374401092529297,2.939939853735268,1.6695594787597656,2.374401092529297,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267,0.21,8.0,15.0,31.5,22.5,90.0,0.625,10.0,12.0,13.1,0.0,0.0,18.856945961713787,0.0,4.000000000000029e-07,0.12810000000000002,0.000942,100.0,100.0,100.0,85.0,100.0,453.6556625366211,503.9056625366211,96100.0,62100.0,4627.008575439453,202.7,0.0,337.7000000000001,0.0,327.3477325439453,0.0,0.0,0.0,0.0,169.0,162.0
7,0,2020,12,4,19.5625,5698.200000000003,1.50896,0.15952000000000002,15300.0,9.3125,17.875,17.875,6.266268104314804,41.21487426757813,16.855716705322266,39.45755004882813,19.926502227783203,5658.3388671875,254.62564086914062,252.68728637695312,22.13677978515625,22.689929962158203,3062.50927734375,270.8807830810547,270.64901733398443,0.012776374816894531,16.49111557006836,14.97812271118164,1498.8212890625,278.696044921875,271.69053649902344,10.131584167480467,12.257850646972654,278.6508178710937,278.57345581054693,8.820575714111328,11.220968246459961,280.23709106445307,277.82131958007807,0.3129682540893555,2.2854022979736333,0.0,-0.013023853302001951,-0.014618873596191406,101992.0,168.1684284210205,0.0,24.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9601306915283204,4.973051071166992,99940.0,173.01338958740234,280.1926422119141,0.0,50.6,0.0,0.0,0.0,0.0,280.04248046875,280.154296875,0.005430000000000001,278.12478637695307,87.4,0.1640000000000001,0.2877197265625,2.5041942596435547,2.5031919775065035,0.2877197265625,2.5041942596435547,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267,0.17,2.0,13.0,31.5,22.5,90.0,0.625,10.0,12.0,13.7,0.0,0.0,21.873026341199875,0.0,3.200000000000001e-07,0.0465,0.0009392000000000002,100.0,100.0,98.0,98.0,100.0,338.3106460571289,372.00006103515625,97700.0,35500.0,8507.317260742188,154.3,0.0,344.40000000000015,0.0,326.6034698486328,0.0,0.0,0.0,0.0,138.0,136.6
8,0,2020,12,4,24.0,6126.8,2.43184,0.35216000000000003,13200.0,22.4375,21.875,21.875,5.457935381680727,39.09650039672852,20.44799041748047,36.81885528564453,23.775379180908203,5666.57177734375,255.2462615966797,253.37478637695312,18.931148529052734,23.40784072875977,3067.15576171875,271.6885223388672,271.87478637695307,-0.0019724369049072266,15.761726379394533,17.234498977661133,1496.630126953125,279.770751953125,271.457763671875,11.348297119140625,7.207256317138673,279.8460693359375,279.4884490966797,6.723310470581055,6.945812225341798,279.8016967773437,278.75942993164057,-0.6565971374511719,1.3711605072021484,0.0,0.016645431518554688,-0.02905523777008057,101931.0,161.71274948120114,16.9375,27.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012220000000000002,0.0,0.0,0.02,0.0,0.5539999999999999,0.0,-0.5465908050537109,3.804367065429688,99850.0,173.01338958740234,279.85092163085943,0.0,76.60000000000002,0.0,0.0,0.0,0.0,279.74420166015625,279.87567138671875,0.0056500000000000005,278.68728637695307,93.0,0.16800000000000012,-0.92559814453125,1.469343185424805,1.7511855706106871,-0.92559814453125,1.469343185424805,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267,0.12,2.0,9.0,31.5,22.5,90.0,0.625,10.0,12.0,14.2,0.0,0.0,23.135164082050323,0.0,2.1000000000000005e-07,0.0928,0.011802000000000002,100.0,100.0,99.0,98.0,100.0,337.7727813720703,362.8977813720703,97700.0,38200.0,8785.89028930664,157.4,0.0,340.2000000000001,0.0,325.05303955078125,0.0,0.0,0.0,0.0,147.0,94.6
9,0,2020,12,4,35.25,4192.6,1.1300800000000002,0.31920000000000004,11500.0,21.6875,-10.0,-10.0,3.4101986512541766,41.210594177246094,20.002174377441406,36.89241790771485,19.535472869873047,5657.22607421875,255.15077209472656,253.18728637695312,23.94865608215332,22.058025360107425,3056.42529296875,271.1584625244141,270.24978637695307,0.004687786102294922,13.145462036132812,14.949146270751953,1491.408935546875,278.6751708984375,274.52828979492193,12.362920761108398,7.1820316314697275,279.796875,279.83816528320307,7.1449337005615225,6.0570030212402335,279.8427124023437,279.0818634033203,-1.0426950454711914,0.9680414199829102,0.0,-0.024610519409179688,-0.019713759422302246,101862.0,157.36727905273438,21.0625,12.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.917278289794922,1.7950210571289062,99810.0,173.01338958740234,279.7290802001953,0.0,85.80000000000003,0.0,0.0,0.0,0.0,279.72271728515625,279.84197998046875,0.005790000000000001,278.99978637695307,95.0,0.12800000000000009,-1.115255355834961,0.4775218963623047,1.1908811405301094,-1.115255355834961,0.4775218963623047,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267,0.07,0.0,4.0,31.5,22.5,90.0,0.625,10.0,12.0,13.6,0.0,0.0,24.66501584649086,0.0,1.9000000000000006e-07,0.0721,0.0065488000000000005,100.0,100.0,98.0,98.0,100.0,337.87280654907227,337.7717590332031,97900.0,41300.0,7956.439712524414,159.60000000000005,0.0,343.70000000000016,0.0,324.4778594970703,0.0,0.0,0.0,0.0,130.0,83.9
