Hour,Minute,Year,Month,Date,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,ATT16,ATT17,ATT18,ATT19,ATT20,ATT21,ATT22,ATT23,ATT24,ATT25,ATT26,ATT27,ATT28,ATT29,ATT30,ATT31,ATT32,ATT33,ATT34,ATT35,ATT36,ATT37,ATT38,ATT39,ATT40,ATT41,ATT42,ATT43,ATT44,ATT45,ATT46,ATT47,ATT48,ATT49,ATT50,ATT51,ATT52,ATT53,ATT54,ATT55,ATT56,ATT57,ATT58,ATT59,ATT60,ATT61,ATT62,ATT63,ATT64,ATT65,ATT66,ATT67,ATT68,ATT69,ATT70,ATT71,ATT72,ATT73,ATT74,ATT75,ATT76,ATT77,ATT78,ATT79,ATT80,ATT81,ATT82,ATT83,ATT84,ATT85,ATT86,ATT87,ATT88,ATT89,ATT90,ATT91,ATT92,ATT93,ATT94,ATT95,ATT96,ATT97,ATT98,ATT99,ATT100,ATT101,ATT102,ATT103,ATT104,ATT105,ATT106,ATT107,ATT108,ATT109,ATT110,ATT111,ATT112,ATT113,ATT114,ATT115,ATT116,ATT117,ATT118,ATT119,ATT120,ATT121,ATT122,ATT123,ATT124,ATT125,ATT126,ATT127,ATT128,ATT129,ATT130,ATT131,ATT132
0,0,2020,12,5,-10.0,-999.0,2.207111202369465e-34,0.0,14600.0,-10.0,-10.0,-10.0,3.5487898997962475,3.4485435485839844,-6.882286071777344,0.7492256164550781,-13.56076431274414,5530.37744140625,249.2710876464844,241.56228637695312,3.577434539794922,-2.751190185546875,2975.56201171875,268.14663696289057,247.68728637695312,0.007220268249511719,7.409751892089844,2.65639877319336,1435.6905517578125,272.738037109375,271.99978637695307,10.39593505859375,0.5115203857421875,275.3607177734375,271.76443481445307,8.115148544311522,-1.0861053466796875,279.69009399414057,276.9970092773437,1.4419641494750977,0.8802881240844727,0.0,0.001323223114013672,0.019605398178100586,101436.0,119.52787399291992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.013490676879884,2.434398651123047,98560.0,240.54463958740243,276.697494506836,0.0,80.9,0.0,0.0,0.0,0.0,277.08804321289057,278.2930908203125,0.00483,276.2592620849609,88.80000000000004,0.16000000000000011,1.466592788696289,1.073582649230957,1.8142550364136696,1.466592788696289,1.073582649230957,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796,0.08,-6.0,1.0,25.1,14.5,98.0,0.75,50.0,14.0,10.3,0.0,0.0,10.19181489944458,0.0,3.000000000000001e-07,0.0112,6.750907345057163e-35,2.0,96.0,0.0,0.0,96.0,--,1382.6068420410156,85700.0,--,--,242.6,0.0,250.4,0.0,305.6116638183594,0.0,0.0,0.0,0.0,-35.9,35.4
1,0,2020,12,5,-10.0,-999.0,2.2082691677485283e-34,0.0,16500.0,-10.0,-10.0,-10.0,4.533456590026617,4.505638122558594,-14.286640167236328,0.10413360595703124,-17.848388671875,5531.89990234375,249.6224822998047,242.56228637695312,2.514883041381836,-7.074745178222656,2977.676513671875,268.3500823974609,251.06228637695312,0.005399703979492188,8.274871826171875,-1.483600616455078,1439.625,271.4047241210937,268.55810546875,7.441082000732423,-2.1920452117919917,275.27481079101557,272.4789581298828,10.183773040771484,-0.5312156677246094,279.2191772460937,275.1570281982422,1.4385948181152344,1.295818328857422,0.0,0.02211284637451172,-0.018683671951293945,101510.0,126.05256271362305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.108243942260742,2.8704757690429688,98640.0,240.54463958740243,276.04541015625,0.0,81.10000000000002,0.0,0.0,0.0,0.0,276.61199951171875,277.70498657226557,0.00451,275.31228637695307,84.60000000000002,0.1200000000000001,1.4985513687133791,1.6883258819580078,2.252537720138207,1.4985513687133791,1.6883258819580078,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796,0.12,-10.0,3.0,25.1,14.5,98.0,0.75,60.0,14.0,11.7,0.0,0.0,9.702744603157043,0.0,3.000000000000001e-07,0.0006000000000000001,6.612730056749642e-35,21.0,21.0,0.0,0.0,21.0,--,--,--,--,--,236.6,0.0,247.3,0.0,302.8425598144531,0.0,0.0,0.0,0.0,43.0,61.2
2,0,2020,12,5,-10.0,-999.0,2.20867993249448e-34,0.0,17600.0,-10.0,-10.0,-10.0,5.35418839007616,9.138471603393556,-16.8450927734375,2.9161415100097656,-21.194721221923828,5528.4140625,250.94728088378903,237.43728637695312,2.7725563049316406,-12.564804077148438,2973.756591796875,267.81817626953125,246.49978637695312,0.014215469360351562,7.493734359741211,-6.660860061645508,1438.721923828125,271.0267333984375,266.68728637695307,7.983543395996094,-3.2120399475097656,274.9437255859375,270.4694976806641,11.319570541381836,-2.3613758087158203,279.05389404296875,274.6280975341797,2.1194391250610347,0.8285531997680664,0.0,-0.010670661926269531,0.009452581405639648,101532.0,127.48882675170898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5567169189453125,1.7043991088867188,98660.0,240.54463958740243,276.741439819336,0.0,80.9,0.0,0.0,0.0,0.0,277.01571655273443,278.12518310546875,0.004430000000000001,275.06228637695307,83.9,0.1400000000000001,2.4099788665771484,0.9754838943481444,2.565625311108306,2.4099788665771484,0.9754838943481444,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796,0.17,-12.0,17.0,25.1,14.5,98.0,0.75,30.0,14.0,13.5,0.0,0.0,9.40148913860321,0.0,3.200000000000029e-07,0.0133,6.609756059803645e-35,100.0,100.0,0.0,0.0,100.0,1048.6013832092285,1137.2186279296875,88400.0,86900.0,1530.245849609375,234.1,0.0,312.6,0.0,305.9047393798828,0.0,0.0,0.0,0.0,87.0,77.5
3,0,2020,12,5,-10.0,-999.0,2.209622434461014e-34,0.0,18100.0,-10.0,-10.0,-10.0,5.097116094082594,10.58163070678711,-16.750789642333984,7.3293495178222665,-21.26403045654297,5546.37939453125,252.78387451171875,247.93728637695312,8.947254180908203,-17.8125,2978.759765625,267.77622985839844,262.31228637695307,0.010601520538330078,10.299678802490234,-6.851234436035156,1444.388916015625,270.88604736328125,265.2174224853516,7.833791732788086,-4.258892059326172,275.38494873046875,271.134994506836,11.30073070526123,-2.2658004760742188,279.00582885742193,274.4753570556641,1.987783432006836,0.9046525955200196,0.0,0.025673866271972656,0.017899513244628906,101578.0,131.47848320007324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9246788024902335,1.4341297149658203,98700.0,240.54463958740243,277.32208251953125,0.0,80.60000000000002,0.0,0.0,0.0,0.0,277.3299560546875,278.34268188476557,0.004350000000000001,274.81228637695307,83.2,0.1280000000000001,2.2823972702026367,1.1792497634887695,2.562776142265648,2.2823972702026367,1.1792497634887695,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796,0.19,-2.0,30.0,25.1,14.5,98.0,0.75,40.0,14.0,15.6,0.0,0.0,11.05851000547409,0.0,2.8000000000000293e-07,0.0134,0.0013792000000000006,0.0,100.0,34.0,0.0,100.0,1049.9303817749023,1138.5564575195312,88400.0,86900.0,1531.6802139282227,234.5,0.0,313.5,0.0,308.4022216796875,0.0,0.0,0.0,0.0,124.0,98.0
4,0,2020,12,5,-10.0,-999.0,2.210459762596992e-34,0.0,18300.0,-10.0,-10.0,-10.0,3.5989508554339413,18.083696365356445,-12.13666534423828,13.530452728271484,-19.939861297607425,5555.9765625,254.68341064453125,226.49978637695312,10.666561126708984,-15.82149887084961,2980.53515625,268.568359375,252.12478637695312,-0.006177425384521484,11.553183555603027,-6.7913246154785165,1444.6982421875,271.1773681640625,262.49978637695307,7.373912811279298,-5.5625953674316415,275.53564453125,266.56228637695307,9.268390655517578,-3.5087852478027344,278.679931640625,273.81228637695307,1.111628532409668,1.0822086334228516,0.0,-0.016218185424804688,0.01454806327819824,101583.0,131.9790229797363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.900388717651367,0.9102382659912108,98710.0,240.54463958740243,275.97450256347656,0.0,80.80000000000003,0.0,0.0,0.0,0.0,276.3952789306641,277.43954467773443,0.00425,274.49978637695307,82.60000000000002,0.11200000000000013,1.2779312133789062,1.5831098556518557,2.004164735786617,1.2779312133789062,1.5831098556518557,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796,0.11,-9.0,7.0,25.1,14.5,98.0,0.75,60.0,14.0,17.8,0.0,0.0,6.9706458151340485,0.0,7.400000000000002e-07,0.0,6.610177718090843e-35,0.0,0.0,0.0,0.0,0.0,--,--,--,--,--,242.4,0.0,238.1,0.0,302.4815979003906,0.0,0.0,0.0,0.0,121.0,94.0
5,0,2020,12,5,-10.0,-999.0,2.2118696035015942e-34,0.0,17200.0,-10.0,-10.0,-10.0,4.496793311089277,14.394763946533205,-10.677734375,17.843364715576172,-16.557807922363278,5569.412109375,255.54962158203125,222.31228637695312,11.914533615112305,-16.416202545166016,2981.524658203125,268.49996948242193,231.74978637695312,0.01299285888671875,14.19173812866211,-6.7016258239746085,1445.7392578125,270.76080322265625,267.18728637695307,7.108293533325195,-5.3618202209472665,275.48272705078125,270.68728637695307,9.400270462036133,-3.9979419708251953,278.3773193359375,273.93728637695307,1.8613939285278318,1.4217529296875,0.0,0.0004534721374511719,0.02675771713256836,101590.0,132.8432388305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.574743270874023,2.2025680541992188,98730.0,240.54463958740243,275.3802032470703,0.0,80.9,0.0,0.0,0.0,0.0,275.90269470214844,276.9488525390625,0.00421,274.37478637695307,83.5,0.0960000000000001,1.9838809967041016,2.136909484863281,2.8770287958905096,1.9838809967041016,2.136909484863281,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796,0.18,-21.0,9.0,25.1,14.5,98.0,0.75,70.0,14.0,18.9,0.0,0.0,8.22975754737854,0.0,5.200000000000001e-07,0.0,6.75566511424353e-35,0.0,0.0,0.0,0.0,0.0,--,--,--,--,--,244.3,0.0,242.8,0.0,299.9577178955078,0.0,0.0,0.0,0.0,146.0,111.0
6,0,2020,12,5,-10.0,-999.0,2.2131278526547137e-34,0.0,16800.0,-10.0,-10.0,-10.0,4.345034781843424,18.389551162719727,-10.182533264160156,20.229080200195312,-13.92422866821289,5571.71435546875,255.97836303710938,212.24978637695312,13.893352508544922,-16.659011840820312,2982.12158203125,267.56045532226557,228.49978637695312,0.008197307586669922,15.524333953857422,-6.1149349212646475,1446.428466796875,271.0746459960937,267.37478637695307,9.031843185424805,-5.526805877685547,275.45538330078125,269.62478637695307,9.686416625976562,-5.286430358886719,278.04266357421875,274.06228637695307,1.6385459899902344,0.793060302734375,0.0,-0.002421855926513672,-0.02459359169006348,101609.0,133.91582870483398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4619178771972665,0.9294261932373048,98730.0,240.54463958740243,275.08251953125,0.0,80.9,0.0,0.0,0.0,0.0,275.51376342773443,276.5452117919922,0.00411,274.06228637695307,84.60000000000002,0.0960000000000001,1.8989610671997068,1.3305931091308594,2.313883572118357,1.8989610671997068,1.3305931091308594,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796,0.13,-13.0,6.0,25.1,14.5,98.0,0.75,60.0,14.0,20.0,0.0,0.0,7.951329112052917,0.0,4.700000000000001e-07,0.0,6.518143785320895e-35,0.0,4.0,0.0,0.0,4.0,--,--,--,--,--,243.2,0.0,241.7,0.0,298.6219482421875,0.0,0.0,0.0,0.0,155.0,111.5
7,0,2020,12,5,-10.0,-999.0,2.212591451072547e-34,0.0,15600.0,-10.0,-10.0,-10.0,4.608585208654403,23.13389587402344,-8.217044830322267,24.20363998413086,-8.177436828613281,5576.06884765625,256.06356811523443,224.74978637695312,14.897850036621096,-15.275978088378904,2980.09619140625,267.9835968017578,222.00765991210938,0.011144161224365234,13.297473907470705,-6.9173126220703125,1446.6160888671875,270.94937133789057,267.56228637695307,8.270155906677246,-4.4710693359375,275.097412109375,268.62478637695307,7.985686302185059,-5.621786117553711,277.0023193359375,274.31228637695307,2.054462432861328,0.6825294494628906,0.0,-0.0005950927734375,-0.021134376525878903,101631.0,136.06264877319336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2422428131103525,0.6147861480712891,98760.0,240.54463958740243,274.6614227294922,0.0,81.0,0.0,0.0,0.0,0.0,275.0399627685547,276.02215576171875,0.00406,273.87478637695307,86.9,0.07200000000000009,2.2436017990112305,1.0749969482421875,2.5004132304165982,2.2436017990112305,1.0749969482421875,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796,0.15,-14.0,5.0,25.1,14.5,98.0,0.75,60.0,14.0,20.6,0.0,0.0,7.365969151258469,0.0,6.000000000000001e-07,0.0,6.519843899979306e-35,0.0,3.0,0.0,0.0,3.0,--,--,--,--,--,240.5,0.0,237.7,0.0,296.7718811035156,0.0,0.0,0.0,0.0,153.0,93.0
8,0,2020,12,5,-10.0,-999.0,2.213020271411727e-34,0.0,15400.0,-10.0,-10.0,-10.0,4.7082260865718135,26.100439071655273,-6.574928283691406,25.30117416381836,-6.758033752441406,5582.79296875,256.1052398681641,236.68728637695312,17.287931442260742,-13.927734375,2983.9716796875,268.3930511474609,234.87478637695312,-0.014983177185058594,10.796682357788086,-9.295761108398438,1450.5887451171875,270.77996826171875,264.68728637695307,7.31098747253418,-4.623956680297852,275.23028564453125,264.56228637695307,4.950651168823242,-4.73289680480957,276.30392456054693,273.49978637695307,1.9732112884521484,0.8746757507324219,0.0,-0.02727508544921875,-0.017796754837036133,101692.0,141.24562644958496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.111152648925781,0.9784622192382812,98820.0,240.54463958740243,274.2031707763672,0.0,81.10000000000002,0.0,0.0,0.0,0.0,274.45933532714844,275.42764282226557,0.0038799999999999998,273.24978637695307,87.80000000000004,0.06400000000000007,2.1674184799194336,1.2103385925292969,2.5023664098698646,2.1674184799194336,1.2103385925292969,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796,0.16,-11.0,7.0,25.1,14.5,98.0,0.75,60.0,14.0,21.6,0.0,0.0,6.242578685283661,0.0,1.6000000000000004e-06,6.818496359345828e-35,6.519913233457303e-35,2.0,2.0,0.0,0.0,2.0,--,--,--,--,--,237.9,0.0,231.0,0.0,294.8365783691406,0.0,0.0,0.0,0.0,117.0,63.0
9,0,2020,12,5,-10.0,-999.0,2.2129147590387967e-34,0.0,14800.0,-10.0,-10.0,-10.0,3.1069583818316464,28.7171688079834,-7.020053863525393,26.65207099914551,-6.7110557556152335,5579.3486328125,255.8042449951172,234.81228637695312,18.037548065185547,-11.994396209716795,2983.41162109375,268.10684204101557,239.87478637695312,-0.00971364974975586,10.29123592376709,-10.455299377441406,1449.1934814453125,271.30075073242193,264.43728637695307,8.029635429382324,-4.153968811035156,275.10415649414057,266.3345489501953,4.691567420959473,-4.132884979248047,275.544921875,272.6713714599609,1.1844072341918943,0.6398487091064453,0.0,0.010193347930908205,0.003557920455932617,101687.0,140.4317307472229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.587757110595703,-0.20827674865722656,98810.0,240.54463958740243,273.18728637695307,0.0,81.2,0.0,0.0,0.0,0.0,273.5427398681641,274.5077514648437,0.00371,272.62478637695307,89.10000000000002,0.06400000000000007,1.1290006637573242,1.004556655883789,1.5033204501960429,1.1290006637573242,1.004556655883789,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796,0.06,-3.0,1.0,25.1,14.5,98.0,0.75,70.0,14.0,22.4,0.0,0.0,6.2326449155807495,0.0,2.6900000000000005e-06,6.597810930713413e-35,7.211898418028179e-35,1.0,1.0,0.0,0.0,1.0,--,--,--,--,--,236.1,0.0,230.2,0.0,290.6827087402344,0.0,0.0,0.0,0.0,99.0,61.6
