Variable:,tas
,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1901,8.59,16.46,-5.00,14.80,16.04,13.75,6.85,8.14,12.03,12.33,20.16,16.82,19.14,6.45,11.01,10.68,9.08,12.61,12.68,18.52,4.48,11.60,7.65,6.53,4.86,17.06,12.88,6.13,9.54,9.88,5.61,10.30,11.98,6.60,14.09,4.56,9.94,15.67,7.59,8.82,8.55,16.13,7.82,13.59,18.62,8.67,5.26,12.14,7.39,10.26,6.18,5.82
1902,8.39,17.65,-5.40,14.31,15.87,13.17,6.53,8.34,12.54,12.93,21.35,17.98,18.76,5.61,10.97,10.98,8.42,11.95,13.36,19.23,4.59,12.10,7.77,6.77,4.82,17.97,12.21,5.00,8.73,9.41,5.64,10.64,11.80,6.68,14.81,3.75,10.27,15.30,7.23,9.02,8.73,16.99,6.65,14.43,18.89,8.20,5.19,12.75,7.02,10.84,6.30,5.19
1903,7.95,16.92,-5.36,14.16,15.25,13.31,5.69,8.33,12.27,12.55,20.77,17.40,19.05,4.99,10.65,10.55,8.15,11.47,12.97,18.38,4.48,11.84,7.78,6.29,3.64,17.13,11.91,4.87,8.41,9.10,5.69,10.52,10.93,6.68,14.59,3.29,10.09,14.34,7.07,8.97,8.73,16.70,6.22,13.92,17.44,7.37,5.30,12.43,6.91,10.75,5.41,4.35
1904,8.09,17.33,-5.77,14.89,15.73,13.86,6.64,6.79,10.88,11.36,20.89,17.45,19.05,6.24,9.85,9.69,7.57,11.87,12.62,19.21,2.79,10.60,6.19,4.92,3.26,17.67,11.72,5.41,8.79,9.73,3.98,9.04,11.48,5.11,13.82,2.93,9.02,15.32,7.90,7.62,7.22,16.29,6.37,13.84,18.54,8.36,3.54,11.56,7.77,9.99,4.59,5.52
1905,8.40,17.24,-3.70,14.14,15.43,13.53,5.96,7.89,12.05,12.42,21.25,17.73,19.03,5.74,10.71,10.68,8.18,11.52,13.04,18.95,3.58,11.66,7.23,6.10,4.38,17.49,11.90,5.28,8.25,9.42,5.00,10.18,11.02,6.25,14.57,3.96,9.88,14.44,7.56,8.59,8.28,16.88,6.44,14.13,17.72,7.91,4.65,12.39,7.46,10.55,5.54,4.77
1906,8.44,17.59,-5.36,14.28,15.75,13.64,6.30,8.67,12.87,13.34,21.10,17.92,19.49,5.95,11.31,11.26,8.83,11.92,13.50,19.26,4.30,12.51,7.96,7.00,4.93,17.79,12.37,5.62,8.83,9.54,5.68,11.07,11.39,6.99,15.13,4.17,10.70,14.71,7.99,9.39,9.04,17.23,6.80,14.55,17.98,7.89,5.31,13.10,7.91,11.29,6.31,5.01
1907,8.32,17.93,-5.48,14.59,16.54,13.23,6.98,7.51,11.65,12.05,21.63,18.29,19.43,5.93,10.80,10.48,8.24,12.24,13.22,19.87,3.45,11.22,6.94,5.47,3.55,18.31,12.63,4.50,8.77,9.46,4.68,9.68,11.94,5.82,14.74,2.64,9.64,15.77,7.65,8.08,7.99,17.28,6.08,14.66,19.10,8.58,4.22,12.30,7.10,10.35,5.10,5.09
1908,8.62,17.95,-4.99,14.18,16.69,13.13,6.11,8.88,12.73,13.07,21.60,18.32,18.90,5.64,11.78,11.69,9.32,12.61,13.94,19.70,4.69,12.28,8.25,7.04,5.47,18.33,13.14,5.53,9.45,8.85,5.95,11.02,11.28,7.00,15.16,4.42,10.90,15.69,7.44,9.36,9.32,17.50,7.35,15.00,18.71,7.25,5.40,12.84,7.39,11.15,6.66,4.62
1909,8.08,17.76,-6.62,14.29,16.64,13.01,5.99,8.37,12.37,12.88,21.58,18.08,18.73,5.67,10.98,10.81,8.22,11.92,13.45,19.65,4.46,12.01,7.79,6.52,4.23,18.12,12.73,4.44,8.36,9.12,5.61,10.61,11.56,6.55,15.00,3.18,10.28,15.73,7.06,8.92,8.81,17.28,6.16,14.71,19.00,7.64,5.06,12.74,6.53,10.91,5.71,4.46
1910,8.67,17.22,-6.08,15.69,16.06,13.81,7.47,8.62,12.39,12.88,20.56,17.54,18.63,6.37,10.99,10.64,8.99,12.77,12.88,19.39,4.84,12.04,7.98,6.75,5.44,17.69,12.53,6.33,9.72,10.08,5.92,10.64,12.59,6.69,14.72,4.74,10.03,16.01,7.74,8.91,9.01,16.88,7.68,14.03,19.13,9.00,5.36,12.48,7.50,10.56,6.35,6.19
